,model,rank,lambda,alpha,R-Precision,NDCG
0,WPLRec,50,1,0.0,0.0784313725490196,0.17688381804074338
1,WPLRec,50,1,0.01,0.0784313725490196,0.17688381804074338
2,WPLRec,50,1,0.014677992676220698,0.0784313725490196,0.17688381804074338
3,WPLRec,50,1,0.021544346900318832,0.0784313725490196,0.17688381804074338
4,WPLRec,50,1,0.03162277660168379,0.0784313725490196,0.17688381804074338
5,WPLRec,50,1,0.046415888336127774,0.0784313725490196,0.17688381804074338
6,WPLRec,50,1,0.06812920690579612,0.0784313725490196,0.17688381804074338
7,WPLRec,50,1,0.1,0.0784313725490196,0.17688381804074338
8,WPLRec,50,1,0.1467799267622069,0.0784313725490196,0.1789472680719035
9,WPLRec,50,1,0.21544346900318834,0.0784313725490196,0.1789472680719035
10,WPLRec,50,1,0.31622776601683794,0.0784313725490196,0.1789472680719035
11,WPLRec,50,1,0.46415888336127775,0.0784313725490196,0.17688381804074338
12,WPLRec,50,1,0.6812920690579611,0.0784313725490196,0.1779608379986583
13,WPLRec,50,1,1.0,0.0784313725490196,0.1746967299370369
14,WPLRec,50,1,1.467799267622069,0.0784313725490196,0.17621773902102675
15,WPLRec,50,1,2.154434690031882,0.08823529411764706,0.19039179628547911
16,WPLRec,50,1,3.1622776601683795,0.08823529411764706,0.1668491967628158
17,WPLRec,50,1,4.6415888336127775,0.0784313725490196,0.15323852187863524
18,WPLRec,50,1,6.812920690579608,0.06862745098039216,0.13906446461418287
19,WPLRec,50,1,10.0,0.08823529411764706,0.1668491967628158
20,WPLRec,50,1,14.67799267622069,0.0784313725490196,0.15323852187863524
21,WPLRec,50,1,21.54434690031882,0.0784313725490196,0.15267513949836342
22,WPLRec,50,1,31.622776601683793,0.0784313725490196,0.1519954702475503
23,WPLRec,50,1,46.41588833612777,0.0784313725490196,0.14657070530177385
24,WPLRec,50,1,68.12920690579608,0.058823529411764705,0.11023782929500518
25,WPLRec,50,1,100.0,0.049019607843137254,0.08321638301908378
26,WPLRec,50,10,0.0,0.0784313725490196,0.17688381804074338
27,WPLRec,50,10,0.01,0.0784313725490196,0.17688381804074338
28,WPLRec,50,10,0.014677992676220698,0.0784313725490196,0.17688381804074338
29,WPLRec,50,10,0.021544346900318832,0.0784313725490196,0.17688381804074338
30,WPLRec,50,10,0.03162277660168379,0.0784313725490196,0.17688381804074338
31,WPLRec,50,10,0.046415888336127774,0.0784313725490196,0.17688381804074338
32,WPLRec,50,10,0.06812920690579612,0.0784313725490196,0.17688381804074338
33,WPLRec,50,10,0.1,0.0784313725490196,0.17688381804074338
34,WPLRec,50,10,0.1467799267622069,0.0784313725490196,0.1789472680719035
35,WPLRec,50,10,0.21544346900318834,0.0784313725490196,0.1789472680719035
36,WPLRec,50,10,0.31622776601683794,0.0784313725490196,0.1789472680719035
37,WPLRec,50,10,0.46415888336127775,0.0784313725490196,0.17688381804074338
38,WPLRec,50,10,0.6812920690579611,0.0784313725490196,0.1779608379986583
39,WPLRec,50,10,1.0,0.0784313725490196,0.1746967299370369
40,WPLRec,50,10,1.467799267622069,0.0784313725490196,0.17621773902102675
41,WPLRec,50,10,2.154434690031882,0.08823529411764706,0.19039179628547911
42,WPLRec,50,10,3.1622776601683795,0.08823529411764706,0.1668491967628158
43,WPLRec,50,10,4.6415888336127775,0.0784313725490196,0.15323852187863524
44,WPLRec,50,10,6.812920690579608,0.06862745098039216,0.13906446461418287
45,WPLRec,50,10,10.0,0.08823529411764706,0.1668491967628158
46,WPLRec,50,10,14.67799267622069,0.0784313725490196,0.15323852187863524
47,WPLRec,50,10,21.54434690031882,0.0784313725490196,0.15267513949836342
48,WPLRec,50,10,31.622776601683793,0.0784313725490196,0.1519954702475503
49,WPLRec,50,10,46.41588833612777,0.0784313725490196,0.14657070530177385
50,WPLRec,50,10,68.12920690579608,0.058823529411764705,0.11023782929500518
51,WPLRec,50,10,100.0,0.049019607843137254,0.08321638301908378
52,WPLRec,50,100,0.0,0.0784313725490196,0.1789472680719035
53,WPLRec,50,100,0.01,0.0784313725490196,0.1789472680719035
54,WPLRec,50,100,0.014677992676220698,0.0784313725490196,0.1789472680719035
55,WPLRec,50,100,0.021544346900318832,0.0784313725490196,0.1789472680719035
56,WPLRec,50,100,0.03162277660168379,0.0784313725490196,0.1789472680719035
57,WPLRec,50,100,0.046415888336127774,0.0784313725490196,0.1789472680719035
