model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
BPR,50,1,1E-05,30,Cosine,0,1,,"[0.0141, 0.0012]","[0.0023, 0.0002]","[0.0021, 0.0002]","[0.0018, 0.0002]","[0.003, 0.0004]","[0.0013, 0.0001]","[0.0049, 0.0009]","[0.0127, 0.0015]","[0.0169, 0.0017]","[0.0196, 0.0018]","[0.0086, 0.0012]","[0.0348, 0.0024]"
BPR,100,1,1E-05,30,Cosine,0,1,,"[0.0242, 0.0016]","[0.0043, 0.0003]","[0.0035, 0.0002]","[0.0031, 0.0002]","[0.0058, 0.0005]","[0.0019, 0.0001]","[0.0096, 0.0013]","[0.025, 0.0021]","[0.0306, 0.0023]","[0.0353, 0.0025]","[0.0174, 0.0018]","[0.0539, 0.003]"
BPR,200,1,1E-05,30,Cosine,0,1,,"[0.0428, 0.0022]","[0.0075, 0.0004]","[0.006, 0.0003]","[0.0052, 0.0003]","[0.0108, 0.0007]","[0.0031, 0.0001]","[0.0198, 0.0018]","[0.0453, 0.0028]","[0.0539, 0.0031]","[0.0608, 0.0033]","[0.034, 0.0025]","[0.0867, 0.0038]"
BPR,50,1,0.0001,30,Cosine,0,1,,"[0.0224, 0.0014]","[0.004, 0.0003]","[0.0033, 0.0002]","[0.003, 0.0002]","[0.0052, 0.0005]","[0.002, 0.0001]","[0.0075, 0.0011]","[0.0224, 0.002]","[0.0275, 0.0022]","[0.0324, 0.0024]","[0.0153, 0.0016]","[0.0534, 0.003]"
BPR,100,1,0.0001,30,Cosine,0,1,,"[0.045, 0.0022]","[0.0079, 0.0005]","[0.0064, 0.0003]","[0.0056, 0.0003]","[0.0109, 0.0007]","[0.0034, 0.0001]","[0.0196, 0.0018]","[0.0474, 0.0029]","[0.0568, 0.0031]","[0.0653, 0.0034]","[0.0336, 0.0025]","[0.0951, 0.004]"
BPR,200,1,0.0001,30,Cosine,0,1,,"[0.0709, 0.0028]","[0.012, 0.0006]","[0.0099, 0.0004]","[0.0085, 0.0003]","[0.0172, 0.0009]","[0.0053, 0.0002]","[0.0307, 0.0023]","[0.0741, 0.0036]","[0.0901, 0.0039]","[0.1012, 0.0041]","[0.055, 0.0032]","[0.1504, 0.0049]"
BPR,50,1,0.001,30,Cosine,0,1,,"[0.0028, 0.0004]","[0.0004, 0.0001]","[0.0004, 0.0001]","[0.0004, 0.0001]","[0.0004, 0.0001]","[0.0003, 0.0]","[0.0004, 0.0002]","[0.0022, 0.0006]","[0.0034, 0.0008]","[0.0044, 0.0009]","[0.0013, 0.0005]","[0.009, 0.0013]"
BPR,100,1,0.001,30,Cosine,0,1,,"[0.0027, 0.0004]","[0.0002, 0.0001]","[0.0003, 0.0001]","[0.0003, 0.0001]","[0.0003, 0.0001]","[0.0003, 0.0]","[0.0004, 0.0002]","[0.0015, 0.0005]","[0.0028, 0.0007]","[0.0036, 0.0008]","[0.0008, 0.0004]","[0.0097, 0.0014]"
BPR,200,1,0.001,30,Cosine,0,1,,"[0.0012, 0.0002]","[0.0002, 0.0001]","[0.0002, 0.0001]","[0.0002, 0.0]","[0.0002, 0.0001]","[0.0001, 0.0]","[0.0001, 0.0001]","[0.0009, 0.0004]","[0.0013, 0.0004]","[0.0014, 0.0005]","[0.0005, 0.0003]","[0.0039, 0.0008]"
BPR,50,1,0.01,30,Cosine,0,1,,"[0.0011, 0.0003]","[0.0001, 0.0001]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0002, 0.0001]","[0.0001, 0.0]","[0.0002, 0.0002]","[0.0007, 0.0004]","[0.0012, 0.0005]","[0.0013, 0.0005]","[0.0005, 0.0003]","[0.0035, 0.0008]"
BPR,100,1,0.01,30,Cosine,0,1,,"[0.0011, 0.0003]","[0.0001, 0.0001]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0001]","[0.0001, 0.0]","[0.0002, 0.0002]","[0.0007, 0.0004]","[0.0013, 0.0005]","[0.0019, 0.0006]","[0.0005, 0.0003]","[0.0036, 0.0008]"
BPR,200,1,0.01,30,Cosine,0,1,,"[0.001, 0.0003]","[0.0001, 0.0001]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0002, 0.0001]","[0.0001, 0.0]","[0.0002, 0.0002]","[0.0008, 0.0004]","[0.0011, 0.0004]","[0.0012, 0.0005]","[0.0006, 0.0003]","[0.003, 0.0007]"
BPR,50,1,0.1,30,Cosine,0,1,,"[0.001, 0.0002]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0001]","[0.0001, 0.0]","[0.0, 0.0001]","[0.0005, 0.0003]","[0.0008, 0.0004]","[0.0012, 0.0004]","[0.0002, 0.0002]","[0.0037, 0.0008]"
BPR,100,1,0.1,30,Cosine,0,1,,"[0.0009, 0.0002]","[0.0001, 0.0001]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0, 0.0]","[0.0001, 0.0]","[0.0001, 0.0001]","[0.0006, 0.0003]","[0.0009, 0.0004]","[0.0012, 0.0005]","[0.0001, 0.0001]","[0.0032, 0.0008]"
BPR,200,1,0.1,30,Cosine,0,1,,"[0.0011, 0.0002]","[0.0001, 0.0001]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0001]","[0.0001, 0.0]","[0.0001, 0.0001]","[0.0007, 0.0003]","[0.0012, 0.0005]","[0.0014, 0.0005]","[0.0003, 0.0002]","[0.0037, 0.0008]"
