model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CML,50,1,1E-05,30,Euclidean,0,1,,"[0.0091, 0.0007]","[0.0015, 0.0002]","[0.0014, 0.0001]","[0.0013, 0.0001]","[0.0015, 0.0003]","[0.0011, 0.0001]","[0.001, 0.0003]","[0.0076, 0.0011]","[0.0103, 0.0013]","[0.0132, 0.0014]","[0.0038, 0.0008]","[0.0285, 0.0021]"
CML,100,1,1E-05,30,Euclidean,0,1,,"[0.0158, 0.0011]","[0.0031, 0.0003]","[0.0027, 0.0002]","[0.0024, 0.0002]","[0.0036, 0.0004]","[0.0016, 0.0001]","[0.0039, 0.0007]","[0.0165, 0.0016]","[0.0217, 0.0019]","[0.0251, 0.002]","[0.0095, 0.0013]","[0.0419, 0.0026]"
CML,200,1,1E-05,30,Euclidean,0,1,,"[0.0187, 0.0012]","[0.0034, 0.0003]","[0.003, 0.0002]","[0.0028, 0.0002]","[0.0044, 0.0005]","[0.0018, 0.0001]","[0.0052, 0.0008]","[0.0184, 0.0017]","[0.0242, 0.002]","[0.0301, 0.0022]","[0.0119, 0.0014]","[0.0486, 0.0028]"
CML,50,1,0.0001,30,Euclidean,0,1,,"[0.0098, 0.0008]","[0.0015, 0.0002]","[0.0015, 0.0002]","[0.0014, 0.0001]","[0.0016, 0.0003]","[0.0012, 0.0001]","[0.0017, 0.0004]","[0.0078, 0.0011]","[0.0114, 0.0014]","[0.0143, 0.0015]","[0.0038, 0.0008]","[0.0303, 0.0022]"
CML,100,1,0.0001,30,Euclidean,0,1,,"[0.0159, 0.0011]","[0.0029, 0.0003]","[0.0026, 0.0002]","[0.0024, 0.0002]","[0.0034, 0.0004]","[0.0016, 0.0001]","[0.0034, 0.0007]","[0.0159, 0.0016]","[0.0209, 0.0019]","[0.0262, 0.0021]","[0.0093, 0.0012]","[0.0438, 0.0027]"
CML,200,1,0.0001,30,Euclidean,0,1,,"[0.0189, 0.0012]","[0.0032, 0.0003]","[0.003, 0.0002]","[0.0028, 0.0002]","[0.0041, 0.0004]","[0.0019, 0.0001]","[0.0049, 0.0008]","[0.0171, 0.0017]","[0.0243, 0.002]","[0.0302, 0.0022]","[0.0108, 0.0013]","[0.0505, 0.0029]"
CML,50,1,0.001,30,Euclidean,0,1,,"[0.01, 0.0008]","[0.0016, 0.0002]","[0.0015, 0.0002]","[0.0014, 0.0001]","[0.0018, 0.0003]","[0.0011, 0.0001]","[0.002, 0.0005]","[0.008, 0.0011]","[0.0115, 0.0014]","[0.0148, 0.0016]","[0.0044, 0.0008]","[0.0298, 0.0022]"
CML,100,1,0.001,30,Euclidean,0,1,,"[0.0165, 0.0011]","[0.0031, 0.0003]","[0.0027, 0.0002]","[0.0025, 0.0002]","[0.0034, 0.0004]","[0.0016, 0.0001]","[0.0044, 0.0008]","[0.0168, 0.0017]","[0.0226, 0.0019]","[0.027, 0.0021]","[0.0094, 0.0012]","[0.0429, 0.0027]"
CML,200,1,0.001,30,Euclidean,0,1,,"[0.019, 0.0012]","[0.0032, 0.0003]","[0.0029, 0.0002]","[0.0027, 0.0002]","[0.0041, 0.0004]","[0.0018, 0.0001]","[0.0055, 0.0009]","[0.017, 0.0017]","[0.0237, 0.002]","[0.0295, 0.0022]","[0.011, 0.0013]","[0.0492, 0.0029]"
CML,50,1,0.01,30,Euclidean,0,1,,"[0.0105, 0.0008]","[0.0016, 0.0002]","[0.0016, 0.0002]","[0.0016, 0.0001]","[0.0017, 0.0003]","[0.0012, 0.0001]","[0.0016, 0.0005]","[0.0085, 0.0012]","[0.0125, 0.0014]","[0.0164, 0.0016]","[0.0043, 0.0008]","[0.0321, 0.0023]"
CML,100,1,0.01,30,Euclidean,0,1,,"[0.017, 0.0012]","[0.003, 0.0003]","[0.0027, 0.0002]","[0.0024, 0.0002]","[0.0037, 0.0004]","[0.0016, 0.0001]","[0.0048, 0.0008]","[0.016, 0.0016]","[0.0215, 0.0019]","[0.0264, 0.0021]","[0.0103, 0.0013]","[0.0436, 0.0027]"
CML,200,1,0.01,30,Euclidean,0,1,,"[0.0189, 0.0012]","[0.0033, 0.0003]","[0.0029, 0.0002]","[0.0027, 0.0002]","[0.0038, 0.0004]","[0.0019, 0.0001]","[0.005, 0.0008]","[0.0174, 0.0017]","[0.0236, 0.002]","[0.0295, 0.0022]","[0.0102, 0.0013]","[0.0507, 0.0029]"
