model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
PLRec,50,1,1,10,Cosine,0,1.0,,"[0.0335, 0.0017]","[0.0056, 0.0004]","[0.005, 0.0003]","[0.0045, 0.0002]","[0.007, 0.0006]","[0.0031, 0.0001]","[0.0112, 0.0013]","[0.0315, 0.0023]","[0.0415, 0.0026]","[0.0496, 0.0029]","[0.0201, 0.0019]","[0.0831, 0.0037]"
PLRec,50,1,10,10,Cosine,0,1.0,,"[0.0335, 0.0017]","[0.0056, 0.0004]","[0.005, 0.0003]","[0.0045, 0.0002]","[0.007, 0.0006]","[0.0031, 0.0001]","[0.0112, 0.0013]","[0.0316, 0.0023]","[0.0415, 0.0026]","[0.0495, 0.0029]","[0.0202, 0.0019]","[0.0831, 0.0037]"
PLRec,50,1,100,10,Cosine,0,1.0,,"[0.0336, 0.0017]","[0.0057, 0.0004]","[0.005, 0.0003]","[0.0045, 0.0002]","[0.007, 0.0006]","[0.0031, 0.0001]","[0.0111, 0.0013]","[0.0317, 0.0023]","[0.0414, 0.0026]","[0.0496, 0.0029]","[0.0201, 0.0019]","[0.0836, 0.0037]"
PLRec,50,1,1000,10,Cosine,0,1.0,,"[0.0352, 0.0018]","[0.0059, 0.0004]","[0.0052, 0.0003]","[0.0047, 0.0003]","[0.0072, 0.0006]","[0.0033, 0.0001]","[0.0112, 0.0013]","[0.0329, 0.0024]","[0.0437, 0.0027]","[0.052, 0.0029]","[0.0208, 0.0019]","[0.0888, 0.0038]"
PLRec,50,1,10000,10,Cosine,0,1.0,,"[0.0377, 0.0018]","[0.0063, 0.0004]","[0.0054, 0.0003]","[0.0049, 0.0003]","[0.0082, 0.0006]","[0.0035, 0.0001]","[0.0122, 0.0014]","[0.0345, 0.0024]","[0.0443, 0.0027]","[0.0538, 0.003]","[0.023, 0.002]","[0.0942, 0.0039]"
PLRec,100,1,1,10,Cosine,0,1.0,,"[0.0375, 0.0019]","[0.0067, 0.0004]","[0.0055, 0.0003]","[0.0049, 0.0003]","[0.0091, 0.0007]","[0.0032, 0.0001]","[0.0136, 0.0014]","[0.0377, 0.0025]","[0.0464, 0.0028]","[0.054, 0.003]","[0.0267, 0.0022]","[0.0858, 0.0037]"
PLRec,100,1,10,10,Cosine,0,1.0,,"[0.0375, 0.0019]","[0.0067, 0.0004]","[0.0056, 0.0003]","[0.0049, 0.0003]","[0.0091, 0.0007]","[0.0032, 0.0001]","[0.0136, 0.0014]","[0.0378, 0.0025]","[0.0466, 0.0028]","[0.0542, 0.003]","[0.0267, 0.0022]","[0.0859, 0.0037]"
PLRec,100,1,100,10,Cosine,0,1.0,,"[0.0378, 0.0019]","[0.0067, 0.0004]","[0.0056, 0.0003]","[0.005, 0.0003]","[0.0091, 0.0007]","[0.0033, 0.0001]","[0.0134, 0.0014]","[0.0379, 0.0025]","[0.0471, 0.0028]","[0.0551, 0.003]","[0.0266, 0.0021]","[0.0878, 0.0038]"
PLRec,100,1,1000,10,Cosine,0,1.0,,"[0.0404, 0.0019]","[0.0071, 0.0004]","[0.0062, 0.0003]","[0.0054, 0.0003]","[0.0094, 0.0007]","[0.0036, 0.0001]","[0.0137, 0.0014]","[0.0398, 0.0026]","[0.0514, 0.0029]","[0.0598, 0.0032]","[0.027, 0.0022]","[0.0955, 0.0039]"
PLRec,100,1,10000,10,Cosine,0,1.0,,"[0.0434, 0.002]","[0.0076, 0.0004]","[0.0065, 0.0003]","[0.0059, 0.0003]","[0.0102, 0.0007]","[0.0039, 0.0002]","[0.0148, 0.0015]","[0.0422, 0.0027]","[0.0541, 0.003]","[0.0644, 0.0033]","[0.0292, 0.0022]","[0.1032, 0.0041]"
