model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
VAE-CF,50,1,1E-05,300,Cosine,0.2,1,,"[0.047, 0.002]","[0.0081, 0.0005]","[0.007, 0.0004]","[0.0062, 0.0003]","[0.0107, 0.0007]","[0.0042, 0.0002]","[0.0153, 0.0015]","[0.0462, 0.0028]","[0.0596, 0.0032]","[0.07, 0.0034]","[0.0306, 0.0023]","[0.1155, 0.0043]"
VAE-CF,50,1,0.0001,300,Cosine,0.2,1,,"[0.0415, 0.0019]","[0.0073, 0.0004]","[0.0063, 0.0003]","[0.0057, 0.0003]","[0.0092, 0.0007]","[0.0039, 0.0002]","[0.0129, 0.0014]","[0.0409, 0.0026]","[0.0527, 0.003]","[0.0623, 0.0032]","[0.0263, 0.0021]","[0.1035, 0.0041]"
VAE-CF,50,1,0.001,300,Cosine,0.2,1,,"[0.0245, 0.0014]","[0.0044, 0.0003]","[0.0037, 0.0003]","[0.0034, 0.0002]","[0.005, 0.0005]","[0.0024, 0.0001]","[0.0067, 0.001]","[0.0238, 0.002]","[0.0301, 0.0022]","[0.0364, 0.0025]","[0.0136, 0.0015]","[0.0645, 0.0032]"
VAE-CF,50,1,0.01,300,Cosine,0.2,1,,"[0.0202, 0.0013]","[0.003, 0.0003]","[0.003, 0.0002]","[0.0027, 0.0002]","[0.0041, 0.0004]","[0.002, 0.0001]","[0.006, 0.0009]","[0.0163, 0.0016]","[0.0238, 0.002]","[0.0284, 0.0022]","[0.0109, 0.0013]","[0.0528, 0.003]"
VAE-CF,50,1,0.1,300,Cosine,0.2,1,,"[0.0203, 0.0013]","[0.0031, 0.0003]","[0.003, 0.0002]","[0.0026, 0.0002]","[0.0041, 0.0004]","[0.002, 0.0001]","[0.006, 0.0009]","[0.0166, 0.0017]","[0.0242, 0.002]","[0.0283, 0.0022]","[0.011, 0.0013]","[0.0531, 0.003]"
VAE-CF,100,1,1E-05,300,Cosine,0.2,1,,"[0.0512, 0.0022]","[0.0089, 0.0005]","[0.0076, 0.0004]","[0.0067, 0.0003]","[0.0117, 0.0008]","[0.0044, 0.0002]","[0.0172, 0.0016]","[0.0518, 0.003]","[0.0654, 0.0033]","[0.076, 0.0036]","[0.0349, 0.0025]","[0.1229, 0.0044]"
VAE-CF,100,1,0.0001,300,Cosine,0.2,1,,"[0.0454, 0.002]","[0.0077, 0.0005]","[0.0067, 0.0003]","[0.0059, 0.0003]","[0.0101, 0.0007]","[0.0041, 0.0002]","[0.0151, 0.0015]","[0.0434, 0.0027]","[0.0559, 0.0031]","[0.0659, 0.0033]","[0.0288, 0.0022]","[0.1107, 0.0042]"
VAE-CF,100,1,0.001,300,Cosine,0.2,1,,"[0.0256, 0.0015]","[0.0043, 0.0003]","[0.0038, 0.0003]","[0.0035, 0.0002]","[0.0057, 0.0005]","[0.0024, 0.0001]","[0.008, 0.0011]","[0.0232, 0.002]","[0.0303, 0.0022]","[0.0369, 0.0025]","[0.0155, 0.0016]","[0.0642, 0.0032]"
VAE-CF,100,1,0.01,300,Cosine,0.2,1,,"[0.0201, 0.0013]","[0.003, 0.0003]","[0.0029, 0.0002]","[0.0027, 0.0002]","[0.0041, 0.0004]","[0.002, 0.0001]","[0.006, 0.0009]","[0.0163, 0.0016]","[0.0231, 0.0019]","[0.0285, 0.0022]","[0.011, 0.0013]","[0.0526, 0.0029]"
VAE-CF,100,1,0.1,300,Cosine,0.2,1,,"[0.0204, 0.0013]","[0.0033, 0.0003]","[0.003, 0.0002]","[0.0027, 0.0002]","[0.0041, 0.0004]","[0.002, 0.0001]","[0.006, 0.0009]","[0.0181, 0.0017]","[0.0241, 0.002]","[0.0284, 0.0022]","[0.011, 0.0013]","[0.0532, 0.003]"
VAE-CF,200,1,1E-05,300,Cosine,0.2,1,,"[0.0555, 0.0023]","[0.0093, 0.0005]","[0.008, 0.0004]","[0.0071, 0.0003]","[0.0125, 0.0008]","[0.0046, 0.0002]","[0.0196, 0.0018]","[0.0555, 0.0031]","[0.0705, 0.0035]","[0.0819, 0.0037]","[0.0389, 0.0026]","[0.13, 0.0045]"
VAE-CF,200,1,0.0001,300,Cosine,0.2,1,,"[0.0468, 0.0021]","[0.008, 0.0005]","[0.0069, 0.0003]","[0.0061, 0.0003]","[0.0101, 0.0007]","[0.0042, 0.0002]","[0.0151, 0.0015]","[0.0455, 0.0028]","[0.0579, 0.0031]","[0.0689, 0.0034]","[0.0294, 0.0023]","[0.1141, 0.0043]"
VAE-CF,200,1,0.001,300,Cosine,0.2,1,,"[0.0268, 0.0015]","[0.0047, 0.0003]","[0.0041, 0.0003]","[0.0038, 0.0002]","[0.0062, 0.0006]","[0.0025, 0.0001]","[0.0083, 0.0011]","[0.0251, 0.002]","[0.0328, 0.0023]","[0.04, 0.0026]","[0.0166, 0.0017]","[0.0667, 0.0033]"
VAE-CF,200,1,0.01,300,Cosine,0.2,1,,"[0.0201, 0.0013]","[0.003, 0.0003]","[0.0029, 0.0002]","[0.0027, 0.0002]","[0.0041, 0.0004]","[0.002, 0.0001]","[0.006, 0.0009]","[0.0163, 0.0016]","[0.023, 0.0019]","[0.0285, 0.0022]","[0.011, 0.0013]","[0.0525, 0.0029]"
VAE-CF,200,1,0.1,300,Cosine,0.2,1,,"[0.0203, 0.0013]","[0.0034, 0.0003]","[0.003, 0.0002]","[0.0027, 0.0002]","[0.0041, 0.0004]","[0.002, 0.0001]","[0.006, 0.0009]","[0.0183, 0.0017]","[0.0241, 0.002]","[0.0283, 0.0022]","[0.011, 0.0013]","[0.0532, 0.003]"
VAE-CF,50,1,1E-05,300,Cosine,0.3,1,,"[0.0462, 0.002]","[0.0081, 0.0005]","[0.0069, 0.0004]","[0.0062, 0.0003]","[0.0102, 0.0007]","[0.0042, 0.0002]","[0.0142, 0.0014]","[0.0457, 0.0028]","[0.0578, 0.0031]","[0.0689, 0.0034]","[0.0296, 0.0022]","[0.1147, 0.0043]"
VAE-CF,50,1,0.0001,300,Cosine,0.3,1,,"[0.0401, 0.0019]","[0.0072, 0.0004]","[0.0063, 0.0003]","[0.0056, 0.0003]","[0.0088, 0.0007]","[0.0037, 0.0001]","[0.0125, 0.0014]","[0.0398, 0.0026]","[0.051, 0.0029]","[0.0605, 0.0032]","[0.0246, 0.002]","[0.0982, 0.004]"
VAE-CF,50,1,0.001,300,Cosine,0.3,1,,"[0.0245, 0.0014]","[0.0044, 0.0003]","[0.0038, 0.0003]","[0.0033, 0.0002]","[0.0052, 0.0005]","[0.0024, 0.0001]","[0.0068, 0.001]","[0.0239, 0.002]","[0.0305, 0.0023]","[0.0359, 0.0024]","[0.014, 0.0015]","[0.0629, 0.0032]"
VAE-CF,50,1,0.01,300,Cosine,0.3,1,,"[0.0201, 0.0013]","[0.003, 0.0003]","[0.0029, 0.0002]","[0.0027, 0.0002]","[0.0041, 0.0004]","[0.002, 0.0001]","[0.006, 0.0009]","[0.0163, 0.0016]","[0.0231, 0.002]","[0.0285, 0.0022]","[0.011, 0.0013]","[0.0526, 0.0029]"
VAE-CF,50,1,0.1,300,Cosine,0.3,1,,"[0.0202, 0.0013]","[0.0031, 0.0003]","[0.003, 0.0002]","[0.0026, 0.0002]","[0.0041, 0.0004]","[0.002, 0.0001]","[0.006, 0.0009]","[0.0166, 0.0017]","[0.0242, 0.002]","[0.0283, 0.0022]","[0.011, 0.0013]","[0.0528, 0.0029]"
