model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
BPR,50,1,1E-05,30,Cosine,0,1,,"[0.0194, 0.0008]","[0.003, 0.0001]","[0.0026, 0.0001]","[0.0023, 0.0001]","[0.0038, 0.0002]","[0.0016, 0.0001]","[0.0064, 0.0006]","[0.0194, 0.001]","[0.0247, 0.0012]","[0.0286, 0.0012]","[0.0125, 0.0008]","[0.0491, 0.0016]"
BPR,100,1,1E-05,30,Cosine,0,1,,"[0.0393, 0.0011]","[0.0065, 0.0002]","[0.0054, 0.0002]","[0.0048, 0.0001]","[0.0083, 0.0003]","[0.0032, 0.0001]","[0.0136, 0.0009]","[0.0418, 0.0015]","[0.0518, 0.0017]","[0.0599, 0.0018]","[0.0275, 0.0012]","[0.0953, 0.0022]"
BPR,200,1,1E-05,30,Cosine,0,1,,"[0.0624, 0.0013]","[0.0104, 0.0003]","[0.0088, 0.0002]","[0.0077, 0.0002]","[0.0136, 0.0004]","[0.0049, 0.0001]","[0.0207, 0.001]","[0.0668, 0.0019]","[0.0834, 0.0021]","[0.0973, 0.0022]","[0.045, 0.0016]","[0.151, 0.0027]"
BPR,50,1,0.0001,30,Cosine,0,1,,"[0.0448, 0.0011]","[0.0073, 0.0002]","[0.0062, 0.0002]","[0.0056, 0.0001]","[0.0092, 0.0004]","[0.0037, 0.0001]","[0.0144, 0.0009]","[0.0462, 0.0016]","[0.0584, 0.0018]","[0.0691, 0.0019]","[0.0303, 0.0013]","[0.112, 0.0024]"
BPR,100,1,0.0001,30,Cosine,0,1,,"[0.0626, 0.0013]","[0.0099, 0.0003]","[0.0086, 0.0002]","[0.0077, 0.0002]","[0.0127, 0.0004]","[0.0052, 0.0001]","[0.0193, 0.001]","[0.064, 0.0019]","[0.0825, 0.0021]","[0.0974, 0.0023]","[0.0418, 0.0015]","[0.1589, 0.0028]"
BPR,200,1,0.0001,30,Cosine,0,1,,"[0.0676, 0.0013]","[0.0108, 0.0003]","[0.0094, 0.0002]","[0.0085, 0.0002]","[0.0136, 0.0004]","[0.0057, 0.0001]","[0.0191, 0.001]","[0.07, 0.0019]","[0.0904, 0.0022]","[0.108, 0.0024]","[0.0449, 0.0016]","[0.176, 0.0029]"
BPR,50,1,0.001,30,Cosine,0,1,,"[0.0004, 0.0001]","[0.0001, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0004, 0.0001]","[0.0005, 0.0002]","[0.0006, 0.0002]","[0.0002, 0.0001]","[0.0015, 0.0003]"
BPR,100,1,0.001,30,Cosine,0,1,,"[0.0004, 0.0001]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0001, 0.0001]","[0.0003, 0.0001]","[0.0004, 0.0002]","[0.0005, 0.0002]","[0.0002, 0.0001]","[0.0014, 0.0003]"
BPR,200,1,0.001,30,Cosine,0,1,,"[0.0004, 0.0001]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0003, 0.0001]","[0.0004, 0.0002]","[0.0006, 0.0002]","[0.0001, 0.0001]","[0.0017, 0.0003]"
BPR,50,1,0.01,30,Cosine,0,1,,"[0.0005, 0.0001]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0, 0.0]","[0.0004, 0.0002]","[0.0005, 0.0002]","[0.0007, 0.0002]","[0.0002, 0.0001]","[0.0016, 0.0003]"
BPR,100,1,0.01,30,Cosine,0,1,,"[0.0005, 0.0001]","[0.0, 0.0]","[0.0, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0001]","[0.0003, 0.0001]","[0.0004, 0.0001]","[0.0006, 0.0002]","[0.0002, 0.0001]","[0.0016, 0.0003]"
BPR,200,1,0.01,30,Cosine,0,1,,"[0.0004, 0.0001]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0, 0.0]","[0.0001, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0003, 0.0001]","[0.0005, 0.0002]","[0.0006, 0.0002]","[0.0002, 0.0001]","[0.0016, 0.0003]"
BPR,50,1,0.1,30,Cosine,0,1,,"[0.0005, 0.0001]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0001]","[0.0005, 0.0002]","[0.0007, 0.0002]","[0.0008, 0.0002]","[0.0002, 0.0001]","[0.0018, 0.0003]"
BPR,100,1,0.1,30,Cosine,0,1,,"[0.0005, 0.0001]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0001, 0.0]","[0.0, 0.0]","[0.0003, 0.0001]","[0.0004, 0.0002]","[0.0006, 0.0002]","[0.0002, 0.0001]","[0.0018, 0.0003]"
BPR,200,1,0.1,30,Cosine,0,1,,"[0.0004, 0.0001]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0002, 0.0001]","[0.0004, 0.0001]","[0.0005, 0.0002]","[0.0, 0.0]","[0.0014, 0.0003]"
