model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CDAE,50,1,1E-06,300,Cosine,0.2,1,,"[0.0175, 0.0006]","[0.0023, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0025, 0.0002]","[0.0018, 0.0001]","[0.0034, 0.0004]","[0.0149, 0.0009]","[0.0206, 0.0011]","[0.0268, 0.0012]","[0.008, 0.0007]","[0.0535, 0.0017]"
CDAE,50,1,1E-06,300,Cosine,0.3,1,,"[0.0174, 0.0006]","[0.0023, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0026, 0.0002]","[0.0017, 0.0001]","[0.0034, 0.0004]","[0.0145, 0.0009]","[0.0209, 0.0011]","[0.0268, 0.0012]","[0.0083, 0.0007]","[0.0531, 0.0017]"
CDAE,50,1,1E-06,300,Cosine,0.4,1,,"[0.0174, 0.0006]","[0.0023, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0026, 0.0002]","[0.0017, 0.0001]","[0.0034, 0.0004]","[0.0145, 0.0009]","[0.0206, 0.0011]","[0.0268, 0.0012]","[0.0083, 0.0007]","[0.0533, 0.0017]"
CDAE,50,1,1E-06,300,Cosine,0.5,1,,"[0.0174, 0.0006]","[0.0023, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0026, 0.0002]","[0.0017, 0.0001]","[0.0034, 0.0004]","[0.0147, 0.0009]","[0.0209, 0.0011]","[0.0268, 0.0012]","[0.0083, 0.0007]","[0.0533, 0.0017]"
CDAE,100,1,1E-06,300,Cosine,0.2,1,,"[0.0174, 0.0006]","[0.0023, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0025, 0.0002]","[0.0017, 0.0001]","[0.0034, 0.0004]","[0.0144, 0.0009]","[0.0209, 0.0011]","[0.0268, 0.0012]","[0.008, 0.0007]","[0.0533, 0.0017]"
CDAE,100,1,1E-06,300,Cosine,0.3,1,,"[0.0176, 0.0006]","[0.0023, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0025, 0.0002]","[0.0018, 0.0001]","[0.0034, 0.0004]","[0.0147, 0.0009]","[0.0206, 0.0011]","[0.0268, 0.0012]","[0.0081, 0.0007]","[0.0541, 0.0017]"
CDAE,100,1,1E-06,300,Cosine,0.4,1,,"[0.0176, 0.0006]","[0.0023, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0025, 0.0002]","[0.0018, 0.0001]","[0.0034, 0.0004]","[0.0144, 0.0009]","[0.0205, 0.0011]","[0.0268, 0.0012]","[0.0081, 0.0007]","[0.0542, 0.0017]"
CDAE,100,1,1E-06,300,Cosine,0.5,1,,"[0.0176, 0.0006]","[0.0023, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0026, 0.0002]","[0.0018, 0.0001]","[0.0034, 0.0004]","[0.0144, 0.0009]","[0.0205, 0.0011]","[0.0268, 0.0012]","[0.0083, 0.0007]","[0.0542, 0.0017]"
CDAE,200,1,1E-06,300,Cosine,0.2,1,,"[0.0175, 0.0006]","[0.0023, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0025, 0.0002]","[0.0017, 0.0001]","[0.0034, 0.0004]","[0.0145, 0.0009]","[0.0206, 0.0011]","[0.0262, 0.0012]","[0.0081, 0.0007]","[0.054, 0.0017]"
CDAE,200,1,1E-06,300,Cosine,0.3,1,,"[0.0175, 0.0006]","[0.0023, 0.0001]","[0.0023, 0.0001]","[0.0021, 0.0001]","[0.0025, 0.0002]","[0.0018, 0.0001]","[0.0034, 0.0004]","[0.0146, 0.0009]","[0.0214, 0.0011]","[0.0261, 0.0012]","[0.008, 0.0007]","[0.054, 0.0017]"
CDAE,200,1,1E-06,300,Cosine,0.4,1,,"[0.0175, 0.0006]","[0.0023, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0025, 0.0002]","[0.0018, 0.0001]","[0.0034, 0.0004]","[0.0146, 0.0009]","[0.0206, 0.0011]","[0.0261, 0.0012]","[0.0081, 0.0007]","[0.0541, 0.0017]"
CDAE,200,1,1E-06,300,Cosine,0.5,1,,"[0.0174, 0.0006]","[0.0023, 0.0001]","[0.0021, 0.0001]","[0.0021, 0.0001]","[0.0025, 0.0002]","[0.0017, 0.0001]","[0.0034, 0.0004]","[0.0145, 0.0009]","[0.0201, 0.001]","[0.0261, 0.0012]","[0.0081, 0.0007]","[0.0536, 0.0017]"
CDAE,50,1,1E-05,300,Cosine,0.3,1,,"[0.018, 0.0006]","[0.0024, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0025, 0.0002]","[0.0018, 0.0001]","[0.0034, 0.0004]","[0.0153, 0.0009]","[0.0212, 0.0011]","[0.0265, 0.0012]","[0.0079, 0.0007]","[0.0561, 0.0017]"
