model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
PLRec,50,1,1,10,Cosine,0,1.0,,"[0.0444, 0.0011]","[0.0071, 0.0002]","[0.0062, 0.0002]","[0.0055, 0.0001]","[0.0093, 0.0004]","[0.0037, 0.0001]","[0.0145, 0.0009]","[0.0446, 0.0016]","[0.057, 0.0017]","[0.0672, 0.0019]","[0.0295, 0.0013]","[0.1116, 0.0024]"
PLRec,50,1,10,10,Cosine,0,1.0,,"[0.0444, 0.0011]","[0.0071, 0.0002]","[0.0062, 0.0002]","[0.0055, 0.0001]","[0.0093, 0.0004]","[0.0037, 0.0001]","[0.0145, 0.0009]","[0.0447, 0.0016]","[0.057, 0.0017]","[0.0672, 0.0019]","[0.0295, 0.0013]","[0.1116, 0.0024]"
PLRec,50,1,100,10,Cosine,0,1.0,,"[0.0445, 0.0011]","[0.0072, 0.0002]","[0.0062, 0.0002]","[0.0055, 0.0001]","[0.0093, 0.0004]","[0.0037, 0.0001]","[0.0145, 0.0009]","[0.0448, 0.0016]","[0.0571, 0.0017]","[0.0674, 0.0019]","[0.0295, 0.0013]","[0.1118, 0.0024]"
PLRec,50,1,1000,10,Cosine,0,1.0,,"[0.0449, 0.0011]","[0.0072, 0.0002]","[0.0063, 0.0002]","[0.0056, 0.0001]","[0.0095, 0.0004]","[0.0037, 0.0001]","[0.0145, 0.0009]","[0.0453, 0.0016]","[0.0579, 0.0018]","[0.0683, 0.0019]","[0.03, 0.0013]","[0.1129, 0.0024]"
PLRec,50,1,10000,10,Cosine,0,1.0,,"[0.046, 0.0011]","[0.0075, 0.0002]","[0.0065, 0.0002]","[0.0057, 0.0002]","[0.0097, 0.0004]","[0.0038, 0.0001]","[0.0147, 0.0009]","[0.0466, 0.0016]","[0.0597, 0.0018]","[0.0702, 0.0019]","[0.0307, 0.0013]","[0.116, 0.0024]"
PLRec,100,1,1,10,Cosine,0,1.0,,"[0.0451, 0.0012]","[0.0073, 0.0002]","[0.0062, 0.0002]","[0.0055, 0.0001]","[0.0098, 0.0004]","[0.0036, 0.0001]","[0.0161, 0.0009]","[0.046, 0.0016]","[0.0575, 0.0017]","[0.0676, 0.0019]","[0.0315, 0.0013]","[0.1088, 0.0023]"
PLRec,100,1,10,10,Cosine,0,1.0,,"[0.0451, 0.0012]","[0.0073, 0.0002]","[0.0062, 0.0002]","[0.0055, 0.0001]","[0.0098, 0.0004]","[0.0036, 0.0001]","[0.0161, 0.0009]","[0.046, 0.0016]","[0.0575, 0.0017]","[0.0676, 0.0019]","[0.0315, 0.0013]","[0.1088, 0.0023]"
PLRec,100,1,100,10,Cosine,0,1.0,,"[0.0453, 0.0012]","[0.0074, 0.0002]","[0.0062, 0.0002]","[0.0055, 0.0001]","[0.0098, 0.0004]","[0.0036, 0.0001]","[0.016, 0.0009]","[0.0463, 0.0016]","[0.0577, 0.0018]","[0.0679, 0.0019]","[0.0315, 0.0013]","[0.1094, 0.0023]"
PLRec,100,1,1000,10,Cosine,0,1.0,,"[0.0471, 0.0012]","[0.0077, 0.0002]","[0.0064, 0.0002]","[0.0057, 0.0001]","[0.0102, 0.0004]","[0.0038, 0.0001]","[0.0162, 0.0009]","[0.0481, 0.0016]","[0.0598, 0.0018]","[0.0706, 0.0019]","[0.0325, 0.0013]","[0.115, 0.0024]"
PLRec,100,1,10000,10,Cosine,0,1.0,,"[0.0506, 0.0012]","[0.0084, 0.0003]","[0.0071, 0.0002]","[0.0062, 0.0002]","[0.0112, 0.0004]","[0.0041, 0.0001]","[0.0167, 0.0009]","[0.0523, 0.0017]","[0.0652, 0.0019]","[0.0763, 0.002]","[0.0357, 0.0014]","[0.1241, 0.0025]"
PLRec,200,1,1,10,Cosine,0,1.0,,"[0.0441, 0.0012]","[0.0073, 0.0002]","[0.0061, 0.0002]","[0.0053, 0.0001]","[0.01, 0.0004]","[0.0034, 0.0001]","[0.0159, 0.0009]","[0.0463, 0.0016]","[0.0571, 0.0017]","[0.066, 0.0019]","[0.0321, 0.0013]","[0.1047, 0.0023]"
PLRec,200,1,10,10,Cosine,0,1.0,,"[0.0441, 0.0012]","[0.0073, 0.0002]","[0.0061, 0.0002]","[0.0053, 0.0001]","[0.01, 0.0004]","[0.0034, 0.0001]","[0.0159, 0.0009]","[0.0463, 0.0016]","[0.0572, 0.0017]","[0.066, 0.0019]","[0.032, 0.0013]","[0.1048, 0.0023]"
PLRec,200,1,100,10,Cosine,0,1.0,,"[0.0447, 0.0012]","[0.0074, 0.0002]","[0.0062, 0.0002]","[0.0054, 0.0001]","[0.0101, 0.0004]","[0.0035, 0.0001]","[0.0161, 0.0009]","[0.0468, 0.0016]","[0.0581, 0.0018]","[0.0671, 0.0019]","[0.0324, 0.0013]","[0.1062, 0.0023]"
PLRec,200,1,1000,10,Cosine,0,1.0,,"[0.0497, 0.0012]","[0.0082, 0.0002]","[0.0069, 0.0002]","[0.0061, 0.0002]","[0.0111, 0.0004]","[0.004, 0.0001]","[0.0171, 0.0009]","[0.0519, 0.0017]","[0.0649, 0.0019]","[0.0756, 0.002]","[0.0355, 0.0014]","[0.1201, 0.0024]"
PLRec,200,1,10000,10,Cosine,0,1.0,,"[0.0564, 0.0013]","[0.0096, 0.0003]","[0.008, 0.0002]","[0.0071, 0.0002]","[0.0125, 0.0004]","[0.0046, 0.0001]","[0.0184, 0.001]","[0.0601, 0.0018]","[0.0748, 0.002]","[0.0875, 0.0021]","[0.0398, 0.0015]","[0.1378, 0.0026]"
