model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
VAE-CF,50,1,1E-05,300,Cosine,0.2,1,,"[0.0471, 0.0011]","[0.0071, 0.0002]","[0.0062, 0.0002]","[0.0056, 0.0001]","[0.0089, 0.0004]","[0.0039, 0.0001]","[0.0144, 0.0009]","[0.0468, 0.0016]","[0.0603, 0.0018]","[0.0722, 0.002]","[0.0301, 0.0013]","[0.1227, 0.0025]"
VAE-CF,50,1,0.0001,300,Cosine,0.2,1,,"[0.0253, 0.0007]","[0.0038, 0.0002]","[0.0035, 0.0001]","[0.0033, 0.0001]","[0.0041, 0.0002]","[0.0025, 0.0001]","[0.0044, 0.0004]","[0.0234, 0.0011]","[0.0322, 0.0013]","[0.0405, 0.0015]","[0.0127, 0.0008]","[0.0764, 0.002]"
VAE-CF,50,1,0.001,300,Cosine,0.2,1,,"[0.0226, 0.0007]","[0.0035, 0.0002]","[0.0033, 0.0001]","[0.003, 0.0001]","[0.0043, 0.0003]","[0.0021, 0.0001]","[0.0049, 0.0005]","[0.0217, 0.0011]","[0.0301, 0.0013]","[0.0364, 0.0014]","[0.0132, 0.0008]","[0.0639, 0.0018]"
VAE-CF,50,1,0.01,300,Cosine,0.2,1,,"[0.0175, 0.0006]","[0.0023, 0.0001]","[0.0021, 0.0001]","[0.002, 0.0001]","[0.0026, 0.0002]","[0.0017, 0.0001]","[0.0034, 0.0004]","[0.0145, 0.0009]","[0.0203, 0.0011]","[0.0248, 0.0012]","[0.0081, 0.0007]","[0.0539, 0.0017]"
VAE-CF,50,1,0.1,300,Cosine,0.2,1,,"[0.0166, 0.0006]","[0.0023, 0.0001]","[0.0021, 0.0001]","[0.002, 0.0001]","[0.0027, 0.0002]","[0.0017, 0.0001]","[0.0026, 0.0003]","[0.0145, 0.0009]","[0.0201, 0.001]","[0.0247, 0.0012]","[0.0086, 0.0007]","[0.0517, 0.0016]"
VAE-CF,100,1,1E-05,300,Cosine,0.2,1,,"[0.0518, 0.0012]","[0.0081, 0.0002]","[0.007, 0.0002]","[0.0062, 0.0002]","[0.0103, 0.0004]","[0.0042, 0.0001]","[0.016, 0.0009]","[0.0532, 0.0017]","[0.0682, 0.0019]","[0.0805, 0.0021]","[0.0346, 0.0014]","[0.1319, 0.0026]"
VAE-CF,100,1,0.0001,300,Cosine,0.2,1,,"[0.0328, 0.0009]","[0.0053, 0.0002]","[0.0048, 0.0002]","[0.0044, 0.0001]","[0.0063, 0.0003]","[0.0029, 0.0001]","[0.008, 0.0006]","[0.0327, 0.0013]","[0.045, 0.0016]","[0.0539, 0.0017]","[0.0194, 0.001]","[0.0895, 0.0022]"
VAE-CF,100,1,0.001,300,Cosine,0.2,1,,"[0.023, 0.0007]","[0.0037, 0.0002]","[0.0033, 0.0001]","[0.0031, 0.0001]","[0.0043, 0.0003]","[0.0022, 0.0001]","[0.0047, 0.0005]","[0.0226, 0.0011]","[0.0304, 0.0013]","[0.0378, 0.0014]","[0.0133, 0.0009]","[0.066, 0.0019]"
VAE-CF,100,1,0.01,300,Cosine,0.2,1,,"[0.0175, 0.0006]","[0.0023, 0.0001]","[0.0021, 0.0001]","[0.002, 0.0001]","[0.0026, 0.0002]","[0.0017, 0.0001]","[0.0034, 0.0004]","[0.0146, 0.0009]","[0.0203, 0.0011]","[0.0256, 0.0012]","[0.0081, 0.0007]","[0.054, 0.0017]"
VAE-CF,100,1,0.1,300,Cosine,0.2,1,,"[0.0178, 0.0006]","[0.0023, 0.0001]","[0.0022, 0.0001]","[0.0022, 0.0001]","[0.0024, 0.0002]","[0.0018, 0.0001]","[0.0034, 0.0004]","[0.0149, 0.0009]","[0.0208, 0.0011]","[0.0272, 0.0012]","[0.0075, 0.0006]","[0.0551, 0.0017]"
