,algorithm,query,retrieval
22,PmiPLRec,[],"[""Toy Story (1995)<br>Animation|Children's|Comedy<br>Popularity:1339.0"", ""Toy Story (1995)<br>Animation|Children's|Comedy<br>Popularity:1339.0"", ""Toy Story (1995)<br>Animation|Children's|Comedy<br>Popularity:1339.0""]"
22,PLRec,[],"[""Toy Story (1995)<br>Animation|Children's|Comedy<br>Popularity:1339.0"", ""Toy Story (1995)<br>Animation|Children's|Comedy<br>Popularity:1339.0"", ""Toy Story (1995)<br>Animation|Children's|Comedy<br>Popularity:1339.0""]"
22,PureSVD,[],"[""Toy Story (1995)<br>Animation|Children's|Comedy<br>Popularity:1339.0"", ""Toy Story (1995)<br>Animation|Children's|Comedy<br>Popularity:1339.0"", ""Toy Story (1995)<br>Animation|Children's|Comedy<br>Popularity:1339.0""]"
2,PureSVD,"['8 1/2 (1963)<br>Drama<br>Popularity:125.0', 'Unbearable Lightness of Being, The (1988)<br>Drama<br>Popularity:81.0', 'Bicentennial Man (1999)<br>Comedy|Drama|Sci-Fi<br>Popularity:93.0']","['Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)<br>Action|Drama<br>Popularity:458.0', 'Green Mile, The (1999)<br>Drama|Thriller<br>Popularity:714.0', 'Ran (1985)<br>Drama|War<br>Popularity:217.0']"
2,PLRec,"['8 1/2 (1963)<br>Drama<br>Popularity:125.0', 'Unbearable Lightness of Being, The (1988)<br>Drama<br>Popularity:81.0', 'Bicentennial Man (1999)<br>Comedy|Drama|Sci-Fi<br>Popularity:93.0']","['Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)<br>Action|Drama<br>Popularity:458.0', 'Green Mile, The (1999)<br>Drama|Thriller<br>Popularity:714.0', 'Ran (1985)<br>Drama|War<br>Popularity:217.0']"
2,PmiPLRec,"['8 1/2 (1963)<br>Drama<br>Popularity:125.0', 'Unbearable Lightness of Being, The (1988)<br>Drama<br>Popularity:81.0', 'Bicentennial Man (1999)<br>Comedy|Drama|Sci-Fi<br>Popularity:93.0']","['Citizen Kane (1941)<br>Drama<br>Popularity:729.0', 'Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)<br>Action|Drama<br>Popularity:458.0', 'Taxi Driver (1976)<br>Drama|Thriller<br>Popularity:807.0']"
12,PmiPLRec,"['8 Seconds (1994)<br>Drama<br>Popularity:20.0', 'Love & Sex (2000)<br>Comedy|Romance<br>Popularity:5.0']","[""Schindler's List (1993)<br>Drama|War<br>Popularity:1770.0"", 'Apollo 13 (1995)<br>Drama<br>Popularity:682.0', 'Jerry Maguire (1996)<br>Drama|Romance<br>Popularity:621.0']"
12,PureSVD,"['8 Seconds (1994)<br>Drama<br>Popularity:20.0', 'Love & Sex (2000)<br>Comedy|Romance<br>Popularity:5.0']","['Aliens (1986)<br>Action|Sci-Fi|Thriller|War<br>Popularity:1153.0', 'Alien (1979)<br>Action|Horror|Sci-Fi|Thriller<br>Popularity:1345.0', 'Apollo 13 (1995)<br>Drama<br>Popularity:682.0']"
12,PLRec,"['8 Seconds (1994)<br>Drama<br>Popularity:20.0', 'Love & Sex (2000)<br>Comedy|Romance<br>Popularity:5.0']","['Aliens (1986)<br>Action|Sci-Fi|Thriller|War<br>Popularity:1153.0', 'Alien (1979)<br>Action|Horror|Sci-Fi|Thriller<br>Popularity:1345.0', 'Apollo 13 (1995)<br>Drama<br>Popularity:682.0']"
47,PLRec,"['Bad Moon (1996)<br>Horror<br>Popularity:2.0', 'To Kill a Mockingbird (1962)<br>Drama<br>Popularity:605.0', 'Last Emperor, The (1987)<br>Drama|War<br>Popularity:309.0', 'My Name Is Joe (1998)<br>Drama|Romance<br>Popularity:12.0', 'Puppet Master 5: The Final Chapter (1994)<br>Horror|Sci-Fi|Thriller<br>Popularity:1.0']","['Amadeus (1984)<br>Drama<br>Popularity:916.0', ""Wizard of Oz, The (1939)<br>Adventure|Children's|Drama|Musical<br>Popularity:1059.0"", 'Killing Fields, The (1984)<br>Drama|War<br>Popularity:470.0']"
47,PmiPLRec,"['Bad Moon (1996)<br>Horror<br>Popularity:2.0', 'To Kill a Mockingbird (1962)<br>Drama<br>Popularity:605.0', 'Last Emperor, The (1987)<br>Drama|War<br>Popularity:309.0', 'My Name Is Joe (1998)<br>Drama|Romance<br>Popularity:12.0', 'Puppet Master 5: The Final Chapter (1994)<br>Horror|Sci-Fi|Thriller<br>Popularity:1.0']","['Amadeus (1984)<br>Drama<br>Popularity:916.0', ""One Flew Over the Cuckoo's Nest (1975)<br>Drama<br>Popularity:1282.0"", 'Casablanca (1942)<br>Drama|Romance|War<br>Popularity:1169.0']"
