domain,root,NDCG
Movielens,0.7,"[0.1962, 0.0009]"
Movielens,0.8,"[0.202, 0.0009]"
Movielens,0.9,"[0.2064, 0.0009]"
Movielens,1,"[0.2092, 0.0009]"
Movielens,1.1,"[0.2079, 0.0009]"
Movielens,1.2,"[0.201, 0.0009]"
Movielens,1.3,"[0.1904, 0.0009]"
Movielens,0.7,"[0.1962, 0.0009]"
Movielens,0.8,"[0.202, 0.0009]"
Movielens,0.9,"[0.2064, 0.0009]"
Movielens,1,"[0.2092, 0.0009]"
Movielens,1.1,"[0.2079, 0.0009]"
Movielens,1.2,"[0.201, 0.0009]"
Movielens,1.3,"[0.1904, 0.0009]"
Movielens,0.7,"[0.1962, 0.0009]"
Movielens,0.8,"[0.202, 0.0009]"
Movielens,0.9,"[0.2064, 0.0009]"
Movielens,1,"[0.2092, 0.0009]"
Movielens,1.1,"[0.2079, 0.0009]"
Movielens,1.2,"[0.201, 0.0009]"
Movielens,1.3,"[0.1904, 0.0009]"
Movielens,0.7,"[0.1962, 0.0009]"
Movielens,0.8,"[0.202, 0.0009]"
Movielens,0.9,"[0.2064, 0.0009]"
Movielens,1,"[0.2092, 0.0009]"
Movielens,1.1,"[0.2079, 0.0009]"
Movielens,1.2,"[0.201, 0.0009]"
Movielens,1.3,"[0.1904, 0.0009]"
Movielens,0.7,"[0.1962, 0.0009]"
Movielens,0.8,"[0.2021, 0.0009]"
Movielens,0.9,"[0.2064, 0.0009]"
Movielens,1,"[0.2092, 0.0009]"
Movielens,1.1,"[0.208, 0.0009]"
Movielens,1.2,"[0.201, 0.0009]"
Movielens,1.3,"[0.1904, 0.0009]"
Movielens,0.7,"[0.1765, 0.0008]"
Movielens,0.8,"[0.1829, 0.0008]"
Movielens,0.9,"[0.1955, 0.0009]"
Movielens,1,"[0.205, 0.0009]"
Movielens,1.1,"[0.208, 0.0009]"
Movielens,1.2,"[0.2005, 0.0009]"
Movielens,1.3,"[0.1906, 0.0009]"
Movielens,0.7,"[0.1765, 0.0008]"
Movielens,0.8,"[0.1829, 0.0008]"
Movielens,0.9,"[0.1955, 0.0009]"
Movielens,1,"[0.205, 0.0009]"
Movielens,1.1,"[0.208, 0.0009]"
Movielens,1.2,"[0.2005, 0.0009]"
Movielens,1.3,"[0.1906, 0.0009]"
Movielens,0.7,"[0.1765, 0.0008]"
Movielens,0.8,"[0.1829, 0.0008]"
Movielens,0.9,"[0.1955, 0.0009]"
Movielens,1,"[0.205, 0.0009]"
Movielens,1.1,"[0.208, 0.0009]"
Movielens,1.2,"[0.2005, 0.0009]"
Movielens,1.3,"[0.1906, 0.0009]"
Movielens,0.7,"[0.1765, 0.0008]"
Movielens,0.8,"[0.1829, 0.0008]"
Movielens,0.9,"[0.1956, 0.0009]"
Movielens,1,"[0.205, 0.0009]"
Movielens,1.1,"[0.208, 0.0009]"
Movielens,1.2,"[0.2005, 0.0009]"
Movielens,1.3,"[0.1906, 0.0009]"
Movielens,0.7,"[0.1766, 0.0008]"
Movielens,0.8,"[0.1831, 0.0008]"
Movielens,0.9,"[0.1957, 0.0009]"
Movielens,1,"[0.2051, 0.0009]"
Movielens,1.1,"[0.2081, 0.0009]"
Movielens,1.2,"[0.2007, 0.0009]"
Movielens,1.3,"[0.1909, 0.0009]"
Movielens,0.7,"[0.1448, 0.0007]"
Movielens,0.8,"[0.1514, 0.0008]"
Movielens,0.9,"[0.1668, 0.0008]"
Movielens,1,"[0.1911, 0.0008]"
Movielens,1.1,"[0.2021, 0.0009]"
