model,rank,alpha,lambda,iter,similarity,corruption,root,topK,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50,Unnamed: 0,metric
PLRec,50,1,10000,10,Cosine,0,1,"[5, 10, 15, 20, 50]","[0.1297, 0.001]","[0.1243, 0.0008]","[0.1201, 0.0008]","[0.1376, 0.0012]","[0.1042, 0.0006]","[0.1785, 0.0008]","[0.1179, 0.0008]","[0.111, 0.0007]","[0.1053, 0.0006]","[0.1288, 0.001]","[0.0851, 0.0004]","[0.0955, 0.0006]","[0.082, 0.0007]","[0.1144, 0.0008]","[0.1427, 0.0009]","[0.0452, 0.0005]","[0.2652, 0.0012]",4,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
BPR,50,1,0.00001,30,Cosine,0,1,"[5, 10, 15, 20, 50]","[0.1147, 0.0009]","[0.11, 0.0008]","[0.1064, 0.0008]","[0.1207, 0.0011]","[0.0927, 0.0006]","[0.154, 0.0008]","[0.1051, 0.0008]","[0.0982, 0.0007]","[0.0935, 0.0006]","[0.1149, 0.001]","[0.0763, 0.0004]","[0.0846, 0.0006]","[0.0708, 0.0007]","[0.0957, 0.0008]","[0.119, 0.0009]","[0.0397, 0.0005]","[0.2267, 0.0012]",0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
NCE-SVD,50,1,1,10,Cosine,0,1,"[5, 10, 15, 20, 50]","[0.1089, 0.0009]","[0.105, 0.0008]","[0.1022, 0.0007]","[0.115, 0.0011]","[0.0911, 0.0005]","[0.1638, 0.0008]","[0.1, 0.0007]","[0.0957, 0.0006]","[0.0923, 0.0005]","[0.1083, 0.0009]","[0.0766, 0.0004]","[0.0809, 0.0005]","[0.0699, 0.0007]","[0.1011, 0.0008]","[0.131, 0.001]","[0.0379, 0.0005]","[0.2594, 0.0013]",,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
NCE-PLRec,50,1,1,10,Cosine,0,1,"[5, 10, 15, 20, 50]","[0.1375, 0.001]","[0.1319, 0.0009]","[0.1275, 0.0008]","[0.1456, 0.0012]","[0.1113, 0.0006]","[0.1957, 0.0009]","[0.1253, 0.0008]","[0.1179, 0.0007]","[0.1122, 0.0006]","[0.137, 0.001]","[0.0917, 0.0005]","[0.102, 0.0006]","[0.0898, 0.0008]","[0.125, 0.0009]","[0.1568, 0.001]","[0.0498, 0.0005]","[0.2971, 0.0014]",3,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
CML,100,1,0.01,30,Euclidean,0,1,"[5, 10, 15, 20, 50]","[0.1204, 0.0009]","[0.117, 0.0008]","[0.1142, 0.0008]","[0.1246, 0.0011]","[0.1024, 0.0006]","[0.177, 0.0008]","[0.1135, 0.0008]","[0.1082, 0.0007]","[0.104, 0.0006]","[0.1203, 0.001]","[0.0869, 0.0005]","[0.0906, 0.0006]","[0.0754, 0.0007]","[0.1074, 0.0008]","[0.1375, 0.0009]","[0.04, 0.0005]","[0.2766, 0.0013]",8,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
PureSVD,50,1,1,10,Cosine,0,1,"[5, 10, 15, 20, 50]","[0.1296, 0.001]","[0.1242, 0.0008]","[0.12, 0.0008]","[0.1375, 0.0012]","[0.1041, 0.0006]","[0.1783, 0.0008]","[0.1177, 0.0008]","[0.1109, 0.0007]","[0.1053, 0.0006]","[0.1287, 0.001]","[0.085, 0.0004]","[0.0954, 0.0006]","[0.0819, 0.0007]","[0.1143, 0.0008]","[0.1425, 0.0009]","[0.0451, 0.0005]","[0.2647, 0.0012]",0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
CDAE,50,1,0.00001,300,Cosine,0.2,1,"[5, 10, 15, 20, 50]","[0.1177, 0.001]","[0.1123, 0.0009]","[0.1081, 0.0008]","[0.1259, 0.0012]","[0.0932, 0.0006]","[0.1536, 0.0008]","[0.1057, 0.0008]","[0.0987, 0.0007]","[0.0937, 0.0006]","[0.1173, 0.001]","[0.0756, 0.0005]","[0.084, 0.0006]","[0.0711, 0.0007]","[0.0973, 0.0008]","[0.1196, 0.0009]","[0.0399, 0.0005]","[0.2219, 0.0012]",0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
WRMF,200,1,100,10,Cosine,0,1,"[5, 10, 15, 20, 50]","[0.1354, 0.001]","[0.13, 0.0009]","[0.1259, 0.0008]","[0.1433, 0.0012]","[0.1106, 0.0006]","[0.1962, 0.0008]","[0.1236, 0.0008]","[0.1168, 0.0007]","[0.1116, 0.0006]","[0.1342, 0.001]","[0.0918, 0.0004]","[0.1, 0.0006]","[0.0889, 0.0007]","[0.1254, 0.0009]","[0.1582, 0.001]","[0.0485, 0.0005]","[0.3021, 0.0014]",12,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
VAE-CF,200,1,0.001,300,Cosine,0.5,1,"[5, 10, 15, 20, 50]","[0.1305, 0.0009]","[0.1258, 0.0008]","[0.122, 0.0008]","[0.1371, 0.0012]","[0.1075, 0.0006]","[0.1973, 0.0009]","[0.1204, 0.0008]","[0.1136, 0.0007]","[0.1085, 0.0006]","[0.1302, 0.001]","[0.0899, 0.0004]","[0.1008, 0.0006]","[0.0907, 0.0008]","[0.1261, 0.0009]","[0.1584, 0.0011]","[0.0503, 0.0006]","[0.3067, 0.0014]",12,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
AutoRec,50,1,0.00001,300,Cosine,0,1,"[5, 10, 15, 20, 50]","[0.13, 0.001]","[0.1237, 0.0009]","[0.1188, 0.0008]","[0.1388, 0.0012]","[0.1018, 0.0006]","[0.1693, 0.0009]","[0.1166, 0.0008]","[0.1079, 0.0007]","[0.1018, 0.0006]","[0.1294, 0.001]","[0.0821, 0.0005]","[0.0931, 0.0006]","[0.0799, 0.0007]","[0.1068, 0.0009]","[0.1311, 0.001]","[0.0455, 0.0005]","[0.2442, 0.0013]",0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
POP,1,1,1,1,Cosine,0,1,"[5, 10, 15, 20, 50]","[0.0949, 0.0009]","[0.0905, 0.0008]","[0.0871, 0.0007]","[0.1011, 0.0011]","[0.0739, 0.0005]","[0.1194, 0.0007]","[0.0854, 0.0007]","[0.0792, 0.0006]","[0.0751, 0.0006]","[0.0945, 0.0009]","[0.0585, 0.0004]","[0.068, 0.0005]","[0.0581, 0.0006]","[0.0776, 0.0007]","[0.0974, 0.0008]","[0.0327, 0.0004]","[0.167, 0.0011]",,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
