,model,rank,alpha,root,topK,R-Precision,RP-STD,NDCG,NDCG-STD,NDCG-STD@10,NDCG-STD@15,NDCG-STD@20,NDCG-STD@5,NDCG@10,NDCG@15,NDCG@20,NDCG@5,R-Precision@10,R-Precision@15,R-Precision@20,R-Precision@5,RP-STD@10,RP-STD@15,RP-STD@20,RP-STD@5
0,PmiPLRec,100,1,0.7,,,,,,0.10673755610639017,0.1122694522698551,0.11581004812336018,0.09457861526642258,"(0.04967366964632559,)","(0.06048493680995311,)","(0.07009721206267436,)","(0.03436716795283408,)","(0.05736593631915435,)","(0.07973511635398225,)","(0.10215296505922322,)","(0.030788843473537667,)","(0.13727233171471176,)","(0.1607213722504613,)","(0.17976851067141117,)","(0.09869921656274178,)"
1,PmiPLRec,100,1,0.8,,,,,,0.10796446702993456,0.11386373245154964,0.11777215589531116,0.09640333943632529,"(0.05029111760877997,)","(0.06189594971273636,)","(0.07176348000151121,)","(0.03515067366289615,)","(0.057128869279684136,)","(0.08170008624293645,)","(0.10491126999758939,)","(0.03144603303062528,)","(0.13561056604510097,)","(0.16197016683273618,)","(0.1830047603353041,)","(0.10026570533199619,)"
2,PmiPLRec,100,1,0.9,,,,,,0.10818050364676027,0.11459538524309269,0.11852344021627208,0.09631635619220331,"(0.05092856544743832,)","(0.06297150250960884,)","(0.0727507226812514,)","(0.03560959389022929,)","(0.05787520955407558,)","(0.08329180869507272,)","(0.1059136688414838,)","(0.03174989013743914,)","(0.13577756667058305,)","(0.16380529856177745,)","(0.18445749417186666,)","(0.09910521095058825,)"
3,PmiPLRec,100,1,1.0,,,,,,0.10929553386252705,0.11525366260566178,0.11956497405791919,0.09825600655632391,"(0.05216714819402217,)","(0.06354663571572595,)","(0.07370912491284526,)","(0.03635147045909997,)","(0.05948731869970509,)","(0.08302280137889696,)","(0.10664392543874102,)","(0.032415421889946214,)","(0.13765664805629244,)","(0.16242062038008023,)","(0.18421427032824497,)","(0.10240084362461291,)"
4,PmiPLRec,100,1,1.1,,,,,,0.10939343372055027,0.11562184668575655,0.11983157241532268,0.09820749350437517,"(0.05217152023924461,)","(0.06376360067442143,)","(0.07350491008793175,)","(0.03660834060374314,)","(0.059604082092730507,)","(0.08354809978421113,)","(0.10557957507175451,)","(0.03267978988627572,)","(0.13805781827462674,)","(0.1640693416586383,)","(0.1826981293952014,)","(0.10260191051582583,)"
5,PmiPLRec,100,1,1.2,,,,,,0.10447790274271848,0.11056078017384909,0.11529103073867639,0.09232578149628125,"(0.04951679148048884,)","(0.06071926710198776,)","(0.0698732594073271,)","(0.034189349029919484,)","(0.05574718082866741,)","(0.07876377760468327,)","(0.09918839252746478,)","(0.029864879402817183,)","(0.13172704441313973,)","(0.15719601585823345,)","(0.1758490448575121,)","(0.09447508210150941,)"
6,PmiPLRec,100,1,1.3,,,,,,0.09968870759188006,0.10638238457403698,0.11027579513295001,0.08813050668247928,"(0.04663788769480568,)","(0.056957579069937536,)","(0.06590665445923126,)","(0.03274547892080087,)","(0.05190465354058392,)","(0.07264861577387188,)","(0.09177689787458088,)","(0.028869464529737647,)","(0.12609625541170955,)","(0.15087520191638237,)","(0.165584521006424,)","(0.09261434487869032,)"
7,PLRec,100,1,1.0,,,,,,0.09708428558390966,0.1034143087512073,0.10759326403997842,0.08518891146307819,"(0.0449264920571862,)","(0.05598089155730936,)","(0.06491995933916418,)","(0.030663947929022127,)","(0.05355217546627525,)","(0.076428141665664,)","(0.09690924056470734,)","(0.028445327595109537,)","(0.13221628681863368,)","(0.1568349454928459,)","(0.17549761543654158,)","(0.09313395137633251,)"
8,PureSVD,100,1,1.0,,,,,,0.09940036293578193,0.10510318606911835,0.10950610491670747,0.08700512572721619,"(0.046201434627521305,)","(0.05652439978199807,)","(0.06596937142337135,)","(0.031698951452040915,)","(0.054686185048208456,)","(0.07602189344708098,)","(0.09793541605547362,)","(0.029299065110805326,)","(0.13527080412606407,)","(0.15831339040464096,)","(0.1786544015765136,)","(0.0935982674325881,)"
9,WPLRec,100,0,1.0,,,,,,0.09708428558390966,0.1034143087512073,0.10759359962004349,0.08518891146307819,"(0.0449264920571862,)","(0.05598089155730936,)","(0.06492040636338334,)","(0.030663947929022127,)","(0.05355217546627525,)","(0.076428141665664,)","(0.09690924056470734,)","(0.028445327595109537,)","(0.13221628681863368,)","(0.1568349454928459,)","(0.17549761543654158,)","(0.09313395137633251,)"
10,WPLRec,100,1,1.0,,,,,,0.09614871215333289,0.10236103850361294,0.1071315688043025,0.08365548967645407,"(0.04358257652196447,)","(0.05383286182318952,)","(0.06298613333405961,)","(0.02953868513810797,)","(0.05304858652524358,)","(0.07456924624649972,)","(0.09591587789959044,)","(0.02790533567000302,)","(0.13397422020473837,)","(0.15807949004014557,)","(0.17998869165421294,)","(0.0921314331935306,)"
11,WPLRec,100,10,1.0,,,,,,0.09275305897260384,0.09986029905258544,0.10473981242799761,0.08111836067431294,"(0.03866902638635897,)","(0.048162990000801834,)","(0.05610506763539638,)","(0.026318120197084387,)","(0.047634507331848874,)","(0.06764723818395368,)","(0.08690464730352984,)","(0.025510344705983016,)","(0.1282988791455525,)","(0.15408575151349344,)","(0.17710257877302196,)","(0.09021537143625166,)"
12,PmiWPLRec,100,0,0.7,,,,,,0.10673755610639017,0.1122694522698551,0.11581004812336018,0.09457861526642258,"(0.04967366964632559,)","(0.06048493680995311,)","(0.07009721206267436,)","(0.03436716795283408,)","(0.05736593631915435,)","(0.07973511635398225,)","(0.10215296505922322,)","(0.030788843473537667,)","(0.13727233171471176,)","(0.1607213722504613,)","(0.17976851067141117,)","(0.09869921656274178,)"
13,PmiWPLRec,100,0,0.8,,,,,,0.10796446702993456,0.11386373245154964,0.11777215589531116,0.09640333943632529,"(0.05029111760877997,)","(0.06189594971273636,)","(0.07176348000151121,)","(0.03515067366289615,)","(0.057128869279684136,)","(0.08170008624293645,)","(0.10491126999758939,)","(0.03144603303062528,)","(0.13561056604510097,)","(0.16197016683273618,)","(0.1830047603353041,)","(0.10026570533199619,)"
14,PmiWPLRec,100,0,0.9,,,,,,0.10818050364676027,0.11459538524309269,0.11852344021627208,0.09631635619220331,"(0.05092856544743832,)","(0.06297150250960884,)","(0.0727507226812514,)","(0.03560959389022929,)","(0.05787520955407558,)","(0.08329180869507272,)","(0.1059136688414838,)","(0.03174989013743914,)","(0.13577756667058305,)","(0.16380529856177745,)","(0.18445749417186666,)","(0.09910521095058825,)"
15,PmiWPLRec,100,0,1.0,,,,,,0.10929553386252705,0.11525366260566178,0.11956497405791919,0.09825600655632391,"(0.05216714819402217,)","(0.06354663571572595,)","(0.07370912491284526,)","(0.03635147045909997,)","(0.05948731869970509,)","(0.08302280137889696,)","(0.10664392543874102,)","(0.032415421889946214,)","(0.13765664805629244,)","(0.16242062038008023,)","(0.18421427032824497,)","(0.10240084362461291,)"
16,PmiWPLRec,100,0,1.1,,,,,,0.10939343372055027,0.11562184668575655,0.11983157241532268,0.09820749350437517,"(0.05217152023924461,)","(0.06376360067442143,)","(0.07350491008793175,)","(0.03660834060374314,)","(0.059604082092730507,)","(0.08354809978421113,)","(0.10557957507175451,)","(0.03267978988627572,)","(0.13805781827462674,)","(0.1640693416586383,)","(0.1826981293952014,)","(0.10260191051582583,)"
17,PmiWPLRec,100,0,1.2,,,,,,0.10447790274271848,0.11056078017384909,0.11529103073867639,0.09232578149628125,"(0.04951679148048884,)","(0.06071926710198776,)","(0.0698732594073271,)","(0.034189349029919484,)","(0.05574718082866741,)","(0.07876377760468327,)","(0.09918839252746478,)","(0.029864879402817183,)","(0.13172704441313973,)","(0.15719601585823345,)","(0.1758490448575121,)","(0.09447508210150941,)"
18,PmiWPLRec,100,0,1.3,,,,,,0.09968870759188006,0.10638238457403698,0.11027579513295001,0.08813050668247928,"(0.04663788769480568,)","(0.056957579069937536,)","(0.06590665445923126,)","(0.03274547892080087,)","(0.05190465354058392,)","(0.07264861577387188,)","(0.09177689787458088,)","(0.028869464529737647,)","(0.12609625541170955,)","(0.15087520191638237,)","(0.165584521006424,)","(0.09261434487869032,)"
19,PmiWPLRec,100,1,0.7,,,,,,0.10570838706669232,0.11129715621592828,0.11543637707676135,0.09327108112827383,"(0.04812962801757116,)","(0.05936371828649164,)","(0.06856054523584099,)","(0.03267751838232246,)","(0.0571534801334138,)","(0.08087136247913719,)","(0.10217018230604889,)","(0.02973470124930603,)","(0.1396178423947582,)","(0.1642913334214173,)","(0.18434563012291455,)","(0.09834619270879544,)"
20,PmiWPLRec,100,1,0.8,,,,,,0.10643192642216764,0.11332451623707164,0.11683659891206594,0.0948550496013622,"(0.04868764602518943,)","(0.06059001125138761,)","(0.06988105283035648,)","(0.03380955518130744,)","(0.056499991472014066,)","(0.0819528017359507,)","(0.10334724962662435,)","(0.030743853861228982,)","(0.1362009471444454,)","(0.1655484771039481,)","(0.1839728732219563,)","(0.09978726104626752,)"
21,PmiWPLRec,100,1,0.9,,,,,,0.10788965286601139,0.11409858392334993,0.11820133608530922,0.09606613524267593,"(0.05007049994619564,)","(0.06201061312095911,)","(0.0714097735773966,)","(0.03478106778944145,)","(0.05805728436385301,)","(0.08348124908873689,)","(0.10540508753988566,)","(0.03146014496381692,)","(0.13848415135278688,)","(0.16502902643652323,)","(0.18628915366694063,)","(0.09962560665223259,)"
22,PmiWPLRec,100,1,1.0,,,,,,0.10933411557149703,0.11547901753763364,0.11943909115271699,0.09745273220901503,"(0.05068494929677206,)","(0.06272504654798866,)","(0.07235103573597802,)","(0.035195271039354735,)","(0.05838822013170473,)","(0.08354146563181951,)","(0.10623609038558181,)","(0.031635107479193146,)","(0.13916504180769507,)","(0.16534803727118988,)","(0.18537752355500153,)","(0.10184644157321436,)"
23,PmiWPLRec,100,1,1.1,,,,,,0.10744776251231336,0.11384059245346387,0.11833002667373793,0.09565898022194147,"(0.05031680052929246,)","(0.06177209349302943,)","(0.07150667423188549,)","(0.034804014536477974,)","(0.05823487336779642,)","(0.08193784973232228,)","(0.10424756511362479,)","(0.03128603189707721,)","(0.13804370612462827,)","(0.16350248061432393,)","(0.18428061359146505,)","(0.09987610296860719,)"
24,PmiWPLRec,100,1,1.2,,,,,,0.10231479209337906,0.10890594633573045,0.11319552427127326,0.09026618630284704,"(0.04722686727346015,)","(0.05826172641115424,)","(0.06774553896901092,)","(0.03274646940301939,)","(0.053536464470159514,)","(0.07616548907040478,)","(0.09718495256538402,)","(0.02909034489419608,)","(0.13067635749696357,)","(0.15671417703599314,)","(0.17364321860285375,)","(0.09359155877659096,)"
25,PmiWPLRec,100,1,1.3,,,,,,0.09780954836881738,0.10359789176520301,0.10882961030763975,0.08547484657637841,"(0.04407304172423944,)","(0.05448328781839978,)","(0.06357656636614586,)","(0.030539997835216246,)","(0.049069772584874334,)","(0.07001659583985896,)","(0.09006079627018072,)","(0.026527647034274557,)","(0.1242888312249384,)","(0.14712519370884608,)","(0.16693208752443486,)","(0.08891853351555222,)"
26,PmiWPLRec,100,10,0.7,,,,,,0.09974998484964492,0.10633887940133187,0.11098285106545526,0.08775370334927693,"(0.04310762679609772,)","(0.0539033303112344,)","(0.06196313113913101,)","(0.029020354064257625,)","(0.053229390844603645,)","(0.07655880385209242,)","(0.09540256444692348,)","(0.027857369471743908,)","(0.13670925355230848,)","(0.16387142609825625,)","(0.18414450891532402,)","(0.09673846340372066,)"
27,PmiWPLRec,100,10,0.8,,,,,,0.10085028484517364,0.1081945327389603,0.11263177877992388,0.08852107223465487,"(0.04429854494038701,)","(0.05498725766612313,)","(0.06317764463566458,)","(0.029811867950906228,)","(0.054542846702641624,)","(0.07756482910562042,)","(0.09666996396984899,)","(0.02869476509824952,)","(0.13708077796367021,)","(0.16524002755528683,)","(0.1854038730119225,)","(0.09684445893954251,)"
28,PmiWPLRec,100,10,0.9,,,,,,0.10245589543094936,0.10896297821937903,0.11433199472950456,0.09044671088954624,"(0.04494994597443138,)","(0.055399832820125484,)","(0.0648841366456915,)","(0.03084337944219329,)","(0.0542329115644323,)","(0.07675454518884126,)","(0.09950433178508031,)","(0.029251943644422334,)","(0.13628258020844222,)","(0.1640161809988908,)","(0.18837826774901048,)","(0.09713809075656665,)"
