,model,rank,alpha,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50,lambda,similarity,iter,corruption
0,AutoRec,50,1,,,"[0.17, 0.0037]","[0.0918, 0.003]","[0.0873, 0.0026]","[0.0844, 0.0023]","[0.0973, 0.0039]","[0.0712, 0.0016]","[0.0888, 0.0028]","[0.0774, 0.0031]","[0.1076, 0.0037]","[0.1353, 0.0041]","[0.0439, 0.0023]","[0.2674, 0.0057]",0.00001,Cosine,300,0
1,AutoRec,50,1,,,"[0.1486, 0.0035]","[0.0887, 0.0032]","[0.0838, 0.0027]","[0.0804, 0.0024]","[0.0937, 0.0041]","[0.0672, 0.0017]","[0.0808, 0.0026]","[0.0644, 0.0028]","[0.0881, 0.0032]","[0.1107, 0.0036]","[0.0361, 0.002]","[0.2231, 0.005]",0.0001,Cosine,300,0
2,AutoRec,50,1,,,"[0.1287, 0.0033]","[0.0823, 0.0033]","[0.0788, 0.0028]","[0.0757, 0.0025]","[0.0873, 0.0041]","[0.0609, 0.0018]","[0.0698, 0.0025]","[0.0521, 0.0024]","[0.0761, 0.003]","[0.0973, 0.0035]","[0.0285, 0.0018]","[0.1911, 0.0048]",0.001,Cosine,300,0
3,AutoRec,50,1,,,"[0.1282, 0.0033]","[0.0818, 0.0032]","[0.0783, 0.0028]","[0.0749, 0.0025]","[0.0864, 0.0041]","[0.0603, 0.0017]","[0.0692, 0.0024]","[0.052, 0.0024]","[0.0759, 0.003]","[0.0968, 0.0034]","[0.0278, 0.0017]","[0.1904, 0.0048]",0.01,Cosine,300,0
4,AutoRec,50,1,,,"[0.1273, 0.0033]","[0.0814, 0.0032]","[0.0783, 0.0028]","[0.075, 0.0025]","[0.0877, 0.0042]","[0.0591, 0.0017]","[0.0685, 0.0024]","[0.0523, 0.0025]","[0.0757, 0.003]","[0.097, 0.0034]","[0.0283, 0.0017]","[0.1886, 0.0048]",0.1,Cosine,300,0
5,AutoRec,100,1,,,"[0.1722, 0.0037]","[0.0914, 0.0029]","[0.0881, 0.0025]","[0.0844, 0.0023]","[0.0964, 0.0038]","[0.0707, 0.0016]","[0.0889, 0.0027]","[0.0804, 0.0032]","[0.1129, 0.0038]","[0.1402, 0.0043]","[0.0451, 0.0024]","[0.2715, 0.0058]",0.00001,Cosine,300,0
6,AutoRec,100,1,,,"[0.1512, 0.0035]","[0.0891, 0.0031]","[0.0846, 0.0027]","[0.0807, 0.0024]","[0.0952, 0.0041]","[0.0677, 0.0017]","[0.0824, 0.0026]","[0.0652, 0.0027]","[0.0898, 0.0032]","[0.1117, 0.0036]","[0.037, 0.0021]","[0.2252, 0.005]",0.0001,Cosine,300,0
7,AutoRec,100,1,,,"[0.1287, 0.0033]","[0.0819, 0.0032]","[0.0785, 0.0028]","[0.0748, 0.0025]","[0.0872, 0.0041]","[0.0607, 0.0018]","[0.0697, 0.0024]","[0.0522, 0.0024]","[0.0761, 0.003]","[0.0963, 0.0035]","[0.0284, 0.0018]","[0.1904, 0.0048]",0.001,Cosine,300,0
8,AutoRec,100,1,,,"[0.1277, 0.0033]","[0.0819, 0.0032]","[0.0782, 0.0028]","[0.0744, 0.0025]","[0.0863, 0.0041]","[0.0604, 0.0018]","[0.069, 0.0024]","[0.0523, 0.0024]","[0.0758, 0.003]","[0.0961, 0.0035]","[0.0281, 0.0018]","[0.1898, 0.0048]",0.01,Cosine,300,0
9,AutoRec,100,1,,,"[0.1275, 0.0033]","[0.0816, 0.0032]","[0.0782, 0.0028]","[0.0748, 0.0025]","[0.0875, 0.0042]","[0.0593, 0.0017]","[0.0685, 0.0024]","[0.0525, 0.0025]","[0.0756, 0.003]","[0.0969, 0.0034]","[0.0282, 0.0017]","[0.1892, 0.0048]",0.1,Cosine,300,0
