,model,rank,alpha,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50,lambda,similarity,iter,corruption
0,CDAE,50,1,,,"[0.1562, 0.0035]","[0.089, 0.0031]","[0.0848, 0.0027]","[0.0817, 0.0024]","[0.0939, 0.0039]","[0.0682, 0.0017]","[0.0841, 0.0027]","[0.0685, 0.0028]","[0.0953, 0.0033]","[0.1199, 0.0037]","[0.0384, 0.0021]","[0.2379, 0.0052]",0.00001,Cosine,300,0.5
1,CDAE,50,1,,,"[0.1381, 0.0034]","[0.0879, 0.0034]","[0.0828, 0.0029]","[0.0797, 0.0026]","[0.0973, 0.0044]","[0.0649, 0.0019]","[0.0758, 0.0025]","[0.0576, 0.0026]","[0.0798, 0.003]","[0.101, 0.0034]","[0.0325, 0.0019]","[0.2037, 0.0049]",0.0001,Cosine,300,0.5
2,CDAE,50,1,,,"[0.1288, 0.0033]","[0.0821, 0.0032]","[0.0788, 0.0028]","[0.0757, 0.0026]","[0.0866, 0.0041]","[0.0609, 0.0018]","[0.0697, 0.0024]","[0.0521, 0.0024]","[0.0762, 0.003]","[0.0972, 0.0035]","[0.0279, 0.0017]","[0.1912, 0.0048]",0.001,Cosine,300,0.5
3,CDAE,50,1,,,"[0.1281, 0.0033]","[0.0816, 0.0032]","[0.0782, 0.0028]","[0.0748, 0.0025]","[0.0862, 0.0041]","[0.0602, 0.0017]","[0.0692, 0.0024]","[0.0522, 0.0024]","[0.0759, 0.003]","[0.0966, 0.0034]","[0.0277, 0.0017]","[0.1902, 0.0048]",0.01,Cosine,300,0.5
4,CDAE,50,1,,,"[0.1277, 0.0033]","[0.0815, 0.0032]","[0.078, 0.0028]","[0.0749, 0.0025]","[0.0877, 0.0042]","[0.0595, 0.0017]","[0.0688, 0.0024]","[0.0524, 0.0025]","[0.0756, 0.003]","[0.0968, 0.0034]","[0.0283, 0.0017]","[0.1896, 0.0048]",0.1,Cosine,300,0.5
5,CDAE,100,1,,,"[0.1597, 0.0036]","[0.0887, 0.003]","[0.0855, 0.0026]","[0.0828, 0.0024]","[0.0947, 0.004]","[0.0692, 0.0016]","[0.0853, 0.0027]","[0.0695, 0.0029]","[0.0976, 0.0034]","[0.123, 0.0038]","[0.0395, 0.0022]","[0.2447, 0.0053]",0.00001,Cosine,300,0.5
6,CDAE,100,1,,,"[0.1407, 0.0034]","[0.0885, 0.0033]","[0.0841, 0.0029]","[0.0805, 0.0026]","[0.0979, 0.0043]","[0.0659, 0.0018]","[0.0777, 0.0025]","[0.0582, 0.0026]","[0.0813, 0.003]","[0.1026, 0.0035]","[0.0339, 0.0019]","[0.2064, 0.0049]",0.0001,Cosine,300,0.5
7,CDAE,100,1,,,"[0.1284, 0.0033]","[0.082, 0.0032]","[0.0786, 0.0028]","[0.0748, 0.0025]","[0.0871, 0.0041]","[0.0607, 0.0018]","[0.0695, 0.0024]","[0.0523, 0.0024]","[0.076, 0.003]","[0.0963, 0.0035]","[0.0284, 0.0018]","[0.1905, 0.0048]",0.001,Cosine,300,0.5
8,CDAE,100,1,,,"[0.1279, 0.0033]","[0.0818, 0.0032]","[0.0782, 0.0028]","[0.0744, 0.0025]","[0.0862, 0.0041]","[0.0603, 0.0017]","[0.0691, 0.0024]","[0.0522, 0.0024]","[0.0759, 0.003]","[0.0961, 0.0035]","[0.0277, 0.0017]","[0.1897, 0.0048]",0.01,Cosine,300,0.5
9,CDAE,100,1,,,"[0.1279, 0.0033]","[0.0816, 0.0032]","[0.0781, 0.0028]","[0.075, 0.0025]","[0.0877, 0.0042]","[0.0596, 0.0017]","[0.0689, 0.0024]","[0.0525, 0.0025]","[0.0756, 0.003]","[0.0968, 0.0034]","[0.0283, 0.0017]","[0.19, 0.0048]",0.1,Cosine,300,0.5
10,CDAE,200,1,,,"[0.1616, 0.0036]","[0.0892, 0.003]","[0.0857, 0.0026]","[0.0825, 0.0023]","[0.0951, 0.0039]","[0.0696, 0.0016]","[0.086, 0.0027]","[0.0714, 0.0029]","[0.0986, 0.0034]","[0.125, 0.0039]","[0.0405, 0.0022]","[0.2484, 0.0053]",0.00001,Cosine,300,0.5
