,model,rank,alpha,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50,lambda,similarity,iter,corruption
0,WRMF,50,1,,,"[0.1765, 0.0038]","[0.0867, 0.0027]","[0.0831, 0.0022]","[0.0801, 0.002]","[0.0918, 0.0036]","[0.0675, 0.0013]","[0.0875, 0.0027]","[0.0887, 0.0036]","[0.1225, 0.0043]","[0.1528, 0.0049]","[0.0494, 0.0027]","[0.2872, 0.0063]",1,Cosine,10,0
1,WRMF,50,1,,,"[0.1809, 0.0038]","[0.0887, 0.0027]","[0.085, 0.0023]","[0.082, 0.002]","[0.0932, 0.0036]","[0.0695, 0.0014]","[0.0899, 0.0028]","[0.0908, 0.0037]","[0.1248, 0.0044]","[0.1564, 0.0049]","[0.0501, 0.0027]","[0.2945, 0.0063]",10,Cosine,10,0
2,WRMF,50,1,,,"[0.1549, 0.0037]","[0.0954, 0.0034]","[0.0907, 0.0029]","[0.0863, 0.0026]","[0.1003, 0.0044]","[0.0699, 0.0018]","[0.0839, 0.0027]","[0.0687, 0.0029]","[0.0959, 0.0035]","[0.1192, 0.0039]","[0.0372, 0.0021]","[0.2317, 0.0053]",100,Cosine,10,0
3,WRMF,50,1,,,"[0.1288, 0.0033]","[0.0829, 0.0033]","[0.0797, 0.0029]","[0.0772, 0.0026]","[0.0914, 0.0042]","[0.0615, 0.0018]","[0.0708, 0.0025]","[0.0527, 0.0025]","[0.0751, 0.003]","[0.0991, 0.0035]","[0.0303, 0.0018]","[0.1917, 0.0049]",1000,Cosine,10,0
4,WRMF,50,1,,,"[0.0091, 0.0006]","[0.0044, 0.0006]","[0.0043, 0.0005]","[0.0043, 0.0004]","[0.0042, 0.0007]","[0.0051, 0.0003]","[0.0035, 0.0003]","[0.0021, 0.0004]","[0.0034, 0.0005]","[0.0048, 0.0007]","[0.0009, 0.0002]","[0.0167, 0.0012]",10000,Cosine,10,0
5,WRMF,50,10,,,"[0.1744, 0.0038]","[0.083, 0.0026]","[0.0803, 0.0022]","[0.077, 0.0019]","[0.0889, 0.0036]","[0.0654, 0.0013]","[0.0832, 0.0027]","[0.0875, 0.0037]","[0.1224, 0.0044]","[0.1529, 0.0049]","[0.0489, 0.0027]","[0.2892, 0.0065]",1,Cosine,10,0
6,WRMF,50,10,,,"[0.1767, 0.0038]","[0.0845, 0.0026]","[0.0813, 0.0022]","[0.0778, 0.0019]","[0.0886, 0.0036]","[0.0664, 0.0013]","[0.0838, 0.0027]","[0.0885, 0.0037]","[0.1243, 0.0045]","[0.1539, 0.0049]","[0.0488, 0.0027]","[0.2939, 0.0065]",10,Cosine,10,0
7,WRMF,50,10,,,"[0.1897, 0.0039]","[0.0915, 0.0028]","[0.0883, 0.0024]","[0.0856, 0.0021]","[0.0954, 0.0037]","[0.0733, 0.0015]","[0.0926, 0.0029]","[0.0943, 0.0038]","[0.1313, 0.0046]","[0.1637, 0.005]","[0.0522, 0.0028]","[0.3142, 0.0066]",100,Cosine,10,0
8,WRMF,50,10,,,"[0.1299, 0.0034]","[0.0825, 0.0033]","[0.0788, 0.0028]","[0.0765, 0.0025]","[0.0903, 0.0042]","[0.0612, 0.0018]","[0.0705, 0.0025]","[0.0527, 0.0025]","[0.0748, 0.003]","[0.0992, 0.0035]","[0.03, 0.0018]","[0.1925, 0.0049]",1000,Cosine,10,0
9,WRMF,50,10,,,"[0.1288, 0.0033]","[0.0829, 0.0033]","[0.0797, 0.0029]","[0.0772, 0.0026]","[0.0914, 0.0042]","[0.0615, 0.0018]","[0.0708, 0.0025]","[0.0527, 0.0025]","[0.0751, 0.003]","[0.0991, 0.0035]","[0.0303, 0.0018]","[0.1917, 0.0049]",10000,Cosine,10,0
