model,rank,alpha,lambda,iter,similarity,corruption,root,topK,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50,Unnamed: 0,metric
PLRec,50,1,10000.0,10,Cosine,0.0,1.0,"[5, 10, 15, 20, 50]","[0.1198, 0.0042]","[0.1161, 0.0037]","[0.1132, 0.0033]","[0.1248, 0.0053]","[0.102, 0.0024]","[0.1704, 0.0034]","[0.1116, 0.0033]","[0.1068, 0.0029]","[0.1032, 0.0026]","[0.1197, 0.0044]","[0.0879, 0.0019]","[0.0953, 0.0025]","[0.0719, 0.0029]","[0.1016, 0.0035]","[0.1279, 0.004]","[0.0401, 0.0021]","[0.2479, 0.0054]",4.0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
BPR,200,1,1e-05,30,Cosine,0.0,,"[5, 10, 15, 20, 50]","[0.1163, 0.0041]","[0.1137, 0.0036]","[0.1113, 0.0033]","[0.1201, 0.0052]","[0.1015, 0.0025]","[0.1693, 0.0034]","[0.1111, 0.0034]","[0.1064, 0.0029]","[0.103, 0.0026]","[0.1154, 0.0043]","[0.0886, 0.0019]","[0.096, 0.0025]","[0.0702, 0.0028]","[0.0974, 0.0033]","[0.1234, 0.0038]","[0.0388, 0.0021]","[0.2454, 0.0053]",10.0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
NCE-SVD,50,1,1.0,10,Cosine,0.0,1.0,"[5, 10, 15, 20, 50]","[0.093, 0.0037]","[0.0904, 0.0033]","[0.0882, 0.0029]","[0.0966, 0.0047]","[0.079, 0.0021]","[0.1409, 0.0035]","[0.0872, 0.003]","[0.0837, 0.0025]","[0.0803, 0.0022]","[0.0927, 0.0039]","[0.0673, 0.0015]","[0.0756, 0.0025]","[0.0619, 0.0029]","[0.087, 0.0036]","[0.1096, 0.004]","[0.0344, 0.0021]","[0.2125, 0.0056]",,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
NCE-PLRec,100,1,10000.0,10,Cosine,0.0,1.1,"[5, 10, 15, 20, 50]","[0.125, 0.0044]","[0.1212, 0.0039]","[0.1181, 0.0035]","[0.131, 0.0055]","[0.1059, 0.0026]","[0.179, 0.0036]","[0.117, 0.0035]","[0.1115, 0.003]","[0.1071, 0.0027]","[0.1248, 0.0046]","[0.0907, 0.0019]","[0.0991, 0.0026]","[0.0775, 0.0031]","[0.1082, 0.0038]","[0.1358, 0.0042]","[0.0424, 0.0022]","[0.2609, 0.0056]",67.0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
CML,200,1,0.1,30,Euclidean,0.0,,"[5, 10, 15, 20, 50]","[0.1296, 0.0046]","[0.1254, 0.004]","[0.1221, 0.0037]","[0.1354, 0.0056]","[0.1097, 0.0028]","[0.1766, 0.0035]","[0.121, 0.0037]","[0.1147, 0.0032]","[0.1109, 0.0029]","[0.1276, 0.0047]","[0.0943, 0.0021]","[0.0991, 0.0026]","[0.072, 0.0029]","[0.0991, 0.0034]","[0.1264, 0.0038]","[0.0392, 0.0021]","[0.2533, 0.0053]",14.0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
PureSVD,50,1,1.0,10,Cosine,0.0,,"[5, 10, 15, 20, 50]","[0.1161, 0.0041]","[0.1126, 0.0036]","[0.1098, 0.0032]","[0.1212, 0.0052]","[0.0987, 0.0024]","[0.1644, 0.0033]","[0.1079, 0.0032]","[0.104, 0.0028]","[0.0998, 0.0025]","[0.116, 0.0043]","[0.0852, 0.0018]","[0.092, 0.0024]","[0.0693, 0.0028]","[0.0983, 0.0035]","[0.123, 0.0038]","[0.0383, 0.002]","[0.2383, 0.0052]",0.0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
CDAE,200,1,1e-05,300,Cosine,0.5,,"[5, 10, 15, 20, 50]","[0.1236, 0.0045]","[0.1191, 0.004]","[0.1156, 0.0037]","[0.1297, 0.0056]","[0.1033, 0.0028]","[0.1589, 0.0034]","[0.1143, 0.0037]","[0.1077, 0.0032]","[0.1035, 0.0029]","[0.1231, 0.0047]","[0.0893, 0.0021]","[0.0941, 0.0025]","[0.0617, 0.0024]","[0.0853, 0.0029]","[0.108, 0.0033]","[0.0351, 0.0018]","[0.2177, 0.0047]",10.0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
WRMF,200,10,100.0,10,Cosine,0.0,,"[5, 10, 15, 20, 50]","[0.1193, 0.0043]","[0.1164, 0.0037]","[0.114, 0.0034]","[0.1235, 0.0053]","[0.1039, 0.0025]","[0.1788, 0.0036]","[0.1129, 0.0034]","[0.1096, 0.003]","[0.1053, 0.0027]","[0.1198, 0.0045]","[0.091, 0.002]","[0.097, 0.0026]","[0.0749, 0.003]","[0.1073, 0.0037]","[0.1344, 0.0042]","[0.0411, 0.0022]","[0.2668, 0.0058]",37.0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
VAE-CF,200,1,1e-05,300,Cosine,0.4,1.0,"[5, 10, 15, 20, 50]","[0.1044, 0.0037]","[0.1027, 0.0032]","[0.101, 0.0029]","[0.1054, 0.0047]","[0.0932, 0.0022]","[0.1627, 0.0034]","[0.1025, 0.003]","[0.0976, 0.0026]","[0.0949, 0.0023]","[0.1057, 0.0039]","[0.083, 0.0017]","[0.0897, 0.0024]","[0.0694, 0.0028]","[0.0964, 0.0034]","[0.1213, 0.0038]","[0.0371, 0.002]","[0.2433, 0.0054]",,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
AutoRec,200,1,1e-05,300,Cosine,0.0,,"[5, 10, 15, 20, 50]","[0.119, 0.0043]","[0.1154, 0.0037]","[0.1125, 0.0034]","[0.1241, 0.0053]","[0.1013, 0.0025]","[0.1672, 0.0034]","[0.1113, 0.0034]","[0.1064, 0.003]","[0.1021, 0.0027]","[0.1184, 0.0044]","[0.0874, 0.0019]","[0.0944, 0.0025]","[0.0688, 0.0027]","[0.0965, 0.0033]","[0.1208, 0.0037]","[0.0374, 0.0019]","[0.2397, 0.0052]",10.0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
