,model,rank,alpha,root,topK,NDCG,R-Precision,Precision@5,Precision@10,Precision@15,Precision@20,Recall@5,Recall@10,Recall@15,Recall@20
0,PmiPLRec,100,1,0.7,,"[0.07639, 0.0005]","[0.0533, 0.00038]","[0.11026, 0.00094]","[0.10425, 0.00075]","[0.09991, 0.00066]","[0.09643, 0.0006]","[0.02128, 0.00025]","[0.04169, 0.00038]","[0.06028, 0.00049]","[0.07721, 0.00056]"
1,PmiPLRec,100,1,0.8,,"[0.0794, 0.00052]","[0.05485, 0.0004]","[0.11341, 0.00096]","[0.10699, 0.00076]","[0.10291, 0.00067]","[0.09946, 0.00061]","[0.02199, 0.00025]","[0.04312, 0.0004]","[0.06321, 0.00052]","[0.08122, 0.0006]"
2,PmiPLRec,100,1,0.9,,"[0.08464, 0.00056]","[0.05683, 0.00041]","[0.1169, 0.00099]","[0.11003, 0.00079]","[0.10698, 0.0007]","[0.10457, 0.00064]","[0.02287, 0.00026]","[0.04441, 0.00042]","[0.06698, 0.00057]","[0.08877, 0.0007]"
3,PmiPLRec,100,1,1,,"[0.08852, 0.0006]","[0.05947, 0.00044]","[0.12113, 0.00102]","[0.11392, 0.00082]","[0.11057, 0.00073]","[0.10836, 0.00067]","[0.02399, 0.00027]","[0.04635, 0.00043]","[0.06964, 0.0006]","[0.09292, 0.00074]"
4,PmiPLRec,100,1,1.1,,"[0.08387, 0.00056]","[0.05975, 0.00043]","[0.12412, 0.00103]","[0.11515, 0.00083]","[0.10976, 0.00074]","[0.10627, 0.00068]","[0.02429, 0.00027]","[0.04459, 0.0004]","[0.06343, 0.00051]","[0.0817, 0.0006]"
5,PmiPLRec,100,1,1.2,,"[0.07823, 0.00054]","[0.05638, 0.00042]","[0.12151, 0.00103]","[0.1127, 0.00083]","[0.10705, 0.00074]","[0.10279, 0.00068]","[0.02282, 0.00026]","[0.04116, 0.00038]","[0.05781, 0.00047]","[0.07305, 0.00054]"
6,PmiPLRec,100,1,1.3,,"[0.07218, 0.00051]","[0.05183, 0.00039]","[0.11727, 0.00101]","[0.10833, 0.00082]","[0.1025, 0.00073]","[0.09822, 0.00067]","[0.02083, 0.00024]","[0.03738, 0.00035]","[0.05216, 0.00043]","[0.06566, 0.0005]"
7,PLRec,100,1,1,,"[0.07129, 0.00047]","[0.05011, 0.00037]","[0.10342, 0.0009]","[0.09813, 0.00072]","[0.09445, 0.00063]","[0.09143, 0.00058]","[0.01972, 0.00024]","[0.03861, 0.00037]","[0.056, 0.00047]","[0.07195, 0.00054]"
8,PureSVD,100,1,1,,"[0.07131, 0.00047]","[0.05018, 0.00037]","[0.10336, 0.0009]","[0.09818, 0.00072]","[0.09437, 0.00063]","[0.09138, 0.00058]","[0.01971, 0.00024]","[0.0387, 0.00037]","[0.05596, 0.00047]","[0.0719, 0.00054]"
9,WPLRec,100,0,1,,"[0.07129, 0.00047]","[0.05011, 0.00037]","[0.10342, 0.0009]","[0.09813, 0.00072]","[0.09445, 0.00063]","[0.09143, 0.00058]","[0.01972, 0.00024]","[0.03861, 0.00037]","[0.056, 0.00047]","[0.07195, 0.00054]"
10,WPLRec,100,0.1,1,,"[0.071, 0.00048]","[0.04974, 0.00037]","[0.10152, 0.00089]","[0.09694, 0.00071]","[0.09343, 0.00063]","[0.09064, 0.00057]","[0.01946, 0.00024]","[0.03861, 0.00037]","[0.05628, 0.00048]","[0.07237, 0.00055]"
11,WPLRec,100,1,1,,"[0.06982, 0.00049]","[0.04827, 0.00038]","[0.09386, 0.00085]","[0.09111, 0.00068]","[0.089, 0.0006]","[0.087, 0.00055]","[0.01849, 0.00024]","[0.03816, 0.00039]","[0.05683, 0.00051]","[0.07411, 0.00061]"
12,WPLRec,100,10,1,,"[0.064, 0.00049]","[0.04426, 0.00037]","[0.08093, 0.00077]","[0.07925, 0.00061]","[0.0778, 0.00054]","[0.0765, 0.00049]","[0.01739, 0.00024]","[0.03581, 0.00039]","[0.05353, 0.00052]","[0.07001, 0.00062]"
13,PmiWPLRec,100,0,0.7,,"[0.07639, 0.0005]","[0.0533, 0.00038]","[0.11026, 0.00094]","[0.10425, 0.00075]","[0.09991, 0.00066]","[0.09643, 0.0006]","[0.02128, 0.00025]","[0.04169, 0.00038]","[0.06028, 0.00049]","[0.07721, 0.00056]"
14,PmiWPLRec,100,0,0.8,,"[0.0794, 0.00052]","[0.05485, 0.0004]","[0.11341, 0.00096]","[0.10699, 0.00076]","[0.10291, 0.00067]","[0.09946, 0.00061]","[0.02199, 0.00025]","[0.04312, 0.0004]","[0.06321, 0.00052]","[0.08122, 0.0006]"
15,PmiWPLRec,100,0,0.9,,"[0.08464, 0.00056]","[0.05683, 0.00041]","[0.1169, 0.00099]","[0.11003, 0.00079]","[0.10698, 0.0007]","[0.10457, 0.00064]","[0.02287, 0.00026]","[0.04441, 0.00042]","[0.06698, 0.00057]","[0.08877, 0.0007]"
16,PmiWPLRec,100,0,1,,"[0.08852, 0.0006]","[0.05947, 0.00044]","[0.12113, 0.00102]","[0.11392, 0.00082]","[0.11057, 0.00073]","[0.10836, 0.00067]","[0.02399, 0.00027]","[0.04635, 0.00043]","[0.06964, 0.0006]","[0.09292, 0.00074]"
17,PmiWPLRec,100,0,1.1,,"[0.08387, 0.00056]","[0.05975, 0.00043]","[0.12412, 0.00103]","[0.11515, 0.00083]","[0.10976, 0.00074]","[0.10627, 0.00068]","[0.02429, 0.00027]","[0.04459, 0.0004]","[0.06343, 0.00051]","[0.0817, 0.0006]"
18,PmiWPLRec,100,0,1.2,,"[0.07823, 0.00054]","[0.05638, 0.00042]","[0.12151, 0.00103]","[0.1127, 0.00083]","[0.10705, 0.00074]","[0.10279, 0.00068]","[0.02282, 0.00026]","[0.04116, 0.00038]","[0.05781, 0.00047]","[0.07305, 0.00054]"
