,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,BPR,50,1,1e-05,30,Cosine,0,1.0,,"[0.1699, 0.0009]","[0.0907, 0.0007]","[0.0863, 0.0006]","[0.0822, 0.0005]","[0.0977, 0.0009]","[0.0663, 0.0004]","[0.0853, 0.0006]","[0.0854, 0.0008]","[0.1192, 0.0009]","[0.1478, 0.0011]","[0.0496, 0.0006]","[0.2734, 0.0014]"
1,BPR,50,1,0.0001,30,Cosine,0,1.0,,"[0.1315, 0.0008]","[0.0769, 0.0006]","[0.0719, 0.0006]","[0.0673, 0.0005]","[0.0857, 0.0008]","[0.0508, 0.0003]","[0.0707, 0.0006]","[0.0752, 0.0007]","[0.1013, 0.0009]","[0.1209, 0.001]","[0.0426, 0.0005]","[0.1979, 0.0012]"
2,BPR,50,1,0.001,30,Cosine,0,1.0,,"[0.1319, 0.0008]","[0.0752, 0.0006]","[0.0709, 0.0006]","[0.0664, 0.0005]","[0.0849, 0.0008]","[0.0508, 0.0004]","[0.0696, 0.0006]","[0.072, 0.0007]","[0.0984, 0.0009]","[0.1201, 0.001]","[0.0428, 0.0005]","[0.2006, 0.0012]"
3,BPR,50,1,0.01,30,Cosine,0,1.0,,"[0.0002, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0, 0.0]","[0.0002, 0.0]"
4,BPR,50,1,0.1,30,Cosine,0,1.0,,"[0.0002, 0.0]","[0.0002, 0.0]","[0.0002, 0.0]","[0.0002, 0.0]","[0.0002, 0.0]","[0.0002, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0, 0.0]","[0.0003, 0.0]"
5,BPR,100,1,1e-05,30,Cosine,0,1.0,,"[0.168, 0.0009]","[0.0905, 0.0007]","[0.085, 0.0006]","[0.0805, 0.0005]","[0.0987, 0.0009]","[0.0658, 0.0004]","[0.0831, 0.0006]","[0.0854, 0.0008]","[0.1176, 0.0009]","[0.1443, 0.001]","[0.0489, 0.0006]","[0.2748, 0.0014]"
6,BPR,100,1,0.0001,30,Cosine,0,1.0,,"[0.1332, 0.0008]","[0.0774, 0.0006]","[0.0724, 0.0006]","[0.0678, 0.0005]","[0.0844, 0.0008]","[0.0511, 0.0004]","[0.0722, 0.0006]","[0.0741, 0.0007]","[0.0998, 0.0009]","[0.1222, 0.001]","[0.0442, 0.0006]","[0.2009, 0.0012]"
7,BPR,100,1,0.001,30,Cosine,0,1.0,,"[0.1313, 0.0008]","[0.0752, 0.0006]","[0.0706, 0.0005]","[0.0661, 0.0005]","[0.0853, 0.0008]","[0.0501, 0.0003]","[0.07, 0.0006]","[0.0723, 0.0007]","[0.0985, 0.0009]","[0.1205, 0.001]","[0.0446, 0.0006]","[0.1984, 0.0012]"
8,BPR,100,1,0.01,30,Cosine,0,1.0,,"[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0, 0.0]","[0.0002, 0.0]"
9,BPR,100,1,0.1,30,Cosine,0,1.0,,"[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0, 0.0]","[0.0002, 0.0]"
10,BPR,200,1,1e-05,30,Cosine,0,1.0,,"[0.163, 0.0008]","[0.089, 0.0007]","[0.0838, 0.0006]","[0.0794, 0.0005]","[0.0963, 0.0009]","[0.0641, 0.0004]","[0.0806, 0.0006]","[0.0835, 0.0008]","[0.116, 0.0009]","[0.1435, 0.001]","[0.0468, 0.0006]","[0.2659, 0.0014]"
11,BPR,200,1,0.0001,30,Cosine,0,1.0,,"[0.1321, 0.0008]","[0.0751, 0.0006]","[0.072, 0.0006]","[0.0674, 0.0005]","[0.0831, 0.0008]","[0.0512, 0.0004]","[0.0701, 0.0006]","[0.0713, 0.0007]","[0.1009, 0.0009]","[0.1216, 0.001]","[0.0432, 0.0006]","[0.2004, 0.0012]"
12,BPR,200,1,0.001,30,Cosine,0,1.0,,"[0.1305, 0.0008]","[0.074, 0.0006]","[0.0706, 0.0006]","[0.0662, 0.0005]","[0.0831, 0.0008]","[0.0499, 0.0003]","[0.0687, 0.0006]","[0.0701, 0.0007]","[0.0981, 0.0009]","[0.1206, 0.001]","[0.0411, 0.0005]","[0.1985, 0.0012]"
13,BPR,200,1,0.01,30,Cosine,0,1.0,,"[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0, 0.0]","[0.0002, 0.0]"
14,BPR,200,1,0.1,30,Cosine,0,1.0,,"[0.0002, 0.0]","[0.0002, 0.0]","[0.0002, 0.0]","[0.0002, 0.0]","[0.0002, 0.0]","[0.0002, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0, 0.0]","[0.0003, 0.0]"
