,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,PLRec,50,1,1,10,Cosine,0,1.0,,"[0.1844, 0.0008]","[0.0991, 0.0007]","[0.0936, 0.0006]","[0.0888, 0.0005]","[0.1072, 0.0009]","[0.0702, 0.0004]","[0.0898, 0.0006]","[0.0964, 0.0008]","[0.1347, 0.001]","[0.1674, 0.0011]","[0.0531, 0.0006]","[0.2988, 0.0014]"
1,PLRec,50,1,10,10,Cosine,0,1.0,,"[0.1844, 0.0008]","[0.0991, 0.0007]","[0.0936, 0.0006]","[0.0888, 0.0005]","[0.1072, 0.0009]","[0.0702, 0.0004]","[0.0898, 0.0006]","[0.0964, 0.0008]","[0.1347, 0.001]","[0.1674, 0.0011]","[0.0531, 0.0006]","[0.2988, 0.0014]"
2,PLRec,50,1,100,10,Cosine,0,1.0,,"[0.1844, 0.0008]","[0.0991, 0.0007]","[0.0936, 0.0006]","[0.0888, 0.0005]","[0.1072, 0.0009]","[0.0702, 0.0004]","[0.0898, 0.0006]","[0.0964, 0.0008]","[0.1347, 0.001]","[0.1674, 0.0011]","[0.0531, 0.0006]","[0.2988, 0.0014]"
3,PLRec,50,1,1000,10,Cosine,0,1.0,,"[0.1844, 0.0008]","[0.0991, 0.0007]","[0.0936, 0.0006]","[0.0888, 0.0005]","[0.1072, 0.0009]","[0.0702, 0.0004]","[0.0898, 0.0006]","[0.0964, 0.0008]","[0.1347, 0.001]","[0.1675, 0.0011]","[0.0531, 0.0006]","[0.2988, 0.0014]"
4,PLRec,50,1,10000,10,Cosine,0,1.0,,"[0.1846, 0.0008]","[0.0992, 0.0007]","[0.0936, 0.0006]","[0.0889, 0.0005]","[0.1073, 0.0009]","[0.0702, 0.0004]","[0.0899, 0.0006]","[0.0965, 0.0008]","[0.1349, 0.001]","[0.1677, 0.0011]","[0.0531, 0.0006]","[0.2992, 0.0014]"
5,PLRec,100,1,1,10,Cosine,0,1.0,,"[0.164, 0.0008]","[0.0908, 0.0006]","[0.0849, 0.0005]","[0.0801, 0.0005]","[0.0991, 0.0008]","[0.0629, 0.0003]","[0.0824, 0.0006]","[0.0881, 0.0008]","[0.1204, 0.0009]","[0.1476, 0.001]","[0.0495, 0.0006]","[0.2599, 0.0013]"
6,PLRec,100,1,10,10,Cosine,0,1.0,,"[0.164, 0.0008]","[0.0908, 0.0006]","[0.0849, 0.0005]","[0.0801, 0.0005]","[0.0991, 0.0008]","[0.0629, 0.0003]","[0.0824, 0.0006]","[0.0881, 0.0008]","[0.1204, 0.0009]","[0.1476, 0.001]","[0.0495, 0.0006]","[0.2599, 0.0013]"
7,PLRec,100,1,100,10,Cosine,0,1.0,,"[0.164, 0.0008]","[0.0908, 0.0006]","[0.0849, 0.0005]","[0.0801, 0.0005]","[0.0991, 0.0008]","[0.0629, 0.0003]","[0.0824, 0.0006]","[0.0881, 0.0008]","[0.1204, 0.0009]","[0.1476, 0.001]","[0.0495, 0.0006]","[0.26, 0.0013]"
8,PLRec,100,1,1000,10,Cosine,0,1.0,,"[0.164, 0.0008]","[0.0908, 0.0006]","[0.0849, 0.0005]","[0.0801, 0.0005]","[0.0991, 0.0008]","[0.0629, 0.0003]","[0.0825, 0.0006]","[0.0881, 0.0008]","[0.1205, 0.0009]","[0.1477, 0.001]","[0.0496, 0.0006]","[0.2601, 0.0013]"
9,PLRec,100,1,10000,10,Cosine,0,1.0,,"[0.1646, 0.0008]","[0.0911, 0.0006]","[0.0851, 0.0005]","[0.0803, 0.0005]","[0.0993, 0.0008]","[0.0631, 0.0003]","[0.0826, 0.0006]","[0.0884, 0.0008]","[0.1209, 0.0009]","[0.1482, 0.001]","[0.0497, 0.0006]","[0.2612, 0.0013]"
10,PLRec,200,1,1,10,Cosine,0,1.0,,"[0.1344, 0.0007]","[0.0788, 0.0006]","[0.0725, 0.0005]","[0.0678, 0.0004]","[0.0881, 0.0008]","[0.052, 0.0003]","[0.0718, 0.0005]","[0.0744, 0.0007]","[0.0987, 0.0008]","[0.1195, 0.0009]","[0.0436, 0.0005]","[0.2045, 0.0011]"
11,PLRec,200,1,10,10,Cosine,0,1.0,,"[0.1344, 0.0007]","[0.0788, 0.0006]","[0.0725, 0.0005]","[0.0678, 0.0004]","[0.0881, 0.0008]","[0.052, 0.0003]","[0.0718, 0.0005]","[0.0744, 0.0007]","[0.0987, 0.0008]","[0.1195, 0.0009]","[0.0436, 0.0005]","[0.2045, 0.0011]"
12,PLRec,200,1,100,10,Cosine,0,1.0,,"[0.1344, 0.0007]","[0.0788, 0.0006]","[0.0725, 0.0005]","[0.0678, 0.0004]","[0.0881, 0.0008]","[0.052, 0.0003]","[0.0718, 0.0005]","[0.0744, 0.0007]","[0.0987, 0.0008]","[0.1195, 0.0009]","[0.0436, 0.0005]","[0.2045, 0.0011]"
13,PLRec,200,1,1000,10,Cosine,0,1.0,,"[0.1345, 0.0007]","[0.0788, 0.0006]","[0.0725, 0.0005]","[0.0678, 0.0004]","[0.0882, 0.0008]","[0.0521, 0.0003]","[0.0718, 0.0005]","[0.0745, 0.0007]","[0.0988, 0.0008]","[0.1196, 0.0009]","[0.0437, 0.0005]","[0.2047, 0.0011]"
14,PLRec,200,1,10000,10,Cosine,0,1.0,,"[0.1358, 0.0007]","[0.0792, 0.0006]","[0.073, 0.0005]","[0.0683, 0.0004]","[0.0886, 0.0008]","[0.0525, 0.0003]","[0.0723, 0.0005]","[0.075, 0.0007]","[0.0998, 0.0008]","[0.121, 0.0009]","[0.0439, 0.0005]","[0.2075, 0.0011]"
