,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,VAE-CF,50,1,1e-05,300,Cosine,0.2,1.0,,"[0.2002, 0.0009]","[0.0985, 0.0007]","[0.094, 0.0006]","[0.0899, 0.0005]","[0.104, 0.0009]","[0.0732, 0.0004]","[0.0912, 0.0006]","[0.1059, 0.0009]","[0.1481, 0.0011]","[0.1857, 0.0012]","[0.0574, 0.0007]","[0.3446, 0.0016]"
1,VAE-CF,50,1,0.0001,300,Cosine,0.2,1.0,,"[0.201, 0.0009]","[0.1002, 0.0007]","[0.0953, 0.0006]","[0.0912, 0.0005]","[0.1064, 0.0009]","[0.074, 0.0004]","[0.0915, 0.0006]","[0.1056, 0.0009]","[0.148, 0.0011]","[0.1861, 0.0012]","[0.057, 0.0006]","[0.345, 0.0016]"
2,VAE-CF,50,1,0.001,300,Cosine,0.2,1.0,,"[0.2019, 0.0009]","[0.1, 0.0007]","[0.0951, 0.0006]","[0.0911, 0.0005]","[0.1062, 0.0009]","[0.0745, 0.0004]","[0.0914, 0.0006]","[0.1065, 0.0009]","[0.1484, 0.0011]","[0.1866, 0.0012]","[0.0575, 0.0006]","[0.3483, 0.0016]"
3,VAE-CF,50,1,0.01,300,Cosine,0.2,1.0,,"[0.2037, 0.0009]","[0.1004, 0.0007]","[0.0959, 0.0006]","[0.0923, 0.0005]","[0.1067, 0.0009]","[0.0761, 0.0004]","[0.0914, 0.0006]","[0.1035, 0.0009]","[0.146, 0.0011]","[0.1852, 0.0012]","[0.0558, 0.0006]","[0.3501, 0.0016]"
4,VAE-CF,50,1,0.1,300,Cosine,0.2,1.0,,"[0.1858, 0.0009]","[0.0978, 0.0007]","[0.0923, 0.0006]","[0.088, 0.0006]","[0.1056, 0.0009]","[0.0722, 0.0004]","[0.0896, 0.0007]","[0.0958, 0.0009]","[0.131, 0.001]","[0.1617, 0.0012]","[0.0539, 0.0006]","[0.3047, 0.0016]"
5,VAE-CF,100,1,1e-05,300,Cosine,0.2,1.0,,"[0.1957, 0.0009]","[0.0949, 0.0006]","[0.0906, 0.0005]","[0.087, 0.0005]","[0.0998, 0.0008]","[0.0715, 0.0003]","[0.0884, 0.0006]","[0.1042, 0.0009]","[0.1461, 0.0011]","[0.1836, 0.0012]","[0.0563, 0.0006]","[0.3387, 0.0016]"
6,VAE-CF,100,1,0.0001,300,Cosine,0.2,1.0,,"[0.2004, 0.0009]","[0.0975, 0.0006]","[0.0929, 0.0005]","[0.0893, 0.0005]","[0.1028, 0.0008]","[0.0729, 0.0003]","[0.0901, 0.0006]","[0.1062, 0.0009]","[0.149, 0.0011]","[0.1879, 0.0012]","[0.0572, 0.0006]","[0.3472, 0.0016]"
7,VAE-CF,100,1,0.001,300,Cosine,0.2,1.0,,"[0.2029, 0.0009]","[0.0991, 0.0006]","[0.0939, 0.0005]","[0.09, 0.0005]","[0.1058, 0.0008]","[0.0735, 0.0004]","[0.0921, 0.0006]","[0.1071, 0.0009]","[0.1493, 0.0011]","[0.1878, 0.0012]","[0.0586, 0.0007]","[0.3494, 0.0016]"
8,VAE-CF,100,1,0.01,300,Cosine,0.2,1.0,,"[0.2036, 0.0009]","[0.0988, 0.0007]","[0.0946, 0.0006]","[0.091, 0.0005]","[0.1056, 0.0009]","[0.0755, 0.0004]","[0.0911, 0.0006]","[0.1025, 0.0009]","[0.1454, 0.0011]","[0.1851, 0.0012]","[0.0562, 0.0006]","[0.3522, 0.0016]"
9,VAE-CF,100,1,0.1,300,Cosine,0.2,1.0,,"[0.1856, 0.0009]","[0.0981, 0.0007]","[0.0924, 0.0006]","[0.088, 0.0006]","[0.1055, 0.0009]","[0.0721, 0.0004]","[0.0894, 0.0007]","[0.0963, 0.0009]","[0.1313, 0.001]","[0.1616, 0.0011]","[0.0536, 0.0006]","[0.3044, 0.0015]"
