,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,WRMF,50,1,1,10,Cosine,0,1,,"[0.1946, 0.0009]","[0.101, 0.0007]","[0.0961, 0.0006]","[0.0918, 0.0005]","[0.1081, 0.0009]","[0.0729, 0.0004]","[0.0917, 0.0006]","[0.1022, 0.0009]","[0.1445, 0.001]","[0.1817, 0.0012]","[0.0552, 0.0006]","[0.3236, 0.0015]"
1,WRMF,50,1,10,10,Cosine,0,1,,"[0.1949, 0.0009]","[0.1013, 0.0007]","[0.0962, 0.0006]","[0.092, 0.0005]","[0.1082, 0.0009]","[0.0731, 0.0004]","[0.0918, 0.0006]","[0.1022, 0.0009]","[0.1444, 0.001]","[0.1818, 0.0012]","[0.0552, 0.0006]","[0.3241, 0.0015]"
2,WRMF,50,1,100,10,Cosine,0,1,,"[0.2062, 0.0009]","[0.1054, 0.0007]","[0.1005, 0.0006]","[0.0965, 0.0005]","[0.1123, 0.0009]","[0.0775, 0.0004]","[0.0953, 0.0007]","[0.1059, 0.0009]","[0.1508, 0.0011]","[0.1913, 0.0012]","[0.0569, 0.0006]","[0.3474, 0.0016]"
3,WRMF,50,1,1000,10,Cosine,0,1,,"[0.1314, 0.0008]","[0.0782, 0.0007]","[0.0726, 0.0006]","[0.069, 0.0005]","[0.0843, 0.0008]","[0.0523, 0.0004]","[0.0698, 0.0006]","[0.0713, 0.0007]","[0.0971, 0.0008]","[0.12, 0.0009]","[0.0386, 0.0005]","[0.1991, 0.0012]"
4,WRMF,50,1,10000,10,Cosine,0,1,,"[0.1309, 0.0008]","[0.0785, 0.0007]","[0.0728, 0.0006]","[0.069, 0.0005]","[0.0846, 0.0008]","[0.0524, 0.0004]","[0.0693, 0.0006]","[0.0714, 0.0007]","[0.0968, 0.0008]","[0.1185, 0.0009]","[0.0391, 0.0005]","[0.1981, 0.0012]"
5,WRMF,100,1,1,10,Cosine,0,1,,"[0.175, 0.0008]","[0.0942, 0.0006]","[0.0885, 0.0005]","[0.0836, 0.0005]","[0.1023, 0.0008]","[0.0659, 0.0003]","[0.0858, 0.0006]","[0.0943, 0.0008]","[0.1301, 0.001]","[0.1604, 0.0011]","[0.0523, 0.0006]","[0.2832, 0.0013]"
6,WRMF,100,1,10,10,Cosine,0,1,,"[0.1763, 0.0008]","[0.0947, 0.0006]","[0.089, 0.0005]","[0.0842, 0.0005]","[0.1026, 0.0008]","[0.0664, 0.0003]","[0.0862, 0.0006]","[0.0948, 0.0008]","[0.131, 0.001]","[0.1617, 0.0011]","[0.0524, 0.0006]","[0.2863, 0.0013]"
7,WRMF,100,1,100,10,Cosine,0,1,,"[0.2083, 0.0009]","[0.1051, 0.0007]","[0.1005, 0.0006]","[0.0966, 0.0005]","[0.1121, 0.0009]","[0.0779, 0.0004]","[0.0947, 0.0006]","[0.1067, 0.0009]","[0.1527, 0.0011]","[0.1941, 0.0013]","[0.057, 0.0006]","[0.3535, 0.0016]"
8,WRMF,100,1,1000,10,Cosine,0,1,,"[0.1314, 0.0008]","[0.0782, 0.0007]","[0.0726, 0.0006]","[0.069, 0.0005]","[0.0843, 0.0008]","[0.0523, 0.0004]","[0.0698, 0.0006]","[0.0713, 0.0007]","[0.0971, 0.0008]","[0.12, 0.0009]","[0.0386, 0.0005]","[0.1991, 0.0012]"
9,WRMF,100,1,10000,10,Cosine,0,1,,"[0.1309, 0.0008]","[0.0785, 0.0007]","[0.0728, 0.0006]","[0.069, 0.0005]","[0.0846, 0.0008]","[0.0524, 0.0004]","[0.0693, 0.0006]","[0.0714, 0.0007]","[0.0968, 0.0008]","[0.1185, 0.0009]","[0.0391, 0.0005]","[0.1981, 0.0012]"
10,WRMF,200,1,1,10,Cosine,0,1,,"[0.1462, 0.0007]","[0.0829, 0.0006]","[0.0764, 0.0005]","[0.0715, 0.0004]","[0.0925, 0.0008]","[0.0552, 0.0003]","[0.076, 0.0006]","[0.0818, 0.0007]","[0.109, 0.0009]","[0.1316, 0.0009]","[0.0477, 0.0006]","[0.2259, 0.0012]"
11,WRMF,200,1,10,10,Cosine,0,1,,"[0.1495, 0.0008]","[0.084, 0.0006]","[0.0776, 0.0005]","[0.0727, 0.0004]","[0.0935, 0.0008]","[0.0564, 0.0003]","[0.0769, 0.0006]","[0.0831, 0.0008]","[0.111, 0.0009]","[0.1346, 0.001]","[0.0482, 0.0006]","[0.2333, 0.0012]"
12,WRMF,200,1,100,10,Cosine,0,1,,"[0.2112, 0.0009]","[0.1062, 0.0007]","[0.1014, 0.0006]","[0.0974, 0.0005]","[0.1128, 0.0009]","[0.0788, 0.0004]","[0.0953, 0.0007]","[0.1093, 0.0009]","[0.1561, 0.0011]","[0.1978, 0.0013]","[0.0581, 0.0006]","[0.3598, 0.0016]"
13,WRMF,200,1,1000,10,Cosine,0,1,,"[0.1314, 0.0008]","[0.0782, 0.0007]","[0.0726, 0.0006]","[0.069, 0.0005]","[0.0843, 0.0008]","[0.0523, 0.0004]","[0.0698, 0.0006]","[0.0713, 0.0007]","[0.0971, 0.0008]","[0.12, 0.0009]","[0.0386, 0.0005]","[0.1991, 0.0012]"
14,WRMF,200,1,10000,10,Cosine,0,1,,"[0.1309, 0.0008]","[0.0785, 0.0007]","[0.0728, 0.0006]","[0.069, 0.0005]","[0.0846, 0.0008]","[0.0524, 0.0004]","[0.0693, 0.0006]","[0.0714, 0.0007]","[0.0968, 0.0008]","[0.1185, 0.0009]","[0.0391, 0.0005]","[0.1981, 0.0012]"
15,WRMF,50,10,1,10,Cosine,0,1,,"[0.1968, 0.0009]","[0.0951, 0.0007]","[0.0916, 0.0006]","[0.0887, 0.0005]","[0.1001, 0.0008]","[0.0734, 0.0004]","[0.0864, 0.0006]","[0.098, 0.0009]","[0.1413, 0.0011]","[0.1822, 0.0012]","[0.0526, 0.0006]","[0.3448, 0.0016]"
