,model,rank,alpha,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,PmiPLRec,100,1,0.8,,"[0.1846, 0.0007]","[0.1737, 0.0009]","[0.1634, 0.0008]","[0.1554, 0.0008]","[0.1882, 0.0012]","[0.1261, 0.0006]","[0.1175, 0.0005]","[0.0709, 0.0005]","[0.0981, 0.0006]","[0.1221, 0.0007]","[0.0389, 0.0004]","[0.2252, 0.0009]"
1,PmiPLRec,100,1,0.9,,"[0.1966, 0.0007]","[0.1819, 0.001]","[0.1719, 0.0009]","[0.1639, 0.0008]","[0.1963, 0.0012]","[0.1318, 0.0006]","[0.1251, 0.0006]","[0.077, 0.0006]","[0.1074, 0.0007]","[0.1337, 0.0008]","[0.0421, 0.0004]","[0.242, 0.001]"
2,PmiPLRec,100,1,1,,"[0.208, 0.0008]","[0.1885, 0.001]","[0.1791, 0.0009]","[0.1713, 0.0008]","[0.201, 0.0012]","[0.1382, 0.0006]","[0.1305, 0.0006]","[0.0804, 0.0006]","[0.1138, 0.0007]","[0.1432, 0.0008]","[0.043, 0.0004]","[0.2607, 0.0011]"
3,PmiPLRec,100,1,1.1,,"[0.2146, 0.0008]","[0.1884, 0.001]","[0.1803, 0.0009]","[0.174, 0.0008]","[0.2008, 0.0013]","[0.1439, 0.0006]","[0.1306, 0.0006]","[0.0781, 0.0006]","[0.112, 0.0007]","[0.1439, 0.0009]","[0.0414, 0.0004]","[0.2753, 0.0012]"
4,PmiPLRec,100,1,1.2,,"[0.2118, 0.0008]","[0.1857, 0.0011]","[0.177, 0.001]","[0.1707, 0.0009]","[0.1991, 0.0013]","[0.144, 0.0007]","[0.1273, 0.0006]","[0.0748, 0.0006]","[0.1065, 0.0007]","[0.1368, 0.0008]","[0.0402, 0.0004]","[0.2734, 0.0012]"
5,PLRec,100,1,1,,"[0.1678, 0.0007]","[0.1602, 0.0009]","[0.1512, 0.0008]","[0.144, 0.0007]","[0.1736, 0.0011]","[0.1176, 0.0006]","[0.1075, 0.0005]","[0.0632, 0.0005]","[0.0878, 0.0006]","[0.1092, 0.0006]","[0.0349, 0.0003]","[0.2028, 0.0009]"
6,PureSVD,100,1,1,,"[0.1674, 0.0007]","[0.1602, 0.0009]","[0.151, 0.0008]","[0.1437, 0.0007]","[0.1731, 0.0011]","[0.1173, 0.0006]","[0.1071, 0.0005]","[0.0629, 0.0005]","[0.0873, 0.0006]","[0.1086, 0.0006]","[0.0349, 0.0003]","[0.2019, 0.0009]"
7,WPLRec,100,-0.1,1,,"[0.1678, 0.0007]","[0.1606, 0.0009]","[0.1515, 0.0008]","[0.1442, 0.0007]","[0.1744, 0.0011]","[0.1178, 0.0006]","[0.1076, 0.0005]","[0.0631, 0.0005]","[0.0876, 0.0006]","[0.1089, 0.0006]","[0.0349, 0.0003]","[0.2025, 0.0009]"
8,WPLRec,100,-0.05,1,,"[0.1678, 0.0007]","[0.1604, 0.0009]","[0.1514, 0.0008]","[0.1441, 0.0007]","[0.174, 0.0011]","[0.1177, 0.0006]","[0.1076, 0.0005]","[0.0631, 0.0005]","[0.0877, 0.0006]","[0.109, 0.0006]","[0.0349, 0.0003]","[0.2027, 0.0009]"
9,WPLRec,100,0.1,1,,"[0.1678, 0.0007]","[0.1599, 0.0009]","[0.1509, 0.0008]","[0.1438, 0.0007]","[0.1729, 0.0011]","[0.1175, 0.0006]","[0.1074, 0.0005]","[0.0633, 0.0005]","[0.088, 0.0006]","[0.1094, 0.0007]","[0.0349, 0.0003]","[0.2031, 0.0009]"
10,WPLRec,100,10,1,,"[0.1616, 0.0007]","[0.1433, 0.0008]","[0.1365, 0.0007]","[0.1311, 0.0007]","[0.1529, 0.0011]","[0.1093, 0.0005]","[0.1002, 0.0005]","[0.0613, 0.0005]","[0.0859, 0.0006]","[0.1081, 0.0007]","[0.0336, 0.0004]","[0.2041, 0.001]"
11,PmiWPLRec,100,-0.1,0.8,,"[0.1848, 0.0007]","[0.1743, 0.0009]","[0.1639, 0.0008]","[0.1559, 0.0008]","[0.1892, 0.0012]","[0.1263, 0.0006]","[0.1177, 0.0005]","[0.0709, 0.0005]","[0.0981, 0.0006]","[0.122, 0.0007]","[0.0391, 0.0004]","[0.225, 0.0009]"
12,PmiWPLRec,100,-0.1,0.9,,"[0.1967, 0.0007]","[0.1828, 0.001]","[0.1726, 0.0009]","[0.1644, 0.0008]","[0.1975, 0.0012]","[0.1319, 0.0006]","[0.1254, 0.0006]","[0.0773, 0.0006]","[0.1074, 0.0007]","[0.1337, 0.0008]","[0.0423, 0.0004]","[0.2415, 0.001]"
13,PmiWPLRec,100,-0.1,1,,"[0.2081, 0.0008]","[0.1893, 0.001]","[0.1798, 0.0009]","[0.1719, 0.0008]","[0.2023, 0.0012]","[0.1384, 0.0006]","[0.1309, 0.0006]","[0.0806, 0.0006]","[0.114, 0.0007]","[0.1432, 0.0008]","[0.0432, 0.0004]","[0.2602, 0.0011]"
14,PmiWPLRec,100,-0.1,1.1,,"[0.2149, 0.0008]","[0.1894, 0.001]","[0.1811, 0.0009]","[0.1747, 0.0009]","[0.2017, 0.0013]","[0.1441, 0.0006]","[0.1311, 0.0006]","[0.0784, 0.0006]","[0.1123, 0.0007]","[0.1442, 0.0009]","[0.0416, 0.0004]","[0.2751, 0.0012]"
15,PmiWPLRec,100,-0.1,1.2,,"[0.2124, 0.0008]","[0.1868, 0.0011]","[0.178, 0.001]","[0.1715, 0.0009]","[0.2006, 0.0013]","[0.1443, 0.0007]","[0.128, 0.0006]","[0.0752, 0.0006]","[0.1071, 0.0007]","[0.1373, 0.0008]","[0.0405, 0.0004]","[0.2736, 0.0012]"
16,PmiWPLRec,100,-0.05,0.8,,"[0.1847, 0.0007]","[0.1739, 0.0009]","[0.1637, 0.0008]","[0.1556, 0.0008]","[0.1887, 0.0012]","[0.1262, 0.0006]","[0.1176, 0.0005]","[0.0709, 0.0005]","[0.0981, 0.0006]","[0.122, 0.0007]","[0.039, 0.0004]","[0.2251, 0.0009]"
