,model,rank,alpha,root,topK,NDCG,Precision@5,Precision@10,Precision@15,Precision@20,Precision@50,R-Precision,Recall@5,Recall@10,Recall@15,Recall@20,Recall@50,,,,,,,,,,,,,,,
0,PmiPLRec,100,1,0.8,,"[0.1824, 0.0008]","[0.1321, 0.001]","[0.1203, 0.0008]","[0.1124, 0.0006]","[0.1064, 0.0006]","[0.0854, 0.0004]","[0.0982, 0.0006]","[0.0483, 0.0005]","[0.0865, 0.0007]","[0.1191, 0.0008]","[0.1478, 0.001]","[0.2693, 0.0012]",,,,,,,,,,,,,,,
1,PmiPLRec,100,1,0.9,,"[0.1906, 0.0008]","[0.1356, 0.001]","[0.1244, 0.0008]","[0.1168, 0.0007]","[0.1107, 0.0006]","[0.0882, 0.0004]","[0.1017, 0.0006]","[0.0506, 0.0005]","[0.0915, 0.0008]","[0.1267, 0.0009]","[0.1577, 0.001]","[0.2842, 0.0013]",,,,,,,,,,,,,,,
2,PmiPLRec,100,1,1,,"[0.1966, 0.0008]","[0.1374, 0.001]","[0.1263, 0.0008]","[0.119, 0.0007]","[0.1133, 0.0006]","[0.0912, 0.0004]","[0.1027, 0.0006]","[0.0506, 0.0005]","[0.092, 0.0008]","[0.1284, 0.0009]","[0.1614, 0.001]","[0.2975, 0.0014]",,,,,,,,,,,,,,,
3,PmiPLRec,100,1,1.1,,"[0.1954, 0.0008]","[0.136, 0.0011]","[0.1246, 0.0008]","[0.1175, 0.0007]","[0.1121, 0.0006]","[0.0922, 0.0005]","[0.1007, 0.0006]","[0.0482, 0.0005]","[0.0877, 0.0007]","[0.1227, 0.0009]","[0.1549, 0.001]","[0.299, 0.0014]",,,,,,,,,,,,,,,
4,PmiPLRec,100,1,1.2,,"[0.1874, 0.0008]","[0.1338, 0.0011]","[0.1218, 0.0008]","[0.1142, 0.0007]","[0.1088, 0.0007]","[0.0898, 0.0005]","[0.0974, 0.0006]","[0.046, 0.0005]","[0.0831, 0.0007]","[0.1154, 0.0009]","[0.1448, 0.001]","[0.2842, 0.0014]",,,,,,,,,,,,,,,
5,PLRec,100,1,1,,"[0.1622, 0.0007]","[0.1213, 0.0009]","[0.1105, 0.0007]","[0.1032, 0.0006]","[0.0976, 0.0006]","[0.0786, 0.0004]","[0.089, 0.0005]","[0.042, 0.0005]","[0.0754, 0.0006]","[0.1033, 0.0008]","[0.1277, 0.0009]","[0.2352, 0.0011]",,,,,,,,,,,,,,,
6,PureSVD,100,1,1,,"[0.1615, 0.0007]","[0.1207, 0.0009]","[0.11, 0.0007]","[0.1027, 0.0006]","[0.0972, 0.0006]","[0.0783, 0.0004]","[0.0884, 0.0005]","[0.0416, 0.0005]","[0.0749, 0.0006]","[0.1029, 0.0008]","[0.1273, 0.0009]","[0.2346, 0.0011]",,,,,,,,,,,,,,,
7,WPLRec,100,-0.5,1,,"[0.1615, 0.0007]","[0.1245, 0.0009]","[0.112, 0.0007]","[0.1041, 0.0006]","[0.0981, 0.0006]","[0.0786, 0.0004]","[0.0894, 0.0005]","[0.0423, 0.0005]","[0.0747, 0.0006]","[0.1021, 0.0007]","[0.1257, 0.0008]","[0.2317, 0.0011]",,,,,,,,,,,,,,,
8,WPLRec,100,-0.1,1,,"[0.1621, 0.0007]","[0.1219, 0.0009]","[0.1107, 0.0007]","[0.1035, 0.0006]","[0.0977, 0.0006]","[0.0786, 0.0004]","[0.0891, 0.0005]","[0.042, 0.0005]","[0.0753, 0.0006]","[0.1032, 0.0008]","[0.1274, 0.0008]","[0.2347, 0.0011]",,,,,,,,,,,,,,,
9,WPLRec,100,0.1,1,,"[0.1623, 0.0007]","[0.1209, 0.0009]","[0.1102, 0.0007]","[0.103, 0.0006]","[0.0975, 0.0006]","[0.0786, 0.0004]","[0.0889, 0.0005]","[0.0421, 0.0005]","[0.0755, 0.0007]","[0.1035, 0.0008]","[0.128, 0.0009]","[0.2358, 0.0011]",,,,,,,,,,,,,,,
