,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,BPR,50,1,1e-05,30,Cosine,0,1.0,,"[0.1357, 0.0004]","[0.086, 0.0003]","[0.0827, 0.0003]","[0.0799, 0.0003]","[0.0901, 0.0004]","[0.0686, 0.0002]","[0.0713, 0.0003]","[0.0625, 0.0004]","[0.0871, 0.0004]","[0.1092, 0.0005]","[0.0347, 0.0003]","[0.2152, 0.0006]"
1,BPR,100,1,1e-05,30,Cosine,0,1.0,,"[0.1341, 0.0004]","[0.0853, 0.0003]","[0.0819, 0.0003]","[0.079, 0.0003]","[0.0879, 0.0004]","[0.0676, 0.0002]","[0.0707, 0.0003]","[0.0624, 0.0004]","[0.087, 0.0004]","[0.1093, 0.0005]","[0.034, 0.0003]","[0.2146, 0.0006]"
2,BPR,200,1,1e-05,30,Cosine,0,1.0,,"[0.1326, 0.0003]","[0.0859, 0.0003]","[0.0817, 0.0003]","[0.0781, 0.0003]","[0.0902, 0.0004]","[0.0663, 0.0002]","[0.0702, 0.0003]","[0.0643, 0.0004]","[0.0891, 0.0004]","[0.1107, 0.0005]","[0.035, 0.0003]","[0.2122, 0.0006]"
0,BPR,50,1,0.0001,30,Cosine,0,1.0,,"[0.0869, 0.0003]","[0.0627, 0.0003]","[0.0626, 0.0003]","[0.0589, 0.0002]","[0.0608, 0.0004]","[0.049, 0.0002]","[0.0497, 0.0002]","[0.0361, 0.0003]","[0.053, 0.0003]","[0.0656, 0.0003]","[0.0205, 0.0002]","[0.1344, 0.0005]"
1,BPR,100,1,0.0001,30,Cosine,0,1.0,,"[0.09, 0.0003]","[0.0615, 0.0003]","[0.0588, 0.0003]","[0.0571, 0.0002]","[0.0658, 0.0004]","[0.0494, 0.0002]","[0.0498, 0.0002]","[0.0384, 0.0003]","[0.0512, 0.0003]","[0.0658, 0.0003]","[0.0236, 0.0002]","[0.1413, 0.0005]"
2,BPR,200,1,0.0001,30,Cosine,0,1.0,,"[0.0889, 0.0003]","[0.065, 0.0003]","[0.0607, 0.0003]","[0.0575, 0.0002]","[0.0642, 0.0004]","[0.0492, 0.0002]","[0.0486, 0.0002]","[0.0389, 0.0003]","[0.0526, 0.0003]","[0.067, 0.0003]","[0.0205, 0.0002]","[0.1401, 0.0005]"
0,BPR,50,1,0.001,30,Cosine,0,1.0,,"[0.0881, 0.0003]","[0.059, 0.0003]","[0.0588, 0.0002]","[0.0572, 0.0002]","[0.0621, 0.0004]","[0.0486, 0.0002]","[0.0472, 0.0002]","[0.0352, 0.0003]","[0.0507, 0.0003]","[0.0664, 0.0003]","[0.021, 0.0002]","[0.1393, 0.0005]"
1,BPR,100,1,0.001,30,Cosine,0,1.0,,"[0.0878, 0.0003]","[0.0613, 0.0003]","[0.0589, 0.0002]","[0.0558, 0.0002]","[0.0655, 0.0004]","[0.0481, 0.0002]","[0.0467, 0.0002]","[0.035, 0.0003]","[0.0509, 0.0003]","[0.0636, 0.0003]","[0.021, 0.0002]","[0.1386, 0.0005]"
2,BPR,200,1,0.001,30,Cosine,0,1.0,,"[0.0861, 0.0003]","[0.0588, 0.0003]","[0.0567, 0.0002]","[0.055, 0.0002]","[0.0617, 0.0004]","[0.0477, 0.0002]","[0.046, 0.0002]","[0.0349, 0.0003]","[0.0507, 0.0003]","[0.0649, 0.0003]","[0.0202, 0.0002]","[0.1352, 0.0005]"
0,BPR,50,1,0.01,30,Cosine,0,1.0,,"[0.0002, 0.0]","[0.0002, 0.0]","[0.0002, 0.0]","[0.0002, 0.0]","[0.0002, 0.0]","[0.0002, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0, 0.0]","[0.0004, 0.0]"
1,BPR,100,1,0.01,30,Cosine,0,1.0,,"[0.0003, 0.0]","[0.0003, 0.0]","[0.0002, 0.0]","[0.0002, 0.0]","[0.0003, 0.0]","[0.0002, 0.0]","[0.0002, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0002, 0.0]","[0.0, 0.0]","[0.0004, 0.0]"
2,BPR,200,1,0.01,30,Cosine,0,1.0,,"[0.0002, 0.0]","[0.0002, 0.0]","[0.0002, 0.0]","[0.0002, 0.0]","[0.0002, 0.0]","[0.0002, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0, 0.0]","[0.0004, 0.0]"
