,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,CDAE,50,1,1e-05,300,Cosine,0.2,1.0,,"[0.1273, 0.0004]","[0.0872, 0.0004]","[0.0832, 0.0003]","[0.0796, 0.0003]","[0.0916, 0.0004]","[0.0668, 0.0002]","[0.069, 0.0003]","[0.058, 0.0004]","[0.0822, 0.0004]","[0.1022, 0.0005]","[0.0312, 0.0003]","[0.1948, 0.0006]"
1,CDAE,50,1,0.0001,300,Cosine,0.2,1.0,,"[0.0875, 0.0003]","[0.0584, 0.0003]","[0.0587, 0.0003]","[0.0575, 0.0002]","[0.0574, 0.0003]","[0.0488, 0.0002]","[0.0465, 0.0002]","[0.0338, 0.0003]","[0.0513, 0.0003]","[0.0681, 0.0004]","[0.017, 0.0002]","[0.1382, 0.0005]"
2,CDAE,50,1,0.001,300,Cosine,0.2,1.0,,"[0.0828, 0.0003]","[0.0564, 0.0003]","[0.0541, 0.0002]","[0.0522, 0.0002]","[0.0533, 0.0003]","[0.0472, 0.0002]","[0.0443, 0.0002]","[0.0337, 0.0003]","[0.0458, 0.0003]","[0.0592, 0.0003]","[0.0159, 0.0002]","[0.1302, 0.0005]"
3,CDAE,50,1,0.01,300,Cosine,0.2,1.0,,"[0.0869, 0.0003]","[0.058, 0.0003]","[0.0587, 0.0002]","[0.0552, 0.0002]","[0.0558, 0.0003]","[0.0492, 0.0002]","[0.0477, 0.0002]","[0.033, 0.0003]","[0.0506, 0.0003]","[0.0618, 0.0003]","[0.0176, 0.0002]","[0.1361, 0.0005]"
4,CDAE,50,1,0.1,300,Cosine,0.2,1.0,,"[0.088, 0.0003]","[0.0621, 0.0003]","[0.0599, 0.0003]","[0.057, 0.0002]","[0.0631, 0.0004]","[0.0488, 0.0002]","[0.0474, 0.0002]","[0.0363, 0.0003]","[0.0511, 0.0003]","[0.0636, 0.0003]","[0.0205, 0.0002]","[0.1392, 0.0005]"
5,CDAE,100,1,1e-05,300,Cosine,0.2,1.0,,"[0.1246, 0.0004]","[0.0853, 0.0003]","[0.0813, 0.0003]","[0.0779, 0.0003]","[0.0899, 0.0004]","[0.0659, 0.0002]","[0.0678, 0.0003]","[0.0561, 0.0003]","[0.0786, 0.0004]","[0.0983, 0.0005]","[0.0309, 0.0003]","[0.1905, 0.0006]"
6,CDAE,100,1,0.0001,300,Cosine,0.2,1.0,,"[0.0847, 0.0003]","[0.0533, 0.0003]","[0.0558, 0.0002]","[0.0551, 0.0002]","[0.0518, 0.0003]","[0.0481, 0.0002]","[0.0441, 0.0002]","[0.0325, 0.0003]","[0.0481, 0.0003]","[0.0647, 0.0003]","[0.0159, 0.0002]","[0.1354, 0.0005]"
7,CDAE,100,1,0.001,300,Cosine,0.2,1.0,,"[0.0795, 0.0003]","[0.0532, 0.0003]","[0.0526, 0.0002]","[0.0495, 0.0002]","[0.0558, 0.0003]","[0.0433, 0.0002]","[0.0453, 0.0002]","[0.0336, 0.0002]","[0.0486, 0.0003]","[0.0582, 0.0003]","[0.0185, 0.0002]","[0.1227, 0.0005]"
8,CDAE,100,1,0.01,300,Cosine,0.2,1.0,,"[0.0846, 0.0003]","[0.0562, 0.0003]","[0.0563, 0.0002]","[0.055, 0.0002]","[0.0556, 0.0003]","[0.0475, 0.0002]","[0.0454, 0.0002]","[0.0303, 0.0002]","[0.0488, 0.0003]","[0.0649, 0.0003]","[0.0158, 0.0002]","[0.1332, 0.0005]"
9,CDAE,100,1,0.1,300,Cosine,0.2,1.0,,"[0.0881, 0.0003]","[0.0622, 0.0003]","[0.0599, 0.0003]","[0.0571, 0.0002]","[0.0631, 0.0004]","[0.0488, 0.0002]","[0.0474, 0.0002]","[0.0363, 0.0003]","[0.0511, 0.0003]","[0.0636, 0.0003]","[0.0205, 0.0002]","[0.1394, 0.0005]"
