,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,CML,50,1,1e-05,30,Euclidean,0,1.0,,"[0.1542, 0.0004]","[0.0986, 0.0004]","[0.0942, 0.0003]","[0.0906, 0.0003]","[0.104, 0.0005]","[0.0755, 0.0002]","[0.0806, 0.0003]","[0.0737, 0.0004]","[0.1034, 0.0005]","[0.1297, 0.0005]","[0.0402, 0.0003]","[0.2446, 0.0007]"
1,CML,100,1,1e-05,30,Euclidean,0,1.0,,"[0.1522, 0.0004]","[0.0974, 0.0004]","[0.0932, 0.0003]","[0.0895, 0.0003]","[0.1029, 0.0005]","[0.0748, 0.0002]","[0.0793, 0.0003]","[0.0721, 0.0004]","[0.1014, 0.0005]","[0.1273, 0.0005]","[0.0393, 0.0003]","[0.2418, 0.0007]"
2,CML,200,1,1e-05,30,Euclidean,0,1.0,,"[0.1487, 0.0004]","[0.0953, 0.0004]","[0.0913, 0.0003]","[0.0879, 0.0003]","[0.1006, 0.0005]","[0.0737, 0.0002]","[0.0777, 0.0003]","[0.0697, 0.0004]","[0.0982, 0.0005]","[0.1235, 0.0005]","[0.038, 0.0003]","[0.2365, 0.0007]"
0,CML,50,1,0.0001,30,Euclidean,0,1.0,,"[0.1537, 0.0004]","[0.0983, 0.0004]","[0.094, 0.0003]","[0.0903, 0.0003]","[0.1036, 0.0005]","[0.0753, 0.0002]","[0.0803, 0.0003]","[0.0733, 0.0004]","[0.1027, 0.0005]","[0.1288, 0.0005]","[0.0399, 0.0003]","[0.244, 0.0007]"
1,CML,100,1,0.0001,30,Euclidean,0,1.0,,"[0.1521, 0.0004]","[0.0973, 0.0004]","[0.0931, 0.0003]","[0.0894, 0.0003]","[0.1027, 0.0005]","[0.0747, 0.0002]","[0.0792, 0.0003]","[0.0725, 0.0004]","[0.1016, 0.0005]","[0.1276, 0.0005]","[0.0394, 0.0003]","[0.2415, 0.0007]"
2,CML,200,1,0.0001,30,Euclidean,0,1.0,,"[0.1485, 0.0004]","[0.0952, 0.0004]","[0.0912, 0.0003]","[0.0878, 0.0003]","[0.1001, 0.0005]","[0.0737, 0.0002]","[0.0774, 0.0003]","[0.0695, 0.0004]","[0.0978, 0.0005]","[0.123, 0.0005]","[0.0376, 0.0003]","[0.2361, 0.0007]"
0,CML,50,1,0.001,30,Euclidean,0,1.0,,"[0.1533, 0.0004]","[0.0982, 0.0004]","[0.0939, 0.0003]","[0.0902, 0.0003]","[0.104, 0.0005]","[0.0753, 0.0002]","[0.08, 0.0003]","[0.073, 0.0004]","[0.1027, 0.0005]","[0.1289, 0.0005]","[0.0398, 0.0003]","[0.2434, 0.0007]"
1,CML,100,1,0.001,30,Euclidean,0,1.0,,"[0.1523, 0.0004]","[0.0975, 0.0004]","[0.0932, 0.0003]","[0.0896, 0.0003]","[0.1028, 0.0005]","[0.0748, 0.0002]","[0.0796, 0.0003]","[0.0724, 0.0004]","[0.1015, 0.0005]","[0.1275, 0.0005]","[0.0394, 0.0003]","[0.2418, 0.0007]"
2,CML,200,1,0.001,30,Euclidean,0,1.0,,"[0.149, 0.0004]","[0.0957, 0.0004]","[0.0916, 0.0003]","[0.0881, 0.0003]","[0.101, 0.0005]","[0.0737, 0.0002]","[0.0779, 0.0003]","[0.0698, 0.0004]","[0.0982, 0.0005]","[0.1237, 0.0005]","[0.0379, 0.0003]","[0.2363, 0.0007]"
0,CML,50,1,0.01,30,Euclidean,0,1.0,,"[0.1538, 0.0004]","[0.0987, 0.0004]","[0.0944, 0.0003]","[0.0906, 0.0003]","[0.1044, 0.0005]","[0.0755, 0.0002]","[0.0802, 0.0003]","[0.073, 0.0004]","[0.1027, 0.0005]","[0.129, 0.0005]","[0.0397, 0.0003]","[0.2442, 0.0007]"
