,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,NCE-PLRec,50,1,1,10,Cosine,0,0.7,,"[0.1611, 0.0004]","[0.106, 0.0004]","[0.0997, 0.0003]","[0.0948, 0.0003]","[0.1154, 0.0005]","[0.0769, 0.0002]","[0.0875, 0.0003]","[0.0801, 0.0004]","[0.1093, 0.0005]","[0.1349, 0.0005]","[0.0454, 0.0003]","[0.2427, 0.0007]"
1,NCE-PLRec,50,1,1,10,Cosine,0,0.8,,"[0.1626, 0.0004]","[0.1065, 0.0004]","[0.1003, 0.0003]","[0.0954, 0.0003]","[0.1157, 0.0005]","[0.0776, 0.0002]","[0.0879, 0.0003]","[0.0805, 0.0004]","[0.1105, 0.0005]","[0.1363, 0.0005]","[0.0456, 0.0003]","[0.246, 0.0007]"
2,NCE-PLRec,50,1,1,10,Cosine,0,0.9,,"[0.1657, 0.0004]","[0.1071, 0.0004]","[0.1012, 0.0003]","[0.0964, 0.0003]","[0.1163, 0.0005]","[0.0787, 0.0002]","[0.0889, 0.0003]","[0.0818, 0.0004]","[0.1125, 0.0005]","[0.1392, 0.0005]","[0.0464, 0.0003]","[0.2522, 0.0007]"
3,NCE-PLRec,50,1,1,10,Cosine,0,1.0,,"[0.1693, 0.0004]","[0.1078, 0.0004]","[0.1019, 0.0003]","[0.0974, 0.0003]","[0.1168, 0.0005]","[0.0797, 0.0002]","[0.0902, 0.0003]","[0.0841, 0.0004]","[0.1154, 0.0005]","[0.1429, 0.0006]","[0.0481, 0.0003]","[0.2589, 0.0007]"
4,NCE-PLRec,50,1,1,10,Cosine,0,1.1,,"[0.1689, 0.0004]","[0.1063, 0.0004]","[0.101, 0.0003]","[0.0967, 0.0003]","[0.115, 0.0005]","[0.0798, 0.0002]","[0.089, 0.0003]","[0.0836, 0.0004]","[0.1152, 0.0005]","[0.1427, 0.0006]","[0.0476, 0.0003]","[0.2603, 0.0007]"
5,NCE-PLRec,50,1,1,10,Cosine,0,1.2,,"[0.1571, 0.0004]","[0.1039, 0.0004]","[0.098, 0.0003]","[0.0935, 0.0003]","[0.1128, 0.0005]","[0.0776, 0.0002]","[0.0846, 0.0003]","[0.0745, 0.0004]","[0.1024, 0.0005]","[0.1271, 0.0005]","[0.0421, 0.0003]","[0.2395, 0.0007]"
6,NCE-PLRec,50,1,1,10,Cosine,0,1.3,,"[0.1367, 0.0004]","[0.0981, 0.0004]","[0.0926, 0.0003]","[0.0884, 0.0003]","[0.1063, 0.0005]","[0.0738, 0.0002]","[0.0768, 0.0003]","[0.0585, 0.0003]","[0.0811, 0.0004]","[0.1017, 0.0004]","[0.0328, 0.0002]","[0.2001, 0.0006]"
7,NCE-PLRec,50,1,10,10,Cosine,0,0.7,,"[0.1611, 0.0004]","[0.106, 0.0004]","[0.0997, 0.0003]","[0.0948, 0.0003]","[0.1154, 0.0005]","[0.0769, 0.0002]","[0.0875, 0.0003]","[0.0801, 0.0004]","[0.1093, 0.0005]","[0.1349, 0.0005]","[0.0454, 0.0003]","[0.2427, 0.0007]"
8,NCE-PLRec,50,1,10,10,Cosine,0,0.8,,"[0.1626, 0.0004]","[0.1065, 0.0004]","[0.1003, 0.0003]","[0.0954, 0.0003]","[0.1157, 0.0005]","[0.0776, 0.0002]","[0.0879, 0.0003]","[0.0805, 0.0004]","[0.1105, 0.0005]","[0.1363, 0.0005]","[0.0456, 0.0003]","[0.246, 0.0007]"
9,NCE-PLRec,50,1,10,10,Cosine,0,0.9,,"[0.1657, 0.0004]","[0.1071, 0.0004]","[0.1012, 0.0003]","[0.0964, 0.0003]","[0.1163, 0.0005]","[0.0787, 0.0002]","[0.0889, 0.0003]","[0.0818, 0.0004]","[0.1125, 0.0005]","[0.1392, 0.0005]","[0.0464, 0.0003]","[0.2522, 0.0007]"
10,NCE-PLRec,50,1,10,10,Cosine,0,1.0,,"[0.1693, 0.0004]","[0.1078, 0.0004]","[0.1019, 0.0003]","[0.0974, 0.0003]","[0.1168, 0.0005]","[0.0797, 0.0002]","[0.0902, 0.0003]","[0.0841, 0.0004]","[0.1154, 0.0005]","[0.1429, 0.0006]","[0.0481, 0.0003]","[0.2589, 0.0007]"
11,NCE-PLRec,50,1,10,10,Cosine,0,1.1,,"[0.1689, 0.0004]","[0.1063, 0.0004]","[0.101, 0.0003]","[0.0967, 0.0003]","[0.115, 0.0005]","[0.0798, 0.0002]","[0.089, 0.0003]","[0.0836, 0.0004]","[0.1152, 0.0005]","[0.1427, 0.0006]","[0.0476, 0.0003]","[0.2603, 0.0007]"
12,NCE-PLRec,50,1,10,10,Cosine,0,1.2,,"[0.1571, 0.0004]","[0.1039, 0.0004]","[0.098, 0.0003]","[0.0935, 0.0003]","[0.1128, 0.0005]","[0.0776, 0.0002]","[0.0846, 0.0003]","[0.0745, 0.0004]","[0.1024, 0.0005]","[0.1271, 0.0005]","[0.0421, 0.0003]","[0.2395, 0.0007]"
13,NCE-PLRec,50,1,10,10,Cosine,0,1.3,,"[0.1367, 0.0004]","[0.0981, 0.0004]","[0.0926, 0.0003]","[0.0884, 0.0003]","[0.1063, 0.0005]","[0.0738, 0.0002]","[0.0768, 0.0003]","[0.0585, 0.0003]","[0.0811, 0.0004]","[0.1017, 0.0004]","[0.0328, 0.0002]","[0.2001, 0.0006]"
14,NCE-PLRec,50,1,100,10,Cosine,0,0.7,,"[0.1611, 0.0004]","[0.106, 0.0004]","[0.0997, 0.0003]","[0.0948, 0.0003]","[0.1154, 0.0005]","[0.0769, 0.0002]","[0.0875, 0.0003]","[0.0801, 0.0004]","[0.1093, 0.0005]","[0.1349, 0.0005]","[0.0454, 0.0003]","[0.2427, 0.0007]"
15,NCE-PLRec,50,1,100,10,Cosine,0,0.8,,"[0.1626, 0.0004]","[0.1065, 0.0004]","[0.1003, 0.0003]","[0.0954, 0.0003]","[0.1157, 0.0005]","[0.0776, 0.0002]","[0.0879, 0.0003]","[0.0805, 0.0004]","[0.1105, 0.0005]","[0.1363, 0.0005]","[0.0456, 0.0003]","[0.246, 0.0007]"
16,NCE-PLRec,50,1,100,10,Cosine,0,0.9,,"[0.1657, 0.0004]","[0.1071, 0.0004]","[0.1012, 0.0003]","[0.0964, 0.0003]","[0.1163, 0.0005]","[0.0787, 0.0002]","[0.0889, 0.0003]","[0.0818, 0.0004]","[0.1125, 0.0005]","[0.1392, 0.0005]","[0.0464, 0.0003]","[0.2522, 0.0007]"
17,NCE-PLRec,50,1,100,10,Cosine,0,1.0,,"[0.1693, 0.0004]","[0.1078, 0.0004]","[0.1019, 0.0003]","[0.0974, 0.0003]","[0.1168, 0.0005]","[0.0797, 0.0002]","[0.0902, 0.0003]","[0.0841, 0.0004]","[0.1154, 0.0005]","[0.1429, 0.0006]","[0.0481, 0.0003]","[0.2589, 0.0007]"
18,NCE-PLRec,50,1,100,10,Cosine,0,1.1,,"[0.1689, 0.0004]","[0.1063, 0.0004]","[0.101, 0.0003]","[0.0967, 0.0003]","[0.115, 0.0005]","[0.0798, 0.0002]","[0.089, 0.0003]","[0.0836, 0.0004]","[0.1152, 0.0005]","[0.1427, 0.0006]","[0.0476, 0.0003]","[0.2603, 0.0007]"
19,NCE-PLRec,50,1,100,10,Cosine,0,1.2,,"[0.1571, 0.0004]","[0.1039, 0.0004]","[0.098, 0.0003]","[0.0935, 0.0003]","[0.1128, 0.0005]","[0.0776, 0.0002]","[0.0846, 0.0003]","[0.0745, 0.0004]","[0.1024, 0.0005]","[0.1271, 0.0005]","[0.0421, 0.0003]","[0.2395, 0.0007]"
20,NCE-PLRec,50,1,100,10,Cosine,0,1.3,,"[0.1367, 0.0004]","[0.0981, 0.0004]","[0.0926, 0.0003]","[0.0884, 0.0003]","[0.1063, 0.0005]","[0.0738, 0.0002]","[0.0768, 0.0003]","[0.0585, 0.0003]","[0.0811, 0.0004]","[0.1017, 0.0004]","[0.0328, 0.0002]","[0.2001, 0.0006]"
21,NCE-PLRec,50,1,1000,10,Cosine,0,0.7,,"[0.1611, 0.0004]","[0.106, 0.0004]","[0.0997, 0.0003]","[0.0948, 0.0003]","[0.1154, 0.0005]","[0.0769, 0.0002]","[0.0875, 0.0003]","[0.0801, 0.0004]","[0.1093, 0.0005]","[0.1349, 0.0005]","[0.0454, 0.0003]","[0.2427, 0.0007]"
22,NCE-PLRec,50,1,1000,10,Cosine,0,0.8,,"[0.1626, 0.0004]","[0.1065, 0.0004]","[0.1003, 0.0003]","[0.0954, 0.0003]","[0.1157, 0.0005]","[0.0776, 0.0002]","[0.0879, 0.0003]","[0.0805, 0.0004]","[0.1105, 0.0005]","[0.1363, 0.0005]","[0.0456, 0.0003]","[0.246, 0.0007]"
23,NCE-PLRec,50,1,1000,10,Cosine,0,0.9,,"[0.1657, 0.0004]","[0.1071, 0.0004]","[0.1012, 0.0003]","[0.0964, 0.0003]","[0.1163, 0.0005]","[0.0787, 0.0002]","[0.0889, 0.0003]","[0.0818, 0.0004]","[0.1125, 0.0005]","[0.1392, 0.0005]","[0.0464, 0.0003]","[0.2522, 0.0007]"
24,NCE-PLRec,50,1,1000,10,Cosine,0,1.0,,"[0.1693, 0.0004]","[0.1078, 0.0004]","[0.1019, 0.0003]","[0.0974, 0.0003]","[0.1168, 0.0005]","[0.0797, 0.0002]","[0.0902, 0.0003]","[0.0841, 0.0004]","[0.1154, 0.0005]","[0.1429, 0.0006]","[0.0481, 0.0003]","[0.2589, 0.0007]"
25,NCE-PLRec,50,1,1000,10,Cosine,0,1.1,,"[0.1689, 0.0004]","[0.1063, 0.0004]","[0.101, 0.0003]","[0.0967, 0.0003]","[0.115, 0.0005]","[0.0798, 0.0002]","[0.089, 0.0003]","[0.0836, 0.0004]","[0.1152, 0.0005]","[0.1427, 0.0006]","[0.0476, 0.0003]","[0.2603, 0.0007]"
26,NCE-PLRec,50,1,1000,10,Cosine,0,1.2,,"[0.1571, 0.0004]","[0.1039, 0.0004]","[0.098, 0.0003]","[0.0935, 0.0003]","[0.1128, 0.0005]","[0.0776, 0.0002]","[0.0846, 0.0003]","[0.0745, 0.0004]","[0.1024, 0.0005]","[0.1271, 0.0005]","[0.0421, 0.0003]","[0.2395, 0.0007]"
27,NCE-PLRec,50,1,1000,10,Cosine,0,1.3,,"[0.1367, 0.0004]","[0.0981, 0.0004]","[0.0926, 0.0003]","[0.0884, 0.0003]","[0.1063, 0.0005]","[0.0738, 0.0002]","[0.0768, 0.0003]","[0.0585, 0.0003]","[0.0811, 0.0004]","[0.1017, 0.0004]","[0.0328, 0.0002]","[0.2001, 0.0006]"
28,NCE-PLRec,50,1,10000,10,Cosine,0,0.7,,"[0.1611, 0.0004]","[0.106, 0.0004]","[0.0997, 0.0003]","[0.0948, 0.0003]","[0.1154, 0.0005]","[0.0769, 0.0002]","[0.0875, 0.0003]","[0.0801, 0.0004]","[0.1093, 0.0005]","[0.1349, 0.0005]","[0.0454, 0.0003]","[0.2427, 0.0007]"
29,NCE-PLRec,50,1,10000,10,Cosine,0,0.8,,"[0.1626, 0.0004]","[0.1065, 0.0004]","[0.1003, 0.0003]","[0.0954, 0.0003]","[0.1157, 0.0005]","[0.0776, 0.0002]","[0.0879, 0.0003]","[0.0805, 0.0004]","[0.1105, 0.0005]","[0.1363, 0.0005]","[0.0456, 0.0003]","[0.246, 0.0007]"
30,NCE-PLRec,50,1,10000,10,Cosine,0,0.9,,"[0.1657, 0.0004]","[0.1071, 0.0004]","[0.1012, 0.0003]","[0.0964, 0.0003]","[0.1163, 0.0005]","[0.0787, 0.0002]","[0.0889, 0.0003]","[0.0818, 0.0004]","[0.1125, 0.0005]","[0.1392, 0.0005]","[0.0464, 0.0003]","[0.2522, 0.0007]"
31,NCE-PLRec,50,1,10000,10,Cosine,0,1.0,,"[0.1693, 0.0004]","[0.1078, 0.0004]","[0.102, 0.0003]","[0.0974, 0.0003]","[0.1168, 0.0005]","[0.0797, 0.0002]","[0.0902, 0.0003]","[0.0841, 0.0004]","[0.1154, 0.0005]","[0.1429, 0.0006]","[0.0481, 0.0003]","[0.2589, 0.0007]"
32,NCE-PLRec,50,1,10000,10,Cosine,0,1.1,,"[0.1689, 0.0004]","[0.1063, 0.0004]","[0.101, 0.0003]","[0.0967, 0.0003]","[0.115, 0.0005]","[0.0798, 0.0002]","[0.089, 0.0003]","[0.0836, 0.0004]","[0.1152, 0.0005]","[0.1427, 0.0006]","[0.0476, 0.0003]","[0.2603, 0.0007]"
33,NCE-PLRec,50,1,10000,10,Cosine,0,1.2,,"[0.1571, 0.0004]","[0.1039, 0.0004]","[0.098, 0.0003]","[0.0935, 0.0003]","[0.1128, 0.0005]","[0.0776, 0.0002]","[0.0846, 0.0003]","[0.0745, 0.0004]","[0.1024, 0.0005]","[0.1271, 0.0005]","[0.0421, 0.0003]","[0.2395, 0.0007]"
34,NCE-PLRec,50,1,10000,10,Cosine,0,1.3,,"[0.1367, 0.0004]","[0.0981, 0.0004]","[0.0926, 0.0003]","[0.0884, 0.0003]","[0.1063, 0.0005]","[0.0738, 0.0002]","[0.0768, 0.0003]","[0.0585, 0.0003]","[0.0811, 0.0004]","[0.1017, 0.0004]","[0.0328, 0.0002]","[0.2001, 0.0006]"
35,NCE-PLRec,100,1,1,10,Cosine,0,0.7,,"[0.1554, 0.0004]","[0.1065, 0.0004]","[0.099, 0.0003]","[0.0934, 0.0003]","[0.1178, 0.0005]","[0.0747, 0.0002]","[0.0874, 0.0003]","[0.0779, 0.0004]","[0.1047, 0.0004]","[0.1276, 0.0005]","[0.0454, 0.0003]","[0.2268, 0.0006]"
36,NCE-PLRec,100,1,1,10,Cosine,0,0.8,,"[0.1586, 0.0004]","[0.1077, 0.0004]","[0.1004, 0.0003]","[0.0948, 0.0003]","[0.1186, 0.0005]","[0.0759, 0.0002]","[0.0887, 0.0003]","[0.08, 0.0004]","[0.1076, 0.0005]","[0.1315, 0.0005]","[0.0463, 0.0003]","[0.2332, 0.0006]"
37,NCE-PLRec,100,1,1,10,Cosine,0,0.9,,"[0.1633, 0.0004]","[0.1096, 0.0004]","[0.1026, 0.0003]","[0.097, 0.0003]","[0.1199, 0.0005]","[0.0776, 0.0002]","[0.0906, 0.0003]","[0.0828, 0.0004]","[0.112, 0.0005]","[0.137, 0.0005]","[0.0476, 0.0003]","[0.2423, 0.0006]"
38,NCE-PLRec,100,1,1,10,Cosine,0,1.0,,"[0.1689, 0.0004]","[0.1109, 0.0004]","[0.1043, 0.0003]","[0.099, 0.0003]","[0.1209, 0.0005]","[0.0797, 0.0002]","[0.0921, 0.0003]","[0.085, 0.0004]","[0.1158, 0.0005]","[0.1423, 0.0005]","[0.0489, 0.0003]","[0.2538, 0.0007]"
39,NCE-PLRec,100,1,1,10,Cosine,0,1.1,,"[0.1744, 0.0004]","[0.1111, 0.0004]","[0.1048, 0.0003]","[0.1002, 0.0003]","[0.1208, 0.0005]","[0.0817, 0.0002]","[0.0929, 0.0003]","[0.0871, 0.0004]","[0.1192, 0.0005]","[0.1478, 0.0006]","[0.05, 0.0003]","[0.2665, 0.0007]"
