,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,VAE-CF,50,1,1e-05,300,Cosine,0.2,1.0,,"[0.0015, 0.0]","[0.0009, 0.0]","[0.0008, 0.0]","[0.0009, 0.0]","[0.0009, 0.0]","[0.001, 0.0]","[0.0005, 0.0]","[0.0002, 0.0]","[0.0004, 0.0]","[0.0006, 0.0]","[0.0001, 0.0]","[0.0031, 0.0001]"
1,VAE-CF,50,1,0.0001,300,Cosine,0.2,1.0,,"[0.1514, 0.0004]","[0.0948, 0.0004]","[0.09, 0.0003]","[0.0863, 0.0003]","[0.1027, 0.0005]","[0.0715, 0.0002]","[0.0794, 0.0003]","[0.0729, 0.0004]","[0.101, 0.0005]","[0.1264, 0.0005]","[0.0418, 0.0003]","[0.2356, 0.0007]"
2,VAE-CF,50,1,0.001,300,Cosine,0.2,1.0,,"[0.148, 0.0004]","[0.0959, 0.0004]","[0.0906, 0.0003]","[0.0867, 0.0003]","[0.1039, 0.0005]","[0.0719, 0.0002]","[0.0793, 0.0003]","[0.0701, 0.0004]","[0.0966, 0.0004]","[0.1203, 0.0005]","[0.0399, 0.0003]","[0.2266, 0.0007]"
3,VAE-CF,50,1,0.01,300,Cosine,0.2,1.0,,"[0.1469, 0.0004]","[0.0945, 0.0004]","[0.0902, 0.0003]","[0.0869, 0.0003]","[0.1018, 0.0005]","[0.0727, 0.0002]","[0.0775, 0.0003]","[0.0667, 0.0004]","[0.0942, 0.0004]","[0.1189, 0.0005]","[0.0376, 0.0003]","[0.2266, 0.0007]"
4,VAE-CF,50,1,0.1,300,Cosine,0.2,1.0,,"[0.1381, 0.0004]","[0.0903, 0.0004]","[0.0871, 0.0003]","[0.0841, 0.0003]","[0.0953, 0.0005]","[0.0712, 0.0002]","[0.0728, 0.0003]","[0.0613, 0.0004]","[0.0885, 0.0004]","[0.1117, 0.0005]","[0.0324, 0.0003]","[0.2126, 0.0006]"
5,VAE-CF,100,1,1e-05,300,Cosine,0.2,1.0,,"[0.0015, 0.0]","[0.0009, 0.0]","[0.0008, 0.0]","[0.0009, 0.0]","[0.0009, 0.0]","[0.001, 0.0]","[0.0005, 0.0]","[0.0002, 0.0]","[0.0004, 0.0]","[0.0006, 0.0]","[0.0001, 0.0]","[0.0031, 0.0001]"
6,VAE-CF,100,1,0.0001,300,Cosine,0.2,1.0,,"[0.1563, 0.0004]","[0.0982, 0.0004]","[0.093, 0.0003]","[0.0889, 0.0003]","[0.1051, 0.0005]","[0.0728, 0.0002]","[0.0822, 0.0003]","[0.0786, 0.0004]","[0.1086, 0.0005]","[0.1346, 0.0005]","[0.0437, 0.0003]","[0.2438, 0.0007]"
7,VAE-CF,100,1,0.001,300,Cosine,0.2,1.0,,"[0.1537, 0.0004]","[0.0989, 0.0004]","[0.0934, 0.0003]","[0.0889, 0.0003]","[0.1075, 0.0005]","[0.0725, 0.0002]","[0.083, 0.0003]","[0.0768, 0.0004]","[0.1048, 0.0005]","[0.1292, 0.0005]","[0.044, 0.0003]","[0.2334, 0.0007]"
8,VAE-CF,100,1,0.01,300,Cosine,0.2,1.0,,"[0.1542, 0.0004]","[0.0992, 0.0004]","[0.0937, 0.0003]","[0.0897, 0.0003]","[0.1083, 0.0005]","[0.074, 0.0002]","[0.082, 0.0003]","[0.0732, 0.0004]","[0.101, 0.0005]","[0.1263, 0.0005]","[0.0419, 0.0003]","[0.2358, 0.0007]"
9,VAE-CF,100,1,0.1,300,Cosine,0.2,1.0,,"[0.1359, 0.0004]","[0.0886, 0.0004]","[0.0855, 0.0003]","[0.0826, 0.0003]","[0.0938, 0.0005]","[0.0703, 0.0002]","[0.0717, 0.0003]","[0.0601, 0.0004]","[0.0859, 0.0004]","[0.1087, 0.0005]","[0.0324, 0.0003]","[0.21, 0.0006]"
