model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
WRMF,50,1,1,10,Cosine,0,1.0,,"[0.1586, 0.0004]","[0.1035, 0.0004]","[0.0976, 0.0003]","[0.0931, 0.0003]","[0.1122, 0.0005]","[0.076, 0.0002]","[0.0858, 0.0003]","[0.0786, 0.0004]","[0.1077, 0.0005]","[0.133, 0.0005]","[0.0446, 0.0003]","[0.2408, 0.0007]"
WRMF,50,1,10,10,Cosine,0,1.0,,"[0.1588, 0.0004]","[0.1036, 0.0004]","[0.0977, 0.0003]","[0.0932, 0.0003]","[0.1123, 0.0005]","[0.0761, 0.0002]","[0.0859, 0.0003]","[0.0787, 0.0004]","[0.1077, 0.0005]","[0.133, 0.0005]","[0.0446, 0.0003]","[0.241, 0.0007]"
WRMF,50,1,100,10,Cosine,0,1.0,,"[0.1612, 0.0004]","[0.1045, 0.0004]","[0.0987, 0.0003]","[0.0942, 0.0003]","[0.1131, 0.0005]","[0.0772, 0.0002]","[0.0864, 0.0003]","[0.0793, 0.0004]","[0.1088, 0.0005]","[0.1348, 0.0005]","[0.0447, 0.0003]","[0.2461, 0.0007]"
WRMF,50,1,1000,10,Cosine,0,1.0,,"[0.1116, 0.0003]","[0.0827, 0.0003]","[0.0771, 0.0003]","[0.0722, 0.0003]","[0.0873, 0.0004]","[0.0583, 0.0002]","[0.0627, 0.0003]","[0.0541, 0.0003]","[0.075, 0.0004]","[0.0909, 0.0004]","[0.0294, 0.0002]","[0.1664, 0.0006]"
WRMF,50,1,10000,10,Cosine,0,1.0,,"[0.0833, 0.0003]","[0.0681, 0.0003]","[0.0636, 0.0003]","[0.0602, 0.0002]","[0.0661, 0.0004]","[0.0483, 0.0002]","[0.048, 0.0002]","[0.0361, 0.0002]","[0.0484, 0.0003]","[0.0606, 0.0003]","[0.016, 0.0002]","[0.1224, 0.0004]"
WRMF,100,1,1,10,Cosine,0,1.0,,"[0.1533, 0.0004]","[0.1041, 0.0004]","[0.0972, 0.0003]","[0.0918, 0.0003]","[0.1147, 0.0005]","[0.0738, 0.0002]","[0.0861, 0.0003]","[0.077, 0.0004]","[0.1035, 0.0004]","[0.1262, 0.0005]","[0.0448, 0.0003]","[0.225, 0.0006]"
WRMF,100,1,10,10,Cosine,0,1.0,,"[0.1537, 0.0004]","[0.1043, 0.0004]","[0.0974, 0.0003]","[0.092, 0.0003]","[0.1148, 0.0005]","[0.074, 0.0002]","[0.0863, 0.0003]","[0.0771, 0.0004]","[0.1037, 0.0004]","[0.1265, 0.0005]","[0.0449, 0.0003]","[0.2257, 0.0006]"
WRMF,100,1,100,10,Cosine,0,1.0,,"[0.1595, 0.0004]","[0.1067, 0.0004]","[0.0999, 0.0003]","[0.0946, 0.0003]","[0.1169, 0.0005]","[0.0766, 0.0002]","[0.0882, 0.0003]","[0.0791, 0.0004]","[0.1073, 0.0005]","[0.1316, 0.0005]","[0.0455, 0.0003]","[0.2376, 0.0006]"
WRMF,100,1,1000,10,Cosine,0,1.0,,"[0.112, 0.0003]","[0.0828, 0.0003]","[0.0772, 0.0003]","[0.0724, 0.0003]","[0.0876, 0.0004]","[0.0584, 0.0002]","[0.0629, 0.0003]","[0.0542, 0.0003]","[0.0751, 0.0004]","[0.0912, 0.0004]","[0.0295, 0.0002]","[0.1671, 0.0006]"
WRMF,100,1,10000,10,Cosine,0,1.0,,"[0.0833, 0.0003]","[0.0681, 0.0003]","[0.0636, 0.0003]","[0.0602, 0.0002]","[0.0661, 0.0004]","[0.0483, 0.0002]","[0.048, 0.0002]","[0.0361, 0.0002]","[0.0484, 0.0003]","[0.0606, 0.0003]","[0.016, 0.0002]","[0.1224, 0.0004]"
WRMF,200,1,1,10,Cosine,0,1.0,,"[0.1354, 0.0004]","[0.0977, 0.0004]","[0.09, 0.0003]","[0.0844, 0.0003]","[0.1097, 0.0005]","[0.0666, 0.0002]","[0.0791, 0.0003]","[0.0677, 0.0004]","[0.0893, 0.0004]","[0.1079, 0.0004]","[0.0407, 0.0003]","[0.1897, 0.0005]"
WRMF,200,1,10,10,Cosine,0,1.0,,"[0.1364, 0.0004]","[0.0981, 0.0004]","[0.0905, 0.0003]","[0.0849, 0.0003]","[0.1101, 0.0005]","[0.0671, 0.0002]","[0.0795, 0.0003]","[0.0681, 0.0004]","[0.0899, 0.0004]","[0.1088, 0.0004]","[0.0409, 0.0003]","[0.1915, 0.0005]"
WRMF,200,1,100,10,Cosine,0,1.0,,"[0.1511, 0.0004]","[0.1034, 0.0004]","[0.0962, 0.0003]","[0.091, 0.0003]","[0.1149, 0.0005]","[0.0732, 0.0002]","[0.0843, 0.0003]","[0.0737, 0.0004]","[0.0993, 0.0004]","[0.1221, 0.0005]","[0.0432, 0.0003]","[0.2218, 0.0006]"
WRMF,200,1,1000,10,Cosine,0,1.0,,"[0.1122, 0.0003]","[0.0829, 0.0003]","[0.0773, 0.0003]","[0.0725, 0.0003]","[0.0878, 0.0004]","[0.0585, 0.0002]","[0.063, 0.0003]","[0.0543, 0.0003]","[0.0752, 0.0004]","[0.0914, 0.0004]","[0.0296, 0.0002]","[0.1674, 0.0006]"
WRMF,200,1,10000,10,Cosine,0,1.0,,"[0.0833, 0.0003]","[0.0681, 0.0003]","[0.0636, 0.0003]","[0.0602, 0.0002]","[0.0661, 0.0004]","[0.0483, 0.0002]","[0.048, 0.0002]","[0.0361, 0.0002]","[0.0484, 0.0003]","[0.0606, 0.0003]","[0.016, 0.0002]","[0.1224, 0.0004]"
WRMF,50,10,1,10,Cosine,0,1.0,,"[0.1573, 0.0004]","[0.0982, 0.0004]","[0.0936, 0.0003]","[0.0899, 0.0003]","[0.1048, 0.0005]","[0.075, 0.0002]","[0.0823, 0.0003]","[0.0767, 0.0004]","[0.1067, 0.0005]","[0.1334, 0.0005]","[0.0429, 0.0003]","[0.2478, 0.0007]"
