,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,AutoRec,50,1,1e-05,300,Cosine,0,1.0,,"[0.1839, 0.0006]","[0.0675, 0.0003]","[0.0611, 0.0003]","[0.056, 0.0002]","[0.0746, 0.0004]","[0.0386, 0.0001]","[0.0721, 0.0004]","[0.1395, 0.0007]","[0.1833, 0.0008]","[0.2182, 0.0009]","[0.0769, 0.0006]","[0.3643, 0.0011]"
1,AutoRec,50,1,0.0001,300,Cosine,0,1.0,,"[0.1453, 0.0005]","[0.0433, 0.0002]","[0.039, 0.0002]","[0.0372, 0.0002]","[0.049, 0.0003]","[0.0307, 0.0001]","[0.0507, 0.0004]","[0.0936, 0.0006]","[0.1224, 0.0007]","[0.1561, 0.0008]","[0.056, 0.0005]","[0.3073, 0.001]"
2,AutoRec,50,1,0.001,300,Cosine,0,1.0,,"[0.1414, 0.0005]","[0.0418, 0.0002]","[0.0386, 0.0002]","[0.0367, 0.0002]","[0.046, 0.0003]","[0.0303, 0.0001]","[0.0484, 0.0004]","[0.0904, 0.0006]","[0.1219, 0.0007]","[0.1524, 0.0008]","[0.0512, 0.0005]","[0.3005, 0.001]"
3,AutoRec,50,1,0.01,300,Cosine,0,1.0,,"[0.149, 0.0005]","[0.0459, 0.0002]","[0.0424, 0.0002]","[0.039, 0.0002]","[0.053, 0.0003]","[0.0311, 0.0001]","[0.0531, 0.0004]","[0.0996, 0.0007]","[0.1377, 0.0008]","[0.1689, 0.0008]","[0.0634, 0.0005]","[0.3099, 0.001]"
4,AutoRec,50,1,0.1,300,Cosine,0,1.0,,"[0.1576, 0.0005]","[0.0494, 0.0002]","[0.0455, 0.0002]","[0.0424, 0.0002]","[0.0558, 0.0003]","[0.0326, 0.0001]","[0.0564, 0.0004]","[0.1129, 0.0007]","[0.1479, 0.0008]","[0.1801, 0.0008]","[0.0675, 0.0006]","[0.3297, 0.001]"
5,AutoRec,100,1,1e-05,300,Cosine,0,1.0,,"[0.1809, 0.0006]","[0.0657, 0.0003]","[0.0595, 0.0003]","[0.0548, 0.0002]","[0.0735, 0.0004]","[0.0383, 0.0001]","[0.0696, 0.0004]","[0.1316, 0.0007]","[0.175, 0.0008]","[0.2107, 0.0009]","[0.076, 0.0006]","[0.3615, 0.0011]"
6,AutoRec,100,1,0.0001,300,Cosine,0,1.0,,"[0.1398, 0.0005]","[0.0419, 0.0002]","[0.0385, 0.0002]","[0.0366, 0.0002]","[0.0419, 0.0003]","[0.03, 0.0001]","[0.0476, 0.0004]","[0.0905, 0.0006]","[0.1218, 0.0007]","[0.1523, 0.0008]","[0.0441, 0.0004]","[0.2966, 0.001]"
7,AutoRec,100,1,0.001,300,Cosine,0,1.0,,"[0.1299, 0.0005]","[0.0392, 0.0002]","[0.0359, 0.0002]","[0.0353, 0.0002]","[0.0438, 0.0003]","[0.0289, 0.0001]","[0.0426, 0.0003]","[0.0801, 0.0006]","[0.1114, 0.0007]","[0.1438, 0.0007]","[0.0459, 0.0004]","[0.2795, 0.001]"
8,AutoRec,100,1,0.01,300,Cosine,0,1.0,,"[0.1444, 0.0005]","[0.0429, 0.0002]","[0.0396, 0.0002]","[0.0372, 0.0002]","[0.0466, 0.0003]","[0.0306, 0.0001]","[0.0501, 0.0004]","[0.0931, 0.0006]","[0.1254, 0.0007]","[0.1557, 0.0008]","[0.0517, 0.0005]","[0.3064, 0.001]"
9,AutoRec,100,1,0.1,300,Cosine,0,1.0,,"[0.1576, 0.0005]","[0.0494, 0.0002]","[0.0455, 0.0002]","[0.0424, 0.0002]","[0.0558, 0.0003]","[0.0326, 0.0001]","[0.0564, 0.0004]","[0.1129, 0.0007]","[0.1479, 0.0008]","[0.1801, 0.0008]","[0.0675, 0.0006]","[0.3297, 0.001]"
10,AutoRec,200,1,1e-05,300,Cosine,0,1.0,,"[0.1781, 0.0006]","[0.0641, 0.0003]","[0.058, 0.0003]","[0.0535, 0.0002]","[0.0722, 0.0004]","[0.038, 0.0001]","[0.0675, 0.0004]","[0.1266, 0.0007]","[0.1677, 0.0008]","[0.201, 0.0008]","[0.0749, 0.0006]","[0.3579, 0.0011]"
