,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,CDAE,50,1,1e-05,300,Cosine,0.2,1.0,,"[0.1509, 0.0005]","[0.0465, 0.0002]","[0.0434, 0.0002]","[0.0401, 0.0002]","[0.053, 0.0003]","[0.0315, 0.0001]","[0.0539, 0.0004]","[0.1047, 0.0007]","[0.14, 0.0008]","[0.1728, 0.0008]","[0.0612, 0.0005]","[0.3118, 0.001]"
1,CDAE,50,1,0.0001,300,Cosine,0.2,1.0,,"[0.1454, 0.0005]","[0.0426, 0.0002]","[0.0391, 0.0002]","[0.0368, 0.0002]","[0.0508, 0.0003]","[0.0307, 0.0001]","[0.0509, 0.0004]","[0.0928, 0.0006]","[0.1242, 0.0007]","[0.1493, 0.0008]","[0.0618, 0.0005]","[0.3044, 0.001]"
2,CDAE,50,1,0.001,300,Cosine,0.2,1.0,,"[0.1426, 0.0005]","[0.0403, 0.0002]","[0.0386, 0.0002]","[0.0375, 0.0002]","[0.0478, 0.0003]","[0.0303, 0.0001]","[0.0489, 0.0004]","[0.0868, 0.0006]","[0.1204, 0.0007]","[0.1586, 0.0008]","[0.0555, 0.0005]","[0.3025, 0.001]"
3,CDAE,50,1,0.01,300,Cosine,0.2,1.0,,"[0.1507, 0.0005]","[0.0467, 0.0002]","[0.0431, 0.0002]","[0.0393, 0.0002]","[0.0548, 0.0003]","[0.0313, 0.0001]","[0.0547, 0.0004]","[0.1029, 0.0007]","[0.1393, 0.0008]","[0.1679, 0.0008]","[0.0643, 0.0005]","[0.3132, 0.001]"
4,CDAE,50,1,0.1,300,Cosine,0.2,1.0,,"[0.1576, 0.0005]","[0.0494, 0.0002]","[0.0455, 0.0002]","[0.0424, 0.0002]","[0.0558, 0.0003]","[0.0326, 0.0001]","[0.0564, 0.0004]","[0.1127, 0.0007]","[0.1479, 0.0008]","[0.1801, 0.0008]","[0.0675, 0.0006]","[0.3297, 0.001]"
5,CDAE,100,1,1e-05,300,Cosine,0.2,1.0,,"[0.1503, 0.0005]","[0.0475, 0.0002]","[0.0432, 0.0002]","[0.0398, 0.0002]","[0.0513, 0.0003]","[0.0314, 0.0001]","[0.0527, 0.0004]","[0.1065, 0.0007]","[0.141, 0.0008]","[0.1708, 0.0008]","[0.0622, 0.0005]","[0.3125, 0.001]"
6,CDAE,100,1,0.0001,300,Cosine,0.2,1.0,,"[0.1446, 0.0005]","[0.0441, 0.0002]","[0.0396, 0.0002]","[0.0365, 0.0002]","[0.0483, 0.0003]","[0.0305, 0.0001]","[0.0503, 0.0004]","[0.0964, 0.0006]","[0.1259, 0.0007]","[0.1541, 0.0008]","[0.0523, 0.0005]","[0.3065, 0.001]"
7,CDAE,100,1,0.001,300,Cosine,0.2,1.0,,"[0.1387, 0.0005]","[0.0418, 0.0002]","[0.0379, 0.0002]","[0.0351, 0.0002]","[0.0413, 0.0003]","[0.0297, 0.0001]","[0.0471, 0.0004]","[0.0897, 0.0006]","[0.1202, 0.0007]","[0.1441, 0.0008]","[0.0448, 0.0004]","[0.2941, 0.001]"
8,CDAE,100,1,0.01,300,Cosine,0.2,1.0,,"[0.146, 0.0005]","[0.0448, 0.0002]","[0.0408, 0.0002]","[0.0376, 0.0002]","[0.0508, 0.0003]","[0.0307, 0.0001]","[0.051, 0.0004]","[0.0975, 0.0006]","[0.1311, 0.0007]","[0.1583, 0.0008]","[0.0597, 0.0005]","[0.308, 0.001]"
9,CDAE,100,1,0.1,300,Cosine,0.2,1.0,,"[0.1576, 0.0005]","[0.0494, 0.0002]","[0.0455, 0.0002]","[0.0424, 0.0002]","[0.0558, 0.0003]","[0.0326, 0.0001]","[0.0564, 0.0004]","[0.1129, 0.0007]","[0.1479, 0.0008]","[0.1801, 0.0008]","[0.0675, 0.0006]","[0.3297, 0.001]"
10,CDAE,200,1,1e-05,300,Cosine,0.2,1.0,,"[0.1505, 0.0005]","[0.046, 0.0002]","[0.0422, 0.0002]","[0.0385, 0.0002]","[0.0529, 0.0003]","[0.0315, 0.0001]","[0.0528, 0.0004]","[0.1005, 0.0007]","[0.1381, 0.0008]","[0.1623, 0.0008]","[0.0632, 0.0005]","[0.3163, 0.001]"
11,CDAE,200,1,0.0001,300,Cosine,0.2,1.0,,"[0.1411, 0.0005]","[0.04, 0.0002]","[0.0371, 0.0002]","[0.0358, 0.0002]","[0.0427, 0.0003]","[0.0303, 0.0001]","[0.047, 0.0004]","[0.0884, 0.0006]","[0.1161, 0.0007]","[0.1469, 0.0008]","[0.0459, 0.0005]","[0.3046, 0.001]"
12,CDAE,200,1,0.001,300,Cosine,0.2,1.0,,"[0.1256, 0.0005]","[0.0388, 0.0002]","[0.0362, 0.0002]","[0.0344, 0.0002]","[0.0449, 0.0003]","[0.0283, 0.0001]","[0.0409, 0.0003]","[0.0786, 0.0006]","[0.1119, 0.0007]","[0.1412, 0.0007]","[0.0466, 0.0005]","[0.2719, 0.001]"
