,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,CML,50,1,1e-05,30,Euclidean,0,1.0,,"[0.3062, 0.0007]","[0.1129, 0.0004]","[0.1009, 0.0003]","[0.0917, 0.0003]","[0.1298, 0.0005]","[0.0617, 0.0002]","[0.1274, 0.0006]","[0.2421, 0.0009]","[0.3149, 0.001]","[0.3733, 0.0011]","[0.1454, 0.0008]","[0.5849, 0.0011]"
1,CML,100,1,1e-05,30,Euclidean,0,1.0,,"[0.3108, 0.0007]","[0.1144, 0.0004]","[0.1026, 0.0003]","[0.0934, 0.0003]","[0.1313, 0.0005]","[0.0627, 0.0002]","[0.1288, 0.0006]","[0.2457, 0.0009]","[0.3211, 0.001]","[0.3808, 0.0011]","[0.1469, 0.0008]","[0.5947, 0.0011]"
2,CML,200,1,1e-05,30,Euclidean,0,1.0,,"[0.3075, 0.0007]","[0.1133, 0.0004]","[0.1018, 0.0003]","[0.0928, 0.0003]","[0.1292, 0.0005]","[0.0626, 0.0002]","[0.1262, 0.0006]","[0.2411, 0.0009]","[0.3165, 0.001]","[0.3766, 0.0011]","[0.1428, 0.0008]","[0.5925, 0.0011]"
0,CML,50,1,0.0001,30,Euclidean,0,1.0,,"[0.307, 0.0007]","[0.1131, 0.0004]","[0.1012, 0.0003]","[0.092, 0.0003]","[0.1302, 0.0005]","[0.0619, 0.0002]","[0.1278, 0.0006]","[0.2425, 0.0009]","[0.3161, 0.001]","[0.3742, 0.0011]","[0.1457, 0.0008]","[0.586, 0.0011]"
1,CML,100,1,0.0001,30,Euclidean,0,1.0,,"[0.3115, 0.0007]","[0.115, 0.0004]","[0.1028, 0.0003]","[0.0935, 0.0003]","[0.1318, 0.0005]","[0.0628, 0.0002]","[0.1293, 0.0006]","[0.2467, 0.0009]","[0.3213, 0.001]","[0.3809, 0.0011]","[0.1473, 0.0008]","[0.5955, 0.0011]"
2,CML,200,1,0.0001,30,Euclidean,0,1.0,,"[0.3077, 0.0007]","[0.1134, 0.0004]","[0.102, 0.0003]","[0.093, 0.0003]","[0.1294, 0.0005]","[0.0626, 0.0002]","[0.1263, 0.0006]","[0.2417, 0.0009]","[0.3175, 0.001]","[0.3777, 0.0011]","[0.1432, 0.0008]","[0.593, 0.0011]"
0,CML,50,1,0.001,30,Euclidean,0,1.0,,"[0.3046, 0.0007]","[0.1122, 0.0004]","[0.1004, 0.0003]","[0.0913, 0.0003]","[0.1286, 0.0005]","[0.0616, 0.0002]","[0.126, 0.0006]","[0.2402, 0.0009]","[0.3133, 0.001]","[0.3715, 0.0011]","[0.1433, 0.0008]","[0.584, 0.0011]"
1,CML,100,1,0.001,30,Euclidean,0,1.0,,"[0.3115, 0.0007]","[0.1147, 0.0004]","[0.1028, 0.0003]","[0.0935, 0.0003]","[0.1316, 0.0005]","[0.0628, 0.0002]","[0.1294, 0.0006]","[0.2467, 0.0009]","[0.3218, 0.001]","[0.3816, 0.0011]","[0.1475, 0.0008]","[0.5957, 0.0011]"
2,CML,200,1,0.001,30,Euclidean,0,1.0,,"[0.3083, 0.0007]","[0.1134, 0.0004]","[0.1019, 0.0003]","[0.0929, 0.0003]","[0.1292, 0.0005]","[0.0626, 0.0002]","[0.1265, 0.0006]","[0.2419, 0.0009]","[0.3171, 0.001]","[0.3776, 0.0011]","[0.1438, 0.0008]","[0.5937, 0.0011]"
0,CML,50,1,0.01,30,Euclidean,0,1.0,,"[0.3066, 0.0007]","[0.1128, 0.0004]","[0.1011, 0.0003]","[0.0919, 0.0003]","[0.1294, 0.0005]","[0.0619, 0.0002]","[0.1268, 0.0006]","[0.2421, 0.0009]","[0.3157, 0.001]","[0.3741, 0.0011]","[0.1448, 0.0008]","[0.587, 0.0011]"
