,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,NCE-PLRec,50,1,1,10,Cosine,0,0.7,,"[0.271, 0.0007]","[0.1045, 0.0004]","[0.0911, 0.0003]","[0.0815, 0.0003]","[0.1256, 0.0005]","[0.0529, 0.0002]","[0.1245, 0.0006]","[0.2193, 0.0009]","[0.2768, 0.001]","[0.3218, 0.001]","[0.1398, 0.0007]","[0.485, 0.0011]"
1,NCE-PLRec,50,1,1,10,Cosine,0,0.8,,"[0.2769, 0.0007]","[0.1066, 0.0004]","[0.0931, 0.0003]","[0.0833, 0.0003]","[0.1278, 0.0005]","[0.054, 0.0002]","[0.1268, 0.0006]","[0.2245, 0.0009]","[0.2836, 0.001]","[0.3301, 0.001]","[0.1428, 0.0008]","[0.4955, 0.0011]"
2,NCE-PLRec,50,1,1,10,Cosine,0,0.9,,"[0.2889, 0.0007]","[0.1111, 0.0004]","[0.097, 0.0003]","[0.0868, 0.0003]","[0.1326, 0.0005]","[0.0561, 0.0002]","[0.1322, 0.0006]","[0.2366, 0.0009]","[0.2985, 0.001]","[0.3473, 0.001]","[0.1494, 0.0008]","[0.5173, 0.0011]"
3,NCE-PLRec,50,1,1,10,Cosine,0,1.0,,"[0.3211, 0.0007]","[0.1228, 0.0004]","[0.1071, 0.0003]","[0.0956, 0.0003]","[0.1458, 0.0006]","[0.0608, 0.0002]","[0.1472, 0.0006]","[0.2734, 0.001]","[0.3427, 0.0011]","[0.3953, 0.0011]","[0.1721, 0.0008]","[0.5703, 0.0011]"
4,NCE-PLRec,50,1,1,10,Cosine,0,1.1,,"[0.3519, 0.0007]","[0.1343, 0.0004]","[0.1171, 0.0003]","[0.1043, 0.0003]","[0.1599, 0.0006]","[0.0655, 0.0002]","[0.1624, 0.0007]","[0.3022, 0.001]","[0.3784, 0.0011]","[0.4359, 0.0011]","[0.1913, 0.0009]","[0.6214, 0.0011]"
5,NCE-PLRec,50,1,1,10,Cosine,0,1.2,,"[0.3538, 0.0007]","[0.1335, 0.0004]","[0.1171, 0.0004]","[0.1049, 0.0003]","[0.1589, 0.0006]","[0.0668, 0.0002]","[0.1612, 0.0007]","[0.296, 0.001]","[0.3744, 0.0011]","[0.4345, 0.0011]","[0.1872, 0.0009]","[0.6344, 0.0011]"
6,NCE-PLRec,50,1,1,10,Cosine,0,1.3,,"[0.3257, 0.0007]","[0.1236, 0.0004]","[0.109, 0.0003]","[0.0982, 0.0003]","[0.1464, 0.0006]","[0.0641, 0.0002]","[0.1467, 0.0006]","[0.2625, 0.001]","[0.3343, 0.001]","[0.3903, 0.0011]","[0.1643, 0.0008]","[0.585, 0.0011]"
7,NCE-PLRec,50,1,10,10,Cosine,0,0.7,,"[0.271, 0.0007]","[0.1045, 0.0004]","[0.0911, 0.0003]","[0.0815, 0.0003]","[0.1256, 0.0005]","[0.0529, 0.0002]","[0.1245, 0.0006]","[0.2193, 0.0009]","[0.2768, 0.001]","[0.3218, 0.001]","[0.1398, 0.0007]","[0.485, 0.0011]"
8,NCE-PLRec,50,1,10,10,Cosine,0,0.8,,"[0.2769, 0.0007]","[0.1066, 0.0004]","[0.0931, 0.0003]","[0.0833, 0.0003]","[0.1278, 0.0005]","[0.054, 0.0002]","[0.1268, 0.0006]","[0.2245, 0.0009]","[0.2836, 0.001]","[0.3301, 0.001]","[0.1428, 0.0008]","[0.4955, 0.0011]"
9,NCE-PLRec,50,1,10,10,Cosine,0,0.9,,"[0.2889, 0.0007]","[0.1111, 0.0004]","[0.097, 0.0003]","[0.0868, 0.0003]","[0.1326, 0.0005]","[0.0561, 0.0002]","[0.1322, 0.0006]","[0.2366, 0.0009]","[0.2985, 0.001]","[0.3473, 0.001]","[0.1494, 0.0008]","[0.5173, 0.0011]"
10,NCE-PLRec,50,1,10,10,Cosine,0,1.0,,"[0.3211, 0.0007]","[0.1228, 0.0004]","[0.1071, 0.0003]","[0.0956, 0.0003]","[0.1458, 0.0006]","[0.0608, 0.0002]","[0.1472, 0.0006]","[0.2734, 0.001]","[0.3427, 0.0011]","[0.3953, 0.0011]","[0.1721, 0.0008]","[0.5703, 0.0011]"
