,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,PLRec,50,1,1,10,Cosine,0,1.0,,"[0.2576, 0.0007]","[0.0997, 0.0004]","[0.0867, 0.0003]","[0.0775, 0.0003]","[0.1196, 0.0005]","[0.0503, 0.0002]","[0.1184, 0.0006]","[0.2092, 0.0009]","[0.2632, 0.001]","[0.3056, 0.001]","[0.1322, 0.0007]","[0.4613, 0.0011]"
1,PLRec,50,1,10,10,Cosine,0,1.0,,"[0.2576, 0.0007]","[0.0997, 0.0004]","[0.0867, 0.0003]","[0.0775, 0.0003]","[0.1196, 0.0005]","[0.0503, 0.0002]","[0.1184, 0.0006]","[0.2092, 0.0009]","[0.2632, 0.001]","[0.3056, 0.001]","[0.1322, 0.0007]","[0.4613, 0.0011]"
2,PLRec,50,1,100,10,Cosine,0,1.0,,"[0.2576, 0.0007]","[0.0997, 0.0004]","[0.0867, 0.0003]","[0.0775, 0.0003]","[0.1196, 0.0005]","[0.0503, 0.0002]","[0.1184, 0.0006]","[0.2092, 0.0009]","[0.2632, 0.001]","[0.3056, 0.001]","[0.1322, 0.0007]","[0.4613, 0.0011]"
3,PLRec,50,1,1000,10,Cosine,0,1.0,,"[0.2576, 0.0007]","[0.0997, 0.0004]","[0.0867, 0.0003]","[0.0775, 0.0003]","[0.1196, 0.0005]","[0.0503, 0.0002]","[0.1184, 0.0006]","[0.2092, 0.0009]","[0.2633, 0.001]","[0.3056, 0.001]","[0.1322, 0.0007]","[0.4613, 0.0011]"
4,PLRec,50,1,10000,10,Cosine,0,1.0,,"[0.2578, 0.0007]","[0.0998, 0.0004]","[0.0868, 0.0003]","[0.0775, 0.0003]","[0.1197, 0.0005]","[0.0504, 0.0002]","[0.1184, 0.0006]","[0.2094, 0.0009]","[0.2634, 0.001]","[0.3058, 0.001]","[0.1323, 0.0007]","[0.4619, 0.0011]"
5,PLRec,100,1,1,10,Cosine,0,1.0,,"[0.2041, 0.0006]","[0.0811, 0.0003]","[0.0703, 0.0003]","[0.0627, 0.0002]","[0.0984, 0.0005]","[0.0409, 0.0002]","[0.0951, 0.0005]","[0.1632, 0.0008]","[0.2045, 0.0009]","[0.2374, 0.0009]","[0.1046, 0.0007]","[0.3617, 0.001]"
6,PLRec,100,1,10,10,Cosine,0,1.0,,"[0.2041, 0.0006]","[0.0811, 0.0003]","[0.0703, 0.0003]","[0.0627, 0.0002]","[0.0984, 0.0005]","[0.0409, 0.0002]","[0.0951, 0.0005]","[0.1632, 0.0008]","[0.2045, 0.0009]","[0.2374, 0.0009]","[0.1046, 0.0007]","[0.3617, 0.001]"
7,PLRec,100,1,100,10,Cosine,0,1.0,,"[0.2042, 0.0006]","[0.0811, 0.0003]","[0.0703, 0.0003]","[0.0627, 0.0002]","[0.0984, 0.0005]","[0.0409, 0.0002]","[0.0951, 0.0005]","[0.1633, 0.0008]","[0.2045, 0.0009]","[0.2374, 0.0009]","[0.1046, 0.0007]","[0.3617, 0.001]"
8,PLRec,100,1,1000,10,Cosine,0,1.0,,"[0.2042, 0.0006]","[0.0811, 0.0003]","[0.0703, 0.0003]","[0.0627, 0.0002]","[0.0984, 0.0005]","[0.041, 0.0002]","[0.0951, 0.0005]","[0.1633, 0.0008]","[0.2046, 0.0009]","[0.2375, 0.0009]","[0.1046, 0.0007]","[0.3618, 0.001]"
9,PLRec,100,1,10000,10,Cosine,0,1.0,,"[0.2047, 0.0006]","[0.0812, 0.0003]","[0.0704, 0.0003]","[0.0629, 0.0002]","[0.0985, 0.0005]","[0.0411, 0.0002]","[0.0953, 0.0005]","[0.1637, 0.0008]","[0.2051, 0.0009]","[0.2382, 0.0009]","[0.1048, 0.0007]","[0.3631, 0.001]"
10,PLRec,200,1,1,10,Cosine,0,1.0,,"[0.1305, 0.0005]","[0.0551, 0.0003]","[0.0474, 0.0002]","[0.0422, 0.0002]","[0.0681, 0.0004]","[0.0274, 0.0001]","[0.0641, 0.0004]","[0.1008, 0.0006]","[0.1255, 0.0007]","[0.1451, 0.0007]","[0.0663, 0.0005]","[0.2202, 0.0009]"
11,PLRec,200,1,10,10,Cosine,0,1.0,,"[0.1305, 0.0005]","[0.0551, 0.0003]","[0.0474, 0.0002]","[0.0422, 0.0002]","[0.0681, 0.0004]","[0.0274, 0.0001]","[0.0641, 0.0004]","[0.1008, 0.0006]","[0.1255, 0.0007]","[0.1451, 0.0007]","[0.0663, 0.0005]","[0.2202, 0.0009]"
12,PLRec,200,1,100,10,Cosine,0,1.0,,"[0.1305, 0.0005]","[0.0551, 0.0003]","[0.0474, 0.0002]","[0.0422, 0.0002]","[0.0681, 0.0004]","[0.0274, 0.0001]","[0.0641, 0.0004]","[0.1008, 0.0006]","[0.1255, 0.0007]","[0.1451, 0.0007]","[0.0663, 0.0005]","[0.2203, 0.0009]"
13,PLRec,200,1,1000,10,Cosine,0,1.0,,"[0.1306, 0.0005]","[0.0551, 0.0003]","[0.0475, 0.0002]","[0.0423, 0.0002]","[0.0681, 0.0004]","[0.0274, 0.0001]","[0.0642, 0.0004]","[0.1009, 0.0006]","[0.1256, 0.0007]","[0.1452, 0.0007]","[0.0663, 0.0005]","[0.2205, 0.0009]"
14,PLRec,200,1,10000,10,Cosine,0,1.0,,"[0.1318, 0.0005]","[0.0554, 0.0003]","[0.0477, 0.0002]","[0.0426, 0.0002]","[0.0684, 0.0004]","[0.0277, 0.0001]","[0.0644, 0.0004]","[0.1016, 0.0006]","[0.1266, 0.0007]","[0.1466, 0.0008]","[0.0667, 0.0005]","[0.2233, 0.0009]"
