,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,VAE-CF,50,1,1e-05,300,Cosine,0.2,1.0,,"[0.3122, 0.0007]","[0.1091, 0.0004]","[0.0973, 0.0003]","[0.0884, 0.0003]","[0.1264, 0.0005]","[0.0593, 0.0002]","[0.1314, 0.0006]","[0.2599, 0.001]","[0.3325, 0.0011]","[0.3898, 0.0011]","[0.1609, 0.0008]","[0.5888, 0.0011]"
1,VAE-CF,50,1,0.0001,300,Cosine,0.2,1.0,,"[0.3187, 0.0007]","[0.1129, 0.0004]","[0.1001, 0.0003]","[0.0907, 0.0003]","[0.1316, 0.0005]","[0.0601, 0.0002]","[0.137, 0.0006]","[0.2661, 0.001]","[0.3391, 0.0011]","[0.3965, 0.0011]","[0.1655, 0.0008]","[0.5937, 0.0011]"
2,VAE-CF,50,1,0.001,300,Cosine,0.2,1.0,,"[0.3212, 0.0007]","[0.1166, 0.0004]","[0.1032, 0.0003]","[0.0931, 0.0003]","[0.136, 0.0005]","[0.0611, 0.0002]","[0.1392, 0.0006]","[0.2682, 0.001]","[0.3416, 0.0011]","[0.3984, 0.0011]","[0.1659, 0.0008]","[0.5939, 0.0011]"
3,VAE-CF,50,1,0.01,300,Cosine,0.2,1.0,,"[0.3161, 0.0007]","[0.1176, 0.0004]","[0.104, 0.0003]","[0.0935, 0.0003]","[0.1381, 0.0005]","[0.0607, 0.0002]","[0.1386, 0.0006]","[0.2611, 0.001]","[0.3334, 0.0011]","[0.3891, 0.0011]","[0.1618, 0.0008]","[0.5778, 0.0011]"
4,VAE-CF,50,1,0.1,300,Cosine,0.2,1.0,,"[0.2413, 0.0007]","[0.0923, 0.0004]","[0.0814, 0.0003]","[0.0735, 0.0003]","[0.1087, 0.0005]","[0.0491, 0.0002]","[0.1053, 0.0005]","[0.1865, 0.0008]","[0.2394, 0.0009]","[0.2822, 0.001]","[0.115, 0.0007]","[0.4453, 0.0011]"
5,VAE-CF,100,1,1e-05,300,Cosine,0.2,1.0,,"[0.3117, 0.0007]","[0.106, 0.0003]","[0.0948, 0.0003]","[0.0863, 0.0003]","[0.1217, 0.0005]","[0.0584, 0.0002]","[0.1288, 0.0006]","[0.2633, 0.001]","[0.3364, 0.0011]","[0.3937, 0.0011]","[0.1624, 0.0008]","[0.5923, 0.0011]"
6,VAE-CF,100,1,0.0001,300,Cosine,0.2,1.0,,"[0.3178, 0.0007]","[0.1095, 0.0004]","[0.0977, 0.0003]","[0.0887, 0.0003]","[0.1265, 0.0005]","[0.0597, 0.0002]","[0.1336, 0.0006]","[0.2679, 0.001]","[0.3415, 0.0011]","[0.3993, 0.0011]","[0.1662, 0.0008]","[0.599, 0.0011]"
7,VAE-CF,100,1,0.001,300,Cosine,0.2,1.0,,"[0.3221, 0.0007]","[0.1142, 0.0004]","[0.1014, 0.0003]","[0.0918, 0.0003]","[0.1332, 0.0005]","[0.0608, 0.0002]","[0.1379, 0.0006]","[0.2699, 0.001]","[0.3437, 0.0011]","[0.4007, 0.0011]","[0.1679, 0.0008]","[0.5983, 0.0011]"
8,VAE-CF,100,1,0.01,300,Cosine,0.2,1.0,,"[0.3183, 0.0007]","[0.1161, 0.0004]","[0.1029, 0.0003]","[0.0929, 0.0003]","[0.1352, 0.0005]","[0.0608, 0.0002]","[0.1375, 0.0006]","[0.265, 0.001]","[0.3388, 0.0011]","[0.3957, 0.0011]","[0.1617, 0.0008]","[0.5863, 0.0011]"
9,VAE-CF,100,1,0.1,300,Cosine,0.2,1.0,,"[0.2388, 0.0007]","[0.0918, 0.0004]","[0.0807, 0.0003]","[0.0728, 0.0003]","[0.1077, 0.0005]","[0.049, 0.0002]","[0.1032, 0.0005]","[0.1857, 0.0008]","[0.2373, 0.0009]","[0.2795, 0.001]","[0.1131, 0.0007]","[0.4442, 0.0011]"
