,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,WRMF,50,1,1,10,Cosine,0,1.0,,"[0.2818, 0.0007]","[0.1073, 0.0004]","[0.0939, 0.0003]","[0.0843, 0.0003]","[0.1277, 0.0005]","[0.0551, 0.0002]","[0.1272, 0.0006]","[0.2277, 0.0009]","[0.2887, 0.001]","[0.3364, 0.001]","[0.1432, 0.0008]","[0.51, 0.0011]"
1,WRMF,50,1,10,10,Cosine,0,1.0,,"[0.282, 0.0007]","[0.1074, 0.0004]","[0.094, 0.0003]","[0.0843, 0.0003]","[0.1278, 0.0005]","[0.0551, 0.0002]","[0.1272, 0.0006]","[0.2278, 0.0009]","[0.2888, 0.001]","[0.3366, 0.001]","[0.143, 0.0008]","[0.5099, 0.0011]"
2,WRMF,50,1,100,10,Cosine,0,1.0,,"[0.3037, 0.0007]","[0.113, 0.0004]","[0.0999, 0.0003]","[0.0902, 0.0003]","[0.1333, 0.0005]","[0.0595, 0.0002]","[0.1326, 0.0006]","[0.2425, 0.0009]","[0.3115, 0.001]","[0.3663, 0.0011]","[0.1504, 0.0008]","[0.5616, 0.0011]"
3,WRMF,50,1,1000,10,Cosine,0,1.0,,"[0.1519, 0.0005]","[0.0469, 0.0003]","[0.0441, 0.0002]","[0.0422, 0.0002]","[0.0564, 0.0004]","[0.0323, 0.0001]","[0.0569, 0.0004]","[0.0928, 0.0006]","[0.1328, 0.0007]","[0.1719, 0.0008]","[0.0582, 0.0005]","[0.3155, 0.001]"
4,WRMF,50,1,10000,10,Cosine,0,1.0,,"[0.1466, 0.0005]","[0.0467, 0.0003]","[0.0438, 0.0002]","[0.0417, 0.0002]","[0.056, 0.0004]","[0.0319, 0.0001]","[0.056, 0.0004]","[0.0911, 0.0006]","[0.1286, 0.0007]","[0.1631, 0.0008]","[0.057, 0.0005]","[0.2962, 0.001]"
0,WRMF,50,10,1,10,Cosine,0,1.0,,"[0.3155, 0.0007]","[0.1201, 0.0004]","[0.1051, 0.0003]","[0.0943, 0.0003]","[0.1421, 0.0005]","[0.0606, 0.0002]","[0.1433, 0.0006]","[0.2649, 0.001]","[0.3331, 0.001]","[0.3858, 0.0011]","[0.1663, 0.0008]","[0.5627, 0.0011]"
1,WRMF,50,10,10,10,Cosine,0,1.0,,"[0.3162, 0.0007]","[0.1203, 0.0004]","[0.1053, 0.0003]","[0.0944, 0.0003]","[0.1423, 0.0005]","[0.0607, 0.0002]","[0.1437, 0.0006]","[0.2656, 0.001]","[0.3339, 0.001]","[0.3865, 0.0011]","[0.1666, 0.0008]","[0.5638, 0.0011]"
2,WRMF,50,10,100,10,Cosine,0,1.0,,"[0.3244, 0.0007]","[0.1234, 0.0004]","[0.108, 0.0003]","[0.0968, 0.0003]","[0.1461, 0.0006]","[0.0621, 0.0002]","[0.1475, 0.0006]","[0.2728, 0.001]","[0.3432, 0.0011]","[0.397, 0.0011]","[0.1713, 0.0008]","[0.5789, 0.0011]"
3,WRMF,50,10,1000,10,Cosine,0,1.0,,"[0.3131, 0.0007]","[0.115, 0.0004]","[0.1013, 0.0003]","[0.091, 0.0003]","[0.137, 0.0005]","[0.0586, 0.0002]","[0.1398, 0.0006]","[0.2541, 0.001]","[0.3255, 0.001]","[0.3814, 0.0011]","[0.1605, 0.0008]","[0.5728, 0.0011]"
4,WRMF,50,10,10000,10,Cosine,0,1.0,,"[0.1519, 0.0005]","[0.0469, 0.0003]","[0.0441, 0.0002]","[0.0422, 0.0002]","[0.0564, 0.0004]","[0.0323, 0.0001]","[0.0569, 0.0004]","[0.0928, 0.0006]","[0.1328, 0.0007]","[0.1719, 0.0008]","[0.0582, 0.0005]","[0.3155, 0.001]"
